r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.35862498236034857,0.6,0.6,0.984
1,3,0.2053731039075323,0.8,0.8,0.9493333333333333
1,4,0.7797765094130221,0.26666666666666666,0.2,0.5519999999999999
1,5,0.19784340419672344,0.8,0.8,0.968
2,2,0.3816753023216445,0.6,0.6,0.7923076923076924
2,3,0.3147914886006846,0.77,0.7866666666666667,0.8827160493827162
2,4,0.5059885098346915,0.5333333333333333,0.5,0.75625
2,5,0.5404265669094163,0.65,0.6,0.9401724137931033
3,2,0.3322825577298715,0.6666666666666666,0.6666666666666666,0.9777777777777779
3,3,0.3614579733741606,0.7,0.6666666666666666,0.9057471264367816
3,4,0.31954517788073455,0.8111111111111111,0.8299999999999998,0.9145161290322582
3,5,0.49821501434732296,0.7666666666666666,0.7733333333333334,0.8387878787878786
4,2,0.2616151889398717,0.75,0.75,0.8857142857142858
4,3,0.2128304069431576,0.825,0.8,0.9655913978494624
4,4,0.48065373575890763,0.6357142857142858,0.6535714285714286,0.8091605392156863
4,5,0.5208920740267337,0.6,0.5,0.770945945945946
5,2,0.44055307683028266,0.56,0.56,0.8034482758620689
5,3,0.34919580569034064,0.7271428571428571,0.7142857142857142,0.8609848484848485
5,4,0.4959202285808555,0.5599999999999999,0.55,0.7308108108108109
5,5,0.1777522840327915,0.89,0.8800000000000001,0.9480975609756097
6,2,0.4327234074171328,0.5833333333333333,0.5833333333333333,0.8544444444444445
6,3,0.3396678712263893,0.7055555555555556,0.7111111111111111,0.8504761904761905
6,4,0.27404067514935176,0.8027777777777778,0.7545454545454545,0.8589035087719299
6,5,0.4205419783463289,0.6829629629629629,0.6977777777777778,0.895904761904762
7,2,0.20548898411560496,0.8285714285714285,0.8285714285714285,0.9502304147465438
7,3,0.4020506949845718,0.6471428571428571,0.6171428571428572,0.854954954954955
7,4,0.44260743054309304,0.6858974358974358,0.6263736263736264,0.8052764497744646
7,5,0.38399660120078566,0.6975,0.7132142857142857,0.8316326530612246
8,2,0.45588846267953526,0.55,0.55,0.771484375
8,3,0.5736089027881772,0.5181159420289856,0.5014492753623189,0.7259221772379666
8,4,0.3516218241774415,0.7549999999999999,0.7183333333333333,0.8330286561264822
8,5,0.4446576845093825,0.6425,0.65,0.8265801886792452
9,2,0.35769751300809205,0.6444444444444444,0.6444444444444444,0.8659932659932661
9,3,0.5038996342671446,0.5608262108262109,0.5532763532763533,0.7953613369467027
9,4,0.505434062838258,0.5998910675381264,0.5535947712418301,0.6752947041700842
9,5,0.5590784840401177,0.5771428571428572,0.533968253968254,0.8110526315789475
10,2,0.5352277697377097,0.48999999999999994,0.48999999999999994,0.7282352941176471
10,3,0.5941698743581663,0.45586206896551723,0.4220689655172413,0.6768106312292359
10,4,0.44307355257912384,0.6276315789473684,0.6123684210526316,0.7800961538461537
10,5,0.47666478550340347,0.6535106382978724,0.6080000000000001,0.7742605992085924
