r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.05,0.05,0.0
1,3,1.0,0.09166666666666666,0.13333333333333333,0.0
1,4,1.0,0.09166666666666666,0.15,0.0
1,5,1.0,0.1,0.16,0.0
1,6,1.0,0.16333333333333333,0.08333333333333334,0.0
1,7,1.0,0.18809523809523807,0.0,0.0
1,8,1.0,0.18571428571428567,0.0,0.0
1,9,1.0,0.15,0.0,0.0
1,10,1.0,0.29111111111111115,0.27,0.0
2,2,1.0,0.025,0.025,0.0
2,3,1.0,0.08333333333333333,0.03333333333333333,0.0
2,4,1.0,0.10416666666666666,0.1125,0.0
2,5,1.0,0.17357142857142857,0.09714285714285714,0.0
2,6,1.0,0.125,0.0,0.0
2,7,1.0,0.1309523809523809,0.09285714285714286,0.0
2,8,1.0,0.1651785714285714,0.26875,0.0
2,9,1.0,0.21963383838383838,0.2505050505050505,0.0
2,10,1.0,0.22833333333333333,0.19,0.0
3,2,1.0,0.05,0.05,0.0
3,3,1.0,0.0888888888888889,0.04444444444444444,0.0
3,4,1.0,0.15444444444444444,0.065,0.0
3,5,1.0,0.145,0.13333333333333333,0.0
3,6,1.0,0.15809523809523812,0.1246031746031746,0.0
3,7,1.0,0.17420634920634917,0.11904761904761904,0.0
3,8,1.0,0.1547619047619047,0.21805555555555553,0.0
3,9,1.0,0.1555787037037037,0.18814814814814812,0.0
3,10,1.0,0.16629629629629628,0.15333333333333335,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0856060606060606,0.03636363636363636,0.0
4,4,1.0,0.09464285714285714,0.04017857142857143,0.0
4,5,1.0,0.10044117647058823,0.11411764705882355,0.0
4,6,1.0,0.1216666666666667,0.10833333333333335,0.0
4,7,1.0,0.1351708074534162,0.14937888198757765,0.0
4,8,1.0,0.1431662087912088,0.15817307692307692,0.0
4,9,1.0,0.14312739463601534,0.21091954022988507,0.0
4,10,1.0,0.16597222222222216,0.22812500000000005,0.0
5,2,1.0,0.01,0.01,0.0
5,3,1.0,0.054285714285714284,0.02761904761904762,0.0
5,4,1.0,0.10333333333333332,0.06166666666666667,0.0
5,5,1.0,0.11000000000000001,0.08,0.0
5,6,1.0,0.12569230769230771,0.16641025641025642,0.0
5,7,1.0,0.12492063492063492,0.09761904761904763,0.0
5,8,1.0,0.12728991596638656,0.14808823529411766,0.0
5,9,1.0,0.14173976608187136,0.17795321637426903,0.0
5,10,1.0,0.147037037037037,0.1654285714285714,0.0
6,2,1.0,0.016666666666666666,0.016666666666666666,0.0
6,3,1.0,0.05588235294117648,0.02287581699346405,0.0
6,4,1.0,0.09015151515151514,0.05227272727272727,0.0
6,5,1.0,0.10425925925925927,0.08592592592592592,0.0
6,6,1.0,0.10944444444444448,0.1371527777777778,0.0
6,7,1.0,0.11209781209781208,0.15656370656370655,0.0
6,8,1.0,0.11462585034013606,0.14821428571428572,0.0
6,9,1.0,0.12122734436564224,0.1587470449172577,0.0
6,10,1.0,0.1098860398860398,0.0646153846153846,0.0
7,2,1.0,0.03571428571428571,0.03571428571428571,0.0
7,3,1.0,0.06761904761904762,0.048571428571428564,0.0
7,4,1.0,0.07673992673992674,0.045329670329670335,0.0
7,5,1.0,0.0905357142857143,0.09464285714285715,0.0
7,6,1.0,0.09729323308270676,0.11829573934837093,0.0
7,7,1.0,0.10197897340754483,0.11934137291280149,0.0
7,8,1.0,0.11150000000000004,0.13507142857142856,0.0
7,9,1.0,0.09880952380952382,0.05555555555555556,0.0
7,10,1.0,0.1051305683563748,0.05640552995391705,0.0
8,2,1.0,0.0375,0.0375,0.0
8,3,1.0,0.06847826086956521,0.060144927536231886,0.0
8,4,1.0,0.07152777777777777,0.058125,0.0
8,5,1.0,0.0793412162162162,0.061621621621621624,0.0
8,6,1.0,0.08469696969696972,0.06647727272727273,0.0
8,7,1.0,0.09295634920634921,0.08067226890756302,0.0
8,8,1.0,0.07363762315270936,0.04773706896551724,0.0
8,9,1.0,0.082142094017094,0.059145299145299146,0.0
8,10,1.0,0.08711419753086416,0.05,0.0
9,2,1.0,0.02777777777777778,0.02777777777777778,0.0
9,3,1.0,0.06096866096866096,0.05356125356125356,0.0
9,4,1.0,0.0760893246187364,0.06862745098039216,0.0
9,5,1.0,0.07694444444444444,0.0907936507936508,0.0
9,6,1.0,0.08376296296296297,0.09940740740740739,0.0
9,7,1.0,0.07463966429483672,0.08891625615763547,0.0
9,8,1.0,0.06861471861471861,0.05126262626262627,0.0
9,9,1.0,0.07692275608942276,0.08410076743410076,0.0
9,10,1.0,0.08071966275218306,0.05390243902439025,0.0
10,2,1.0,0.02,0.02,0.0
10,3,1.0,0.05103448275862069,0.04114942528735632,0.0
10,4,1.0,0.05872807017543861,0.05289473684210526,0.0
10,5,1.0,0.07292553191489362,0.0825531914893617,0.0
10,6,1.0,0.07971428571428574,0.08357142857142857,0.0
10,7,1.0,0.06183150183150184,0.037142857142857144,0.0
10,8,1.0,0.05971525096525095,0.04445945945945946,0.0
10,9,1.0,0.07120481927710842,0.056331994645247664,0.0
10,10,1.0,0.0716135265700483,0.04656521739130435,0.0
