r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.17100012224002337,0.4,0.4,0.8975
1,3,0.21491934390895376,0.7333333333333333,0.6666666666666666,0.9824999999999999
1,4,0.3833929248600823,0.7333333333333333,0.55,0.97625
1,5,0.11962551241419797,0.7,0.8400000000000001,0.9109999999999999
2,2,0.19299689717937002,0.75,0.75,0.9780487804878047
2,3,0.3296146073646363,0.4999999999999999,0.6333333333333333,0.8158730158730159
2,4,0.16196979078831336,0.6666666666666666,0.7,0.9160852713178294
2,5,0.17397750999742295,0.85,0.8400000000000001,0.9803409090909092
3,2,0.3448035712594016,0.7333333333333334,0.7333333333333334,0.9166666666666666
3,3,0.14416963087610268,0.5777777777777777,0.6888888888888889,0.9297979797979797
3,4,0.1522461058555699,0.6833333333333333,0.7833333333333333,0.9341787439613526
3,5,0.1942489260467072,0.7333333333333332,0.8400000000000001,0.9191666666666667
4,2,0.18582442270330674,0.625,0.625,0.9034883720930231
4,3,0.24427613536448023,0.5666666666666667,0.7000000000000001,0.8612318840579711
4,4,0.24188004040200117,0.6333333333333332,0.6625,0.9113945578231292
4,5,0.13094134370880728,0.6549999999999999,0.68,0.9115865384615385
5,2,0.21662341027225582,0.54,0.54,0.8959090909090911
5,3,0.19321150537229528,0.58,0.68,0.8801388888888889
5,4,0.32977742965793244,0.61,0.5700000000000001,0.8568589743589744
5,5,0.26347408994085986,0.55,0.6399999999999999,0.8978214285714285
6,2,0.26733362284259565,0.4833333333333333,0.4833333333333333,0.868148148148148
6,3,0.3520564929512792,0.5055555555555555,0.4777777777777777,0.8562222222222221
6,4,0.2575481766679824,0.5722222222222222,0.625,0.8711616161616161
6,5,0.3039791106567411,0.6466666666666667,0.6933333333333334,0.8782499999999999
7,2,0.2277984743930186,0.5,0.5,0.8968944099378883
7,3,0.31199246384129337,0.5142857142857142,0.6,0.8928571428571429
7,4,0.2931253451086996,0.6,0.5714285714285714,0.8611247947454842
7,5,0.25232479770594407,0.6100000000000001,0.6685714285714285,0.8739732142857143
8,2,0.3106228406769512,0.4,0.4,0.8406914893617021
8,3,0.35672145800339844,0.5791666666666667,0.6333333333333334,0.8524691358024692
8,4,0.3229092733159638,0.5333333333333333,0.6125,0.8545423497267759
8,5,0.2967287159396471,0.58125,0.6699999999999999,0.8627757352941176
9,2,0.3635013752297412,0.4,0.4,0.7791666666666666
9,3,0.4103456904765121,0.4296296296296297,0.4444444444444445,0.7962301587301587
9,4,0.3518530382875329,0.5018518518518519,0.5555555555555556,0.8222222222222223
9,5,0.3573536010997069,0.5888888888888889,0.6444444444444445,0.8443672839506171
10,2,0.28930021008900075,0.5,0.5,0.8430612244897959
10,3,0.42312601773578107,0.5166666666666667,0.5266666666666666,0.850287356321839
10,4,0.35826167120309355,0.5750000000000001,0.585,0.8642288557213931
10,5,0.41249940144421415,0.503,0.5519999999999999,0.8023815789473684
