r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.032281670488939616,0.95,0.95,0.9975609756097562
1,3,0.05866725493643501,0.9,0.9666666666666668,0.9345528455284553
1,4,0.017483387295954316,1.0,1.0,1.0
1,5,0.03648304789634687,0.8049999999999999,0.86,0.8584146341463414
1,6,0.0940446098753989,0.8733333333333334,0.9166666666666667,0.9111382113821138
1,7,0.10059947989253937,0.8380952380952381,0.9142857142857143,0.8689895470383275
1,8,0.00913118181348546,0.9482142857142856,1.0,0.998301393728223
1,9,0.06258027669243942,0.868452380952381,0.8952380952380953,0.9275116144018583
1,10,0.10840545001457766,0.7892857142857143,0.8660714285714285,0.8457462253193959
2,2,0.022291557163201813,0.9666666666666666,0.9666666666666666,0.95
2,3,0.029885654370473018,0.9083333333333332,0.9416666666666668,0.9414445074683305
2,4,0.029098060184611852,0.9708333333333332,1.0,0.9978219696969697
2,5,0.12969381847189848,0.76,0.8100000000000002,0.8181111111111111
2,6,0.0701868984776157,0.8997619047619049,0.9380952380952381,0.8480072463768116
2,7,0.08751715229114512,0.8337225274725274,0.9315934065934066,0.83258791113747
2,8,0.08672710650409723,0.8474574829931971,0.8954166666666665,0.888316341607565
2,9,0.05115176365152076,0.8746825396825397,0.9646031746031746,0.8731150793650795
2,10,0.032502876687935216,0.9183333333333333,0.9850000000000001,0.9854777777777777
3,2,0.037500973573615905,0.9833333333333334,0.9833333333333334,0.9992248062015504
3,3,0.05696987839566046,0.9333333333333332,0.9666666666666666,0.9564197530864197
3,4,0.044414405657138396,0.9472222222222222,0.975,0.958096926713948
3,5,0.014614517567924382,0.9484848484848485,0.9751515151515152,0.919421768707483
3,6,0.11029994281247416,0.8211111111111112,0.8722222222222221,0.8618518518518519
3,7,0.052884132007626594,0.8946428571428571,0.9523809523809523,0.9409069965673739
3,8,0.07998105747901833,0.867019021047154,0.9170919553592188,0.8566396103896106
3,9,0.04782576501824099,0.9022173489278753,0.9569875543559755,0.9073069164312898
3,10,0.01679103087780045,0.9549816849816851,0.9885714285714287,0.9631073446327683
4,2,0.02780143055731928,0.8839285714285715,0.8839285714285715,0.9440340909090909
4,3,0.07909123882637652,0.8608333333333335,0.8983333333333334,0.8901595744680852
4,4,0.06132364302997023,0.8636217948717949,0.908173076923077,0.8823448581560284
4,5,0.032459250216408476,0.9331249999999999,0.9625,0.9137461494031575
4,6,0.06644848997565736,0.8813157894736843,0.9372807017543862,0.8855392156862744
4,7,0.06334908948940113,0.8692099567099566,0.8990259740259742,0.8775899614722767
4,8,0.11540601915171492,0.7931105990783411,0.875483870967742,0.8535820325287705
4,9,0.07951665861098131,0.8454293154761905,0.8986448412698411,0.8358928154270491
4,10,0.06252956007810581,0.8561867781760256,0.8997640382317801,0.8677006480558326
5,2,0.030570276657188207,0.9577777777777777,0.9577777777777777,0.9588888888888889
5,3,0.049162655174460765,0.9007692307692308,0.9312820512820515,0.9340107106672457
5,4,0.07339041839141014,0.8651960784313726,0.9105882352941176,0.8897377358490566
