r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.040460048741748265,0.75,0.75,0.9548780487804878
1,3,0.0708805190172378,0.85,0.9333333333333332,0.9491869918699187
1,4,0.0206054780099494,0.9666666666666666,0.975,0.9951219512195122
1,5,0.05655028122836192,0.78,0.86,0.8641463414634145
1,6,0.15038053438456306,0.8033333333333333,0.9,0.8985365853658536
1,7,0.1479241440308017,0.835714285714286,0.9142857142857143,0.8833333333333334
1,8,0.015629074652846037,0.9232142857142858,1.0,0.9951655052264808
1,9,0.0821316114453445,0.8567460317460318,0.9317460317460317,0.9340060007742934
1,10,0.16188700201151374,0.7652380952380952,0.8803571428571428,0.873717576461479
2,2,0.013268324637377866,0.9166666666666666,0.9166666666666666,0.9470238095238095
2,3,0.05204193872053151,0.8166666666666668,0.8833333333333332,0.9148279447910758
2,4,0.03774669912046179,0.925,0.975,0.9900568181818181
2,5,0.1791049636041235,0.755,0.8300000000000001,0.8493333333333334
2,6,0.045942065891518724,0.9197619047619048,0.9547619047619047,0.8860144927536231
2,7,0.11339100956704687,0.8274725274725274,0.9267857142857142,0.8746573026223192
2,8,0.12299043038021573,0.8206377551020407,0.9087499999999998,0.9032139679511182
2,9,0.02040714618658982,0.8944047619047619,0.9701587301587301,0.8970689716324849
2,10,0.02715030238236234,0.9255555555555557,0.9949999999999999,0.9917222222222224
3,2,0.04547088361098056,0.8333333333333333,0.8333333333333333,0.9682170542635659
3,3,0.06910608076000814,0.85,0.9111111111111109,0.9544444444444444
3,4,0.04826469958626434,0.8861111111111111,0.9416666666666667,0.9764775413711584
3,5,0.02134937712058683,0.9095454545454545,0.9551515151515151,0.9226500377928948
3,6,0.14322355062492131,0.8211111111111112,0.8777777777777779,0.888562091503268
3,7,0.07493959569851838,0.8777777777777779,0.9428571428571427,0.9514588660815078
3,8,0.08835333131847467,0.8547077922077921,0.9345161977834613,0.9010492574555075
3,9,0.06853241589378968,0.8701520092967462,0.93306342780027,0.9099277625280132
3,10,0.01710685322296277,0.9248229548229547,0.991904761904762,0.9563265536723164
4,2,0.034159111164444596,0.8053571428571427,0.8053571428571427,0.9195890591966174
4,3,0.04475442542506876,0.8608333333333335,0.9233333333333335,0.9397163120567376
4,4,0.08431711236882702,0.8256410256410256,0.8740384615384617,0.8813031914893618
4,5,0.05018300020868791,0.8774999999999998,0.9512500000000002,0.9135911628802464
4,6,0.09659140283783033,0.8296491228070175,0.8953947368421054,0.8872829131652662
4,7,0.0838048077564626,0.8716991341991344,0.9178571428571429,0.8922177425495302
4,8,0.1589691036300804,0.7787221582181261,0.8981720430107527,0.8823086369330916
4,9,0.10477978846419903,0.8036143353174603,0.9198670634920635,0.8658018188419767
4,10,0.039823348626468316,0.9099591796097173,0.9497640382317802,0.9239320233743215
5,2,0.04830748075734474,0.7355555555555555,0.7355555555555555,0.9228585858585857
5,3,0.06925067735078858,0.8043589743589743,0.8825641025641027,0.9131596468374583
5,4,0.09661869164159552,0.8115686274509806,0.9005882352941178,0.8932251572327043
