r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.038216280123103276,1.0,1.0,1.0
1,3,0.21457270625253155,0.8,0.8,0.9552845528455285
1,4,0.27203045659353503,0.8,0.8,0.8
1,5,0.21509061978903982,0.8,0.8,0.8
2,2,0.17886428823019607,0.9,0.9,0.9
2,3,0.053836063224204964,0.9833333333333332,1.0,0.9996124031007753
2,4,0.38311074487045904,0.8766666666666666,0.9099999999999999,0.8166666666666668
2,5,0.19760029325735318,0.9,0.9,0.9692222222222222
3,2,0.1302851417979441,0.9199999999999999,0.9199999999999999,0.8666666666666666
3,3,0.28537155758341026,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,4,0.34440605243439054,0.861111111111111,0.8666666666666668,0.9198581560283688
3,5,0.33842479905126577,0.8684848484848484,0.9018181818181817,0.8391156462585034
4,2,0.25953211453021463,0.8142857142857143,0.8142857142857143,0.838953488372093
4,3,0.27455282282351334,0.85,0.85,0.9441489361702129
4,4,0.4374507618004321,0.8083333333333332,0.85,0.8164166666666667
4,5,0.23009495269262717,0.8375,0.8699999999999999,0.8954716981132076
5,2,0.19146054646779673,0.8977777777777778,0.8977777777777778,0.9493333333333334
5,3,0.48393437457303434,0.7533333333333333,0.8,0.7597278911564626
5,4,0.32806368171645656,0.8166666666666668,0.8300000000000001,0.8882389937106918
5,5,0.5050054921567906,0.7319999999999999,0.768,0.7951228070175439
6,2,0.473696684358052,0.7212121212121213,0.7212121212121213,0.755
6,3,0.2762817684680804,0.8666666666666666,0.8666666666666666,0.9740740740740741
6,4,0.2618195324303215,0.836111111111111,0.85,0.8493551587301589
6,5,0.5192936528656328,0.6266666666666667,0.64,0.6936065573770491
7,2,0.2998294884345855,0.8087912087912088,0.8087912087912088,0.875558345447337
7,3,0.28323087981152184,0.8904761904761903,0.9238095238095239,0.9163522012578615
7,4,0.3610051654621615,0.8142857142857143,0.8285714285714286,0.864729620661824
7,5,0.48644485608994004,0.6517050691244239,0.6853456221198158,0.6686697892271664
8,2,0.4360993450910243,0.725,0.725,0.7916666666666666
8,3,0.3600866181294228,0.725,0.7416666666666667,0.8206060606060606
8,4,0.45091205190229305,0.7196839080459769,0.7467672413793103,0.8199779023145617
8,5,0.3819822439886137,0.7620833333333333,0.7844444444444445,0.7574673913043479
9,2,0.35938508133367325,0.7006535947712418,0.7006535947712418,0.7408257747543462
9,3,0.37234824565350966,0.6928888888888889,0.712,0.7780719475456317
9,4,0.44643154593204726,0.73989898989899,0.7565656565656566,0.7522792022792023
9,5,0.4703413460668953,0.7792953929539295,0.779620596205962,0.8446923874440253
10,2,0.43531775327157385,0.76,0.76,0.7757999999999999
10,3,0.262225702977425,0.8485714285714285,0.869047619047619,0.8198830409356725
10,4,0.4346495545054383,0.7181531531531531,0.7214864864864865,0.7499019607843138
10,5,0.5374822595542545,0.6591739130434782,0.6622608695652173,0.7200805906422344
