r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.07558068850907171,0.9,0.9,0.9975609756097562
1,3,0.10098174826898594,0.8,0.8666666666666666,0.9894308943089432
1,4,0.06820090548257246,0.8333333333333333,0.9,0.9772357723577236
1,5,0.05998061400822023,0.8800000000000001,1.0,0.9658536585365853
2,2,0.10835988627655364,0.9,0.9,0.9035714285714285
2,3,0.2054334975274199,0.6833333333333333,0.7333333333333334,0.8891472868217054
2,4,0.18456166305925265,0.5933333333333334,0.6599999999999999,0.7700757575757576
2,5,0.16486566431565342,0.715,0.78,0.8655555555555556
3,2,0.07020832710364441,0.7733333333333332,0.7733333333333332,0.8103543743078626
3,3,0.10229350630977066,0.7444444444444445,0.7999999999999999,0.9701234567901235
3,4,0.09092462200198996,0.8722222222222221,0.9166666666666666,0.9657210401891252
3,5,0.08534731985374062,0.8351515151515152,0.8751515151515152,0.8649659863945578
4,2,0.1529150287266412,0.7142857142857142,0.7142857142857142,0.8119053911205073
4,3,0.13656532198010848,0.7333333333333334,0.7499999999999999,0.8936170212765958
4,4,0.09629654700100196,0.8499999999999999,0.9375,0.9396666666666667
4,5,0.12710922247892173,0.7625,0.89,0.9215094339622641
5,2,0.16896253930023555,0.6244444444444446,0.6244444444444446,0.8142121212121213
5,3,0.15726591756343872,0.6933333333333335,0.6933333333333334,0.8723809523809525
5,4,0.1485728701168922,0.7299999999999999,0.79,0.9226415094339624
5,5,0.1654263851794091,0.622,0.712,0.8861052631578948
6,2,0.12276214100113476,0.6681818181818182,0.6681818181818182,0.8609500805152978
6,3,0.17761225856637386,0.65,0.6888888888888889,0.8906318082788672
6,4,0.14208909504956885,0.7388888888888889,0.8,0.9046130952380953
6,5,0.16536161529754817,0.6916666666666667,0.78,0.8995355191256831
7,2,0.12084627585712866,0.7252747252747253,0.7252747252747253,0.8914563235099775
7,3,0.17058618813925425,0.638095238095238,0.6476190476190476,0.8452830188679246
7,4,0.10963217780836376,0.7619047619047619,0.8214285714285715,0.9289749798224374
7,5,0.18002075257192526,0.6670046082949309,0.7861751152073733,0.8433406593406593
8,2,0.22704677137416124,0.55,0.55,0.8424479166666666
8,3,0.13156027532593037,0.775,0.7916666666666666,0.9313636363636363
8,4,0.14606325631159106,0.7686781609195402,0.8237068965517242,0.8991348870056498
8,5,0.11064663954613382,0.7265277777777778,0.763888888888889,0.8454016164994427
9,2,0.11861963895234076,0.7045751633986929,0.7045751633986929,0.8941468253968253
9,3,0.15426033678653087,0.7048888888888889,0.6977777777777778,0.8842258845767617
9,4,0.12467624524690146,0.763973063973064,0.8398989898989899,0.9047711607389026
9,5,0.129326240788266,0.7132249322493224,0.8005420054200542,0.9116522180310149
10,2,0.18319093734605252,0.65,0.65,0.8682000000000001
10,3,0.11590625205535554,0.6838095238095238,0.770952380952381,0.8307939339875112
10,4,0.11424071331177425,0.7715315315315315,0.9029729729729731,0.9399125188536953
10,5,0.1376748909602749,0.7046956521739131,0.7523478260869565,0.9168393524283935
