r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.44853378128609067,0.0,0.0,0.70625
1,3,0.42158145902006083,0.15,0.1,0.60625
1,4,0.38935707206264636,0.06666666666666667,0.0,0.4848958333333333
1,5,0.4074383036930646,0.21000000000000002,0.0,0.6465625
1,6,0.39563000929844766,0.40666666666666673,0.1,0.6785416666666666
1,7,0.4327239749160424,0.4833333333333333,0.07142857142857142,0.6095238095238096
1,8,0.39712748539595755,0.5071428571428571,0.0,0.6714285714285715
1,9,0.48078063511280467,0.6458333333333333,0.07777777777777778,0.701388888888889
1,10,0.42551137250340537,0.5566666666666669,0.06999999999999999,0.5975694444444445
2,2,0.42370103558056177,0.1,0.1,0.7053308823529412
2,3,0.38205408461919677,0.125,0.05,0.675462962962963
2,4,0.4662798398288591,0.0875,0.0,0.6646929824561404
2,5,0.3854693215868555,0.3908333333333333,0.06,0.6905937499999999
2,6,0.4925577771532417,0.41785714285714287,0.05,0.6921974206349208
2,7,0.5083109354414403,0.4931547619047619,0.02857142857142857,0.713406385281385
2,8,0.48418733814654435,0.5249999999999999,0.0625,0.723915469720497
2,9,0.43930946779671237,0.5755555555555556,0.07777777777777778,0.6785590277777777
2,10,0.4085719482231741,0.5736363636363636,0.09863636363636363,0.6382722222222225
3,2,0.4119368184529339,0.0,0.0,0.5727260348583878
3,3,0.42905764258874857,0.06666666666666667,0.06666666666666667,0.6746913580246915
3,4,0.45435265661629964,0.2148148148148148,0.0,0.6649322169059011
3,5,0.4417451590862395,0.3872727272727273,0.12424242424242424,0.685125
3,6,0.4759137101933074,0.2391880341880342,0.03333333333333333,0.5832872914122914
3,7,0.5481303739718985,0.3433333333333334,0.009523809523809523,0.613860544217687
3,8,0.4575940161302289,0.4252450980392156,0.0375,0.5957453416149067
3,9,0.5004603990064472,0.529450203792309,0.014814814814814814,0.7249517746913579
3,10,0.5034038713157611,0.6786772486772489,0.023333333333333334,0.8147337690631804
4,2,0.4206072972902596,0.0,0.0,0.6161571207430342
4,3,0.47375300305751544,0.052500000000000005,0.03,0.6150904882154882
4,4,0.5011338445684206,0.12355769230769227,0.0,0.5496232057416268
4,5,0.4393382020723636,0.29635416666666664,0.05,0.6568095238095238
4,6,0.38739826310229547,0.35442355889724314,0.02631578947368421,0.6192203808736065
4,7,0.49461002019714917,0.41547619047619044,0.022727272727272728,0.6823304321728689
4,8,0.4229387649129902,0.5219107142857142,0.024,0.6583461858597727
4,9,0.5359412324073102,0.4574305555555555,0.03888888888888889,0.800026041666667
4,10,0.4446718728506435,0.5079879439556861,0.0225,0.6243054415564676
5,2,0.4606357785115379,0.042222222222222223,0.042222222222222223,0.5604656002751978
5,3,0.4336952584069594,0.04461538461538462,0.023076923076923078,0.6678510101010101
5,4,0.43378239801844076,0.17572829131652656,0.043529411764705886,0.6335015151515152
5,5,0.46824414008178855,0.2551652661064425,0.009523809523809523,0.6388377976190476
5,6,0.4639626903464681,0.3116,0.0,0.6475426431394171
5,7,0.519248243282944,0.37932176768758474,0.038881987577639755,0.6538579431772708
5,8,0.5235054752024012,0.3592316017316016,0.01818181818181818,0.6742392067392067
5,9,0.49792072183653485,0.493632856994926,0.04864864864864865,0.7465202546296297
5,10,0.5451972803790176,0.38201490514905156,0.016,0.7293632361710336
6,2,0.5088548145419061,0.01818181818181818,0.01818181818181818,0.6106474519632414
6,3,0.5033006800413323,0.08809523809523809,0.0,0.6912134162134163
6,4,0.5069645915903809,0.14067460317460317,0.04126984126984127,0.6712875704045059
6,5,0.46313273943544997,0.27446192696192695,0.03461538461538462,0.6282833167989418
6,6,0.47787593837788994,0.3100978770333609,0.016129032258064516,0.6013974992210633
6,7,0.5220651470695632,0.2899074074074074,0.030555555555555558,0.6588892948483741
6,8,0.5152435795787751,0.3719700075152012,0.014634146341463414,0.6517713652823945
6,9,0.5904277485567646,0.40875391982371384,0.048855835240274606,0.6511393573633156
6,10,0.5151107637178056,0.47368884927708466,0.032049910873440286,0.6930943893600595
7,2,0.5587575047719622,0.015384615384615385,0.015384615384615385,0.5822201607915891
7,3,0.5037139946393375,0.06055137844611528,0.019548872180451128,0.6935252247752247
7,4,0.5381109260956708,0.11985714285714281,0.016,0.6995606307038944
7,5,0.5149992673119254,0.18143966547192353,0.03464755077658303,0.6520917658730159
7,6,0.5441248880422282,0.26471525096525095,0.0,0.6400651276181499
7,7,0.49939216326705127,0.27820333461743807,0.0069767441860465115,0.5850441263461906
7,8,0.514177436816881,0.3732021379980564,0.026530612244897955,0.6526343060735266
7,9,0.503244727846056,0.39233762100783376,0.023838383838383836,0.6452335482804232
7,10,0.6059051403174537,0.406391040653336,0.04740046838407495,0.7337165561474692
8,2,0.5031164935296641,0.013333333333333332,0.013333333333333332,0.6425107048748353
8,3,0.4999771823924363,0.034772727272727275,0.015,0.6143038385225885
8,4,0.5320618289071459,0.11571894341290892,0.015384615384615385,0.6478316195702345
8,5,0.5547767340991869,0.18416914682539684,0.003125,0.6025058396464645
8,6,0.46739707369321604,0.24722042950929116,0.011627906976744186,0.603954307568438
8,7,0.5733655134571475,0.2270194805194805,0.0,0.6082681615922809
8,8,0.5376741619671799,0.3151168546365915,0.016526315789473684,0.6703772666228295
8,9,0.5379916357587406,0.29397321428571427,0.0125,0.597057136656746
8,10,0.5609931075867427,0.33478753344439405,0.043802816901408456,0.6486904683676056
9,2,0.4831322989421545,0.0,0.0,0.5754721124286342
9,3,0.5309514099841018,0.026708074534161484,0.004347826086956522,0.5604262481345815
9,4,0.5072998736839655,0.10726150392817058,0.0,0.6110662132720958
9,5,0.5630954245412749,0.17422544495715225,0.0,0.5887967171717172
9,6,0.5527573353761854,0.15194805194805197,0.004081632653061224,0.6152214960058098
9,7,0.6154836757246944,0.2250233426704015,0.011764705882352941,0.6346711827045878
9,8,0.5046605062006698,0.29795696527948046,0.010344827586206896,0.6721584116994868
9,9,0.5962551105524125,0.28789476251805013,0.04912539515279241,0.6283977944958847
9,10,0.5861017096938496,0.273732118361748,0.06098765432098765,0.5765537303272483
10,2,0.5059982335261752,0.0058823529411764705,0.0058823529411764705,0.5800403491436101
10,3,0.5440440917510978,0.03760989010989011,0.014560439560439559,0.6338024626517272
10,4,0.5290226095756978,0.07442732105919961,0.0,0.6297925640243527
10,5,0.5670837295287898,0.1468825869020377,0.002173913043478261,0.6333442016317016
10,6,0.5310603703102473,0.21284444444444447,0.002,0.5724561360776195
10,7,0.5749513826517838,0.18393913019451813,0.0017241379310344827,0.5689749017146646
10,8,0.5590941855915837,0.25224981832655385,0.005084745762711865,0.6371148029276849
10,9,0.5988562300931453,0.24344857607052725,0.04244048926975757,0.5903145386153199
10,10,0.5802502445656514,0.33115784612610555,0.05780961437493346,0.6287005466052935
