r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0017196088163849987,0.6,0.6,0.6
1,3,7.437646140974566e-05,1.0,1.0,1.0
1,4,0.005873881842595574,0.8,0.8,0.8
1,5,0.0001600635101962733,0.8,0.8,0.8
2,2,0.00026852067597376016,0.7666666666666666,0.7666666666666666,0.7941176470588236
2,3,0.000496445040457564,0.7,0.7,0.6
2,4,0.00016300667572072643,0.96,0.96,0.9
2,5,0.00620039286305915,0.9333333333333333,0.9333333333333333,0.8
3,2,0.0011830094023034476,0.6933333333333332,0.6933333333333332,0.855119825708061
3,3,0.003646598974074585,0.8238095238095238,0.819047619047619,0.8565432098765431
3,4,0.005045907404276579,0.9555555555555555,0.9777777777777779,0.9292929292929293
3,5,0.0072907723630322606,0.9436363636363637,0.9636363636363636,0.8625
4,2,0.0005696917667508238,0.6833333333333333,0.6833333333333333,0.741812865497076
4,3,0.00036514938991928,0.9200000000000002,0.9200000000000002,0.8
4,4,0.022796515574516004,0.8933333333333333,0.9225,0.8938333333333335
4,5,0.016200905302656818,0.9041666666666668,0.8791666666666668,0.7954166666666667
5,2,0.0014766879620705486,0.7599999999999999,0.7599999999999999,0.8316842105263158
5,3,0.004041489240530561,0.883916083916084,0.8531468531468531,0.8365757575757575
5,4,0.014404833779324656,0.903921568627451,0.9047058823529411,0.8726952380952382
5,5,0.001420097595855769,0.9478991596638655,0.9478991596638655,0.8
6,2,0.0028861708535451074,0.7636363636363637,0.7636363636363637,0.8566666666666667
6,3,0.0055779943540317485,0.9033730158730158,0.8922619047619047,0.8959401709401711
6,4,0.0004822941129820907,0.9253968253968254,0.9281746031746032,0.7991935483870968
6,5,0.02324392375092501,0.9419230769230769,0.9692307692307691,0.8964236111111111
7,2,0.0010612379941385434,0.8923076923076924,0.8923076923076924,0.85578231292517
7,3,0.004710343640839965,0.8792569659442723,0.8687306501547987,0.8250915750915752
7,4,0.028624448110041827,0.878952380952381,0.893948051948052,0.8514722017839395
7,5,0.011155410588063294,0.936499402628435,0.951015531660693,0.7986904761904763
8,2,0.00490283697269423,0.6987637362637363,0.6987637362637363,0.765564182194617
8,3,0.006598539059482718,0.8709090909090909,0.8489393939393939,0.8213492063492064
8,4,0.019223065256656256,0.8912632625994694,0.9177718832891248,0.8460313669931792
8,5,0.03808139062610125,0.8609375,0.9125,0.8154409722222222
9,2,0.002721386763970552,0.8593137254901961,0.8593137254901961,0.8846014492753623
9,3,0.01348902285451869,0.8887039337474121,0.8679420289855072,0.8406457739791072
9,4,0.021017056959401526,0.8665319865319866,0.8406060606060606,0.7735733361444936
9,5,0.039224089512774285,0.8958141067897166,0.9161502966381014,0.8387373737373738
10,2,0.0016721047941689869,0.8091503267973856,0.8091503267973856,0.7765217391304347
10,3,0.009306730533566478,0.8758241758241759,0.8835164835164836,0.7773541666666667
10,4,0.015281911384432256,0.8709489375523531,0.8803682240114877,0.8151628908320084
10,5,0.046893153242138094,0.9067778141004685,0.9181649776615451,0.832530303030303
