r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.11728968797438413,0.6,0.6,0.6
1,3,0.3039065358295584,1.0,1.0,1.0
1,4,0.23478810545581474,0.8,0.8,0.8
1,5,0.27541771938304904,0.76,0.72,0.7925
2,2,0.1806450876591335,0.8,0.8,0.796875
2,3,0.18354222894607516,0.6833333333333333,0.7,0.5990740740740741
2,4,0.22625977886032977,0.8933333333333333,0.835,0.8916666666666668
2,5,0.2249348047989666,0.9183333333333333,0.9333333333333333,0.79875
3,2,0.2199268071287149,0.8799999999999999,0.8799999999999999,0.8647058823529411
3,3,0.2955182920572568,0.8142857142857143,0.8285714285714285,0.7975308641975308
3,4,0.23557384676667895,0.9111111111111111,0.9111111111111111,0.9227272727272726
3,5,0.24232216628946657,0.8787878787878789,0.873939393939394,0.8534166666666667
4,2,0.23254187617108185,0.8226190476190476,0.8226190476190476,0.7486842105263157
4,3,0.22056637855071798,0.9,0.9,0.79875
4,4,0.3942901411689861,0.8699999999999999,0.915,0.839842105263158
4,5,0.2770908190554583,0.9291666666666668,0.9416666666666668,0.7990178571428571
5,2,0.2488987072542627,0.8222222222222222,0.8222222222222222,0.8
5,3,0.2717618299779933,0.9020979020979022,0.9020979020979022,0.8381818181818181
5,4,0.3054075074400606,0.8698039215686274,0.8776470588235294,0.8695952380952381
5,5,0.29247705255204753,0.911109243697479,0.9243697478991597,0.7978065476190476
6,2,0.3686460356199842,0.7484848484848485,0.7484848484848485,0.7984126984126985
6,3,0.3773258887313431,0.8628968253968253,0.8890873015873015,0.8614607614607616
6,4,0.23871235801478594,0.9238095238095239,0.9174603174603174,0.7991071428571428
6,5,0.3046643911872188,0.9534615384615386,0.9692307692307693,0.8982002314814815
7,2,0.24300146500345599,0.8461538461538461,0.8461538461538461,0.8530612244897959
7,3,0.271828794928044,0.9003095975232197,0.9003095975232197,0.8
7,4,0.3738538243337567,0.8600865800865801,0.8437922077922078,0.8367185583910983
7,5,0.3220513728823352,0.8879330943847072,0.9168458781362008,0.7936904761904762
8,2,0.3218307219612996,0.7233516483516483,0.7233516483516483,0.7446273291925467
8,3,0.35183313615766953,0.8197979797979797,0.8276767676767676,0.7719616147741147
8,4,0.3398948287998871,0.848839522546419,0.8770391246684351,0.8159756590081543
8,5,0.36055122572928267,0.8668402777777778,0.86875,0.8121597222222221
9,2,0.29959903050164705,0.8351307189542483,0.8351307189542483,0.8836151368760063
9,3,0.3735195034774383,0.857955371520589,0.8693627789279963,0.7986772486772485
9,4,0.37152317298763016,0.8746127946127945,0.8802020202020202,0.7626365454638699
9,5,0.42313737172392385,0.8369479235332895,0.8344100197758735,0.7957146464646463
10,2,0.25428806750791244,0.7633986928104576,0.7633986928104576,0.7577865612648221
10,3,0.28625327155613556,0.8374542124542124,0.8579670329670328,0.7575317460317461
10,4,0.36126158864260505,0.8172658426927877,0.8881583670957486,0.7649528351881292
10,5,0.4159345419896051,0.873449929170753,0.8804075405906069,0.8054378787878788
