r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.005966982881709759,0.9,0.9,0.9969696969696968
1,3,0.004986679652488267,0.9,0.9,0.9
1,4,0.0015000118735953598,0.9666666666666666,0.95,0.9974747474747474
1,5,0.04195775506562597,0.97,0.9800000000000001,0.9971212121212123
1,6,0.007739742349660355,1.0,1.0,1.0
1,7,0.013290328495464113,0.9,0.9,0.9
1,8,0.06260545762734876,0.9214285714285715,1.0,0.9933441558441558
1,9,0.07262125676776501,0.975,0.9777777777777779,0.9949074074074072
1,10,0.030599592740506592,0.9888888888888889,1.0,0.9984511784511785
2,2,0.002739154117467363,0.8583333333333334,0.8583333333333334,0.8977941176470589
2,3,0.037188145691020344,0.9416666666666668,0.9166666666666667,0.9966666666666667
2,4,0.01593224040771716,0.975,1.0,0.9986111111111111
2,5,0.12310009063507144,0.9324999999999999,0.9,0.9925675675675677
2,6,0.11095415306401053,0.9583333333333334,0.9833333333333334,0.9753947368421052
2,7,0.05876281506707043,0.955952380952381,0.9857142857142858,0.9960927960927961
2,8,0.027665886953854708,0.9758928571428571,0.975,0.9968080357142858
2,9,0.013430419685761117,0.9684722222222224,0.99,0.9482554200542005
2,10,0.06256229187263077,0.9866666666666667,1.0,0.9965873015873015
3,2,0.01629068836679544,0.9066666666666666,0.9066666666666666,0.9647338935574229
3,3,0.01210390287569785,0.9666666666666668,0.9333333333333332,0.9981981981981981
3,4,0.033690237293885136,0.9416666666666668,0.9388888888888889,0.9636752136752136
3,5,0.042531116858738054,0.9628787878787879,0.9818181818181818,0.9322632388486047
3,6,0.05263289929379313,0.99,0.9833333333333332,0.9993540051679586
3,7,0.022160612637566076,0.9465873015873016,0.9866666666666667,0.9320164932069692
3,8,0.08491675170479426,0.9604901960784314,0.9941176470588236,0.9628552431610944
3,9,0.03487196082130396,0.9718810916179337,0.9894736842105264,0.9317743764172336
3,10,0.06438377772173243,0.9361640211640212,0.9402380952380952,0.9271387073347857
4,2,0.02237622927471035,0.9625,0.9625,0.9986111111111111
4,3,0.02500322935318381,0.9583333333333333,0.9583333333333333,0.9981837606837605
4,4,0.02631595846495502,0.9540064102564102,0.9596153846153846,0.948592032967033
4,5,0.04987016285292572,0.9469078947368421,0.9844736842105263,0.9779128787878788
4,6,0.03959425658010005,0.9306299840510366,0.9664074960127593,0.9318092946017302
4,7,0.16241955078339682,0.9279805194805195,0.9347402597402598,0.9609300595238096
4,8,0.10847513137965674,0.9274234693877552,0.93125,0.9886408730158729
4,9,0.12521354521296002,0.9506944444444446,0.976190476190476,0.9385708815690019
4,10,0.23482653644006818,0.923937275985663,0.8827741935483872,0.9363184458968773
5,2,0.048516043379401824,0.9577777777777777,0.9577777777777777,0.9791816816816816
5,3,0.05122574196516109,0.9366666666666668,0.9333333333333333,0.9845528455284553
5,4,0.08561490796915291,0.8912745098039215,0.9073529411764707,0.9721216931216929
5,5,0.03154349170544521,0.9678214285714286,0.9862380952380952,0.9592235621521337
5,6,0.06441673775841449,0.988952380952381,0.9933333333333334,0.9997484276729558
5,7,0.1423903156872294,0.9133713054187191,0.9193195812807881,0.9516176880108768
5,8,0.1394492459605498,0.9385344827586206,0.9578544061302683,0.9535917704096306
5,9,0.08132704332074403,0.9607432432432432,0.9839639639639639,0.9636596941070625
5,10,0.181435086271256,0.9043232323232322,0.933,0.9055863814124683
6,2,0.030958168444144184,0.9295454545454545,0.9295454545454545,0.9653330962541489
6,3,0.03612398676474845,0.9548611111111113,0.94375,0.9812661498708011
6,4,0.10968757046533732,0.9007936507936508,0.8904761904761905,0.9423456790123457
6,5,0.08607021679985387,0.903846153846154,0.908974358974359,0.9752467590809909
6,6,0.1492025886868057,0.9018069459893707,0.8879495736002967,0.9471884333144809
6,7,0.07634984587481108,0.9702686202686204,0.980952380952381,0.9894242882338121
6,8,0.1570476824531094,0.9436536532573119,0.9308943089430894,0.9703392762074092
6,9,0.17863218754965882,0.9046873509625366,0.9067977515030993,0.9228731094650717
6,10,0.1964958126401459,0.8765746792544176,0.92718954248366,0.9101713358657806
7,2,0.045019331378036154,0.9351648351648352,0.9351648351648352,0.9840659340659339
7,3,0.06507032001172619,0.9238095238095239,0.9142857142857143,0.9965608465608465
7,4,0.13854437128331046,0.9202380952380953,0.9392857142857143,0.9840102707749766
7,5,0.06482506102494417,0.9362096774193549,0.9530956898888588,0.9683981601578067
7,6,0.19163470423464607,0.8906454311454312,0.930415057915058,0.9234004007670528
7,7,0.04820670862233391,0.9499681788792362,0.9661851282474567,0.9524579946163797
7,8,0.14876507185498467,0.9407321646607361,0.9492399267399267,0.9462108888449745
7,9,0.2727104250955989,0.898066378066378,0.948975468975469,0.9132716049382715
7,10,0.14232473794807293,0.9462351190476191,0.9454464285714288,0.9641689472723958
8,2,0.08993665952610516,0.9429166666666667,0.9429166666666667,0.9739062500000001
8,3,0.06470261531106021,0.8910984848484848,0.8939393939393939,0.9574231678487
8,4,0.1149363765947767,0.8934985632183908,0.8785560344827588,0.9422181372549021
8,5,0.1276883313223839,0.9160149572649574,0.9084401709401708,0.9615354112740867
8,6,0.11654541540233684,0.8995015598411797,0.9331229911136321,0.9543730547774665
8,7,0.15844408842476904,0.9146847221425704,0.9368229053162814,0.932677779999791
8,8,0.14284658649279222,0.8922877506265664,0.913936403508772,0.9328948477843294
8,9,0.18026384232242876,0.8991685452943615,0.9351756840796019,0.9319997620643947
8,10,0.18785395598264393,0.9220778877469018,0.9035515797487628,0.9423232625585356
9,2,0.08540740277465123,0.9101307189542484,0.9101307189542484,0.9733028455284554
9,3,0.08399787149697677,0.9411111111111111,0.9204444444444444,0.964612984673775
9,4,0.12752297847276253,0.919107744107744,0.9494949494949495,0.9455156667388633
9,5,0.145723858778336,0.8929406873614191,0.902179108154718,0.9270087112056886
9,6,0.10727518613193383,0.9183638583638585,0.9249098784813071,0.9635932516938862
9,7,0.16652161922769396,0.9105458089668617,0.9268142578668893,0.9026971087897013
9,8,0.21061496704152233,0.8612231470982676,0.8568862555530832,0.9093306409176793
9,9,0.216188107613671,0.9007970349479214,0.914667084489808,0.8853936191332179
9,10,0.22462619177200938,0.8634156378600821,0.9332098765432099,0.8590777483833039
10,2,0.03520149274309077,0.9123684210526317,0.9123684210526317,0.9579529616724738
10,3,0.1279151327133879,0.9103571428571428,0.9088095238095237,0.9560717620381487
10,4,0.11192654055150933,0.8914639639639639,0.9060810810810811,0.9515877192982456
10,5,0.24000638129191526,0.8460842945874003,0.8556087942423348,0.9182429208472687
10,6,0.2045944185443236,0.8525689162279925,0.8401128723802763,0.9130412493385371
10,7,0.15714231113592103,0.947261904761905,0.9271875000000002,0.9683377931845364
10,8,0.18463532402297894,0.8919053179404737,0.9082885332748191,0.9142753410658353
10,9,0.39990477230229937,0.80080698095942,0.8645363038045965,0.8842179504054222
10,10,0.19346905355863514,0.9033922531369335,0.9591713818096796,0.9205537176274017
