r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22535798916458769,0.8,0.8,0.9939393939393939
1,3,0.13625128476565618,0.9,0.8,0.9939393939393939
1,4,0.20324944444019852,0.9666666666666666,0.95,0.997979797979798
1,5,0.09023121646860725,0.9199999999999999,0.9199999999999999,0.9957575757575757
2,2,0.2112224453128008,1.0,1.0,1.0
2,3,0.15945954285629774,0.95,0.95,0.9
2,4,0.1987964826383766,0.9583333333333334,1.0,0.9664351851851851
2,5,0.1303048371054324,0.9316666666666666,0.9466666666666667,0.8890540540540541
3,2,0.20213430017713302,0.9333333333333332,0.9333333333333332,0.9980952380952381
3,3,0.1464608375059081,0.9142857142857143,0.9142857142857143,0.8657142857142857
3,4,0.2722306192679136,0.8555555555555557,0.8666666666666668,0.9017094017094017
3,5,0.22882594898409242,0.96,0.8533333333333333,0.9963414634146343
4,2,0.182668910500815,1.0,1.0,1.0
4,3,0.2240737677544106,0.9550000000000001,0.93,0.9487179487179487
4,4,0.2645328060070935,0.9333333333333333,0.9875,0.9333333333333332
4,5,0.23314846202502232,0.8943749999999999,0.875,0.9020027100271003
5,2,0.17959518484979492,0.8711111111111111,0.8711111111111111,0.9178078078078078
5,3,0.24188824174204232,0.8333333333333333,0.8,0.8970731707317073
5,4,0.18329599204387978,0.9027450980392159,0.8894117647058823,0.8785185185185185
5,5,0.22453317537684225,0.916,0.8240000000000001,0.9941224489795919
6,2,0.20710907098552456,0.9303030303030303,0.9303030303030303,0.9324561403508772
6,3,0.18404066679745348,0.8277777777777778,0.8055555555555556,0.9135658914728682
6,4,0.19671778519157726,0.9305555555555557,0.95,0.9704282407407409
6,5,0.20414661032020875,0.9156410256410258,0.9323076923076924,0.9275157232704403
7,2,0.16335530735360976,0.8934065934065935,0.8934065934065935,0.9409870830923464
7,3,0.19743959317265874,0.9323308270676692,0.9037593984962407,0.9415873015873016
7,4,0.1940376380634988,0.8880952380952382,0.8714285714285713,0.9607843137254903
7,5,0.26022409305604105,0.8757142857142857,0.8571428571428571,0.9125062656641603
8,2,0.18238334575554577,0.9099999999999999,0.9099999999999999,0.9731089743589744
8,3,0.1805711013952161,0.9,0.8916666666666668,0.9159574468085105
8,4,0.2250650501441422,0.8708333333333333,0.86875,0.9288194444444443
8,5,0.24929990451345413,0.8019978632478633,0.8503846153846155,0.8486518370721887
9,2,0.2070196515332901,0.8111111111111111,0.8111111111111111,0.9281842818428185
9,3,0.20385706609618226,0.8708148148148149,0.855111111111111,0.962507840015439
9,4,0.19991310590032715,0.8777777777777779,0.8722222222222223,0.9636777128005198
9,5,0.24267470656103907,0.8492849223946785,0.9267085489036709,0.8460691904861987
10,2,0.16718550228791956,0.8757894736842106,0.8757894736842106,0.9553890824622531
10,3,0.23352866025082522,0.8511904761904763,0.8242857142857142,0.8866613311991463
10,4,0.1652539462037486,0.8796846846846849,0.8501351351351352,0.9335891812865498
10,5,0.23976632696855602,0.8008340727595386,0.8139165927240463,0.8458643550396747
