r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2551643228269834,0.2,0.2,0.9269999999999999
1,3,0.22460532166590438,0.2833333333333333,0.2333333333333333,0.8476666666666668
1,4,0.2499664628001415,0.425,0.275,0.8515
1,5,0.30108230570765987,0.5000000000000001,0.4600000000000001,0.9403666666666668
1,6,0.34851398888324814,0.5466666666666666,0.4166666666666667,0.9265333333333332
1,7,0.35465795068885836,0.5738095238095238,0.5142857142857143,0.9002380952380953
1,8,0.3139355853856297,0.5660714285714284,0.5375,0.8116428571428569
1,9,0.38881875642608577,0.5513888888888889,0.5333333333333334,0.8647500000000001
1,10,0.33368753636511783,0.5711111111111111,0.57,0.7902000000000001
2,2,0.2558354958148973,0.275,0.275,0.9230392156862746
2,3,0.29342525273548276,0.30500000000000005,0.2566666666666667,0.9129619155354449
2,4,0.2543396611685657,0.4308333333333333,0.3375,0.8953526637069924
2,5,0.29119827186959457,0.42305555555555563,0.41222222222222216,0.8296401234567901
2,6,0.30140571836867575,0.565,0.4916666666666666,0.9438181818181818
2,7,0.3706963869357359,0.5607142857142857,0.5142857142857143,0.9253038715486193
2,8,0.29236861874063785,0.6727380952380952,0.6827777777777777,0.8893503150142875
2,9,0.37075521420100555,0.5798076923076924,0.5247863247863248,0.9108842984168295
2,10,0.37811007769843646,0.6175396825396826,0.5,0.919559304267491
3,2,0.2567488006340811,0.13333333333333333,0.13333333333333333,0.8905291603821016
3,3,0.24707879020008802,0.35317460317460314,0.35873015873015873,0.8241217902165614
3,4,0.3254602938425211,0.3388888888888889,0.25,0.8887007711889787
3,5,0.363468840717875,0.37869047619047613,0.30833333333333335,0.8693816018625455
3,6,0.2508357678218679,0.712051282051282,0.7185897435897436,0.9337190894992619
3,7,0.2938815014031545,0.6487830687830687,0.6584126984126983,0.899124499900197
3,8,0.3713165409384671,0.5648809523809524,0.5064492753623189,0.914249604355631
3,9,0.3037181799201182,0.6864035087719298,0.7214424951267056,0.9186094663106156
3,10,0.3593921647481103,0.7243322109988778,0.668013468013468,0.9437460197754313
4,2,0.29448091056633896,0.0875,0.0875,0.8743196661828737
4,3,0.2562707160366095,0.37666666666666665,0.30666666666666664,0.879604828042328
