r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0014961157393633018,0.8,0.8,0.8
1,3,0.02528369411122351,0.9666666666666668,1.0,0.9993333333333332
1,4,0.0043373560260539,1.0,1.0,1.0
1,5,0.14624380020288913,0.8699999999999999,0.9199999999999999,0.8784000000000001
2,2,0.12109366421462209,0.85,0.85,0.8990196078431373
2,3,0.0059699140140532046,0.95,0.95,0.9
2,4,0.15299260424334743,0.8099999999999999,0.835,0.780188679245283
2,5,0.17339575154672338,0.8711111111111112,0.9466666666666667,0.76
3,2,0.08086016202613894,0.7466666666666666,0.7466666666666666,0.8640774258421317
3,3,0.0807128543667285,0.8063492063492064,0.7523809523809523,0.863738524849636
3,4,0.1185776080554406,0.8444444444444443,0.9166666666666667,0.918452380952381
3,5,0.17882884194893514,0.7691666666666667,0.8233333333333335,0.7662068965517241
4,2,0.16209596348595626,0.7714285714285715,0.7714285714285715,0.845754716981132
4,3,0.05854628961913788,0.905,0.9133333333333333,0.8994047619047618
4,4,0.11357805996090416,0.887912087912088,0.8835164835164834,0.8486763784461153
4,5,0.1427953139130079,0.8332017543859648,0.8587280701754386,0.7647131147540984
5,2,0.17822298699377934,0.6711111111111112,0.6711111111111112,0.7973864430468204
5,3,0.19657064157748658,0.7647619047619048,0.7724542124542125,0.7583743842364532
5,4,0.17621222837490969,0.8722222222222221,0.9377777777777778,0.8393010752688171
5,5,0.2930534432844073,0.73575,0.8443333333333334,0.7228121212121212
6,2,0.04971496047944041,0.8939393939393939,0.8939393939393939,0.9320987654320987
6,3,0.24116927035699423,0.7294117647058824,0.7584967320261438,0.7523148148148148
6,4,0.08471627901325854,0.8686507936507937,0.898809523809524,0.9139371381306866
6,5,0.08779979906232112,0.9269999999999999,0.952,0.9027619047619048
7,2,0.07236655038163069,0.8,0.8,0.8272770219198791
7,3,0.10885381249306827,0.8619047619047618,0.8761904761904763,0.9128264208909369
7,4,0.195900960093848,0.8124223602484472,0.803416149068323,0.8035686496820951
7,5,0.20923540964014714,0.8177908986175115,0.8597926267281105,0.8000110314396028
8,2,0.09807304601999943,0.825,0.825,0.9228070175438596
8,3,0.09012697374167203,0.9,0.9083333333333334,0.92421875
8,4,0.10484414711111238,0.8968965517241381,0.9254741379310346,0.8744830502623586
8,5,0.3388210679149638,0.716025641025641,0.7491452991452991,0.6920382151632152
9,2,0.12704408207300072,0.7823529411764707,0.7823529411764707,0.843096726490556
9,3,0.10290673392425871,0.8337777777777777,0.8254814814814816,0.8870826318742985
9,4,0.14974663796794835,0.8323829694797436,0.8554089279895731,0.802863462564422
9,5,0.15602728380504174,0.8485353535353536,0.8374747474747475,0.8677147110977284
10,2,0.15453717409151801,0.8184210526315789,0.8184210526315789,0.8394915254237288
10,3,0.057329269847850174,0.8852380952380953,0.8952380952380953,0.9251322043969104
10,4,0.18215029279173445,0.8160902255639098,0.845639097744361,0.8143359187109187
10,5,0.2462644401779496,0.7472122478346874,0.7818505163397459,0.7498397049380368
