r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.1905308930401428,0.8,0.8,0.8
1,3,0.38091216367518443,1.0,1.0,1.0
1,4,0.35535035633399936,1.0,1.0,1.0
1,5,0.36064006213542604,0.8099999999999999,0.96,0.9248000000000001
2,2,0.2607284413882061,0.9,0.9,0.9980392156862745
2,3,0.31661596379114265,0.95,0.95,0.9
2,4,0.39799929403221296,0.77,0.8099999999999999,0.785496855345912
2,5,0.3084464853905078,0.9222222222222222,0.9666666666666668,0.8333333333333333
3,2,0.2651334723448268,0.96,0.96,0.9333333333333332
3,3,0.4164315313244189,0.8063492063492064,0.9047619047619048,0.867465970243748
3,4,0.4146550587896395,0.8722222222222221,0.8833333333333334,0.9222222222222222
3,5,0.3852976808847507,0.79,0.925,0.8630211854856885
4,2,0.34782218292177297,0.9464285714285714,0.9464285714285714,0.9495283018867925
4,3,0.38054584154124654,0.8966666666666667,0.9466666666666667,0.9172619047619047
4,4,0.3403312289367953,0.9024725274725274,0.9310439560439561,0.9150906928337793
4,5,0.42800514905779563,0.8007565789473684,0.8562280701754386,0.7811030726947752
5,2,0.4054845296680976,0.7488888888888889,0.7488888888888889,0.879601677148847
5,3,0.3394655162363959,0.8728937728937728,0.9292307692307693,0.8791789819376026
5,4,0.34997119703488544,0.9118518518518519,0.95,0.9716129032258063
5,5,0.40555779205478226,0.7888333333333334,0.8933333333333333,0.8678223776223776
6,2,0.3760248452261341,0.8621212121212121,0.8621212121212121,0.933625140291807
6,3,0.3849256566108251,0.8494281045751635,0.9076797385620914,0.9205041452908198
6,4,0.3834001226392651,0.9071428571428571,0.9178571428571429,0.9631810035842294
6,5,0.36520062570330414,0.9296666666666666,0.9640000000000001,0.9649652014652016
7,2,0.3294903440567444,0.8476190476190476,0.8476190476190476,0.8841836734693878
7,3,0.43026658306946575,0.8857142857142858,0.9428571428571428,0.9610599078341012
7,4,0.4634711983227934,0.8234989648033126,0.872360248447205,0.8841219821261838
7,5,0.3936561254673815,0.8450806451612903,0.9207546082949308,0.9217762870660255
8,2,0.36336557940281156,0.9625,0.9625,0.9763157894736842
8,3,0.45341204304941785,0.9166666666666666,0.95,0.9430989583333333
8,4,0.39848264093806346,0.8956752873563218,0.9457040229885058,0.907348638577701
8,5,0.4148081695147855,0.8221153846153847,0.9017094017094017,0.9197820535320534
9,2,0.36075435299163966,0.9071895424836601,0.9071895424836601,0.9337030315251731
9,3,0.393272565607093,0.9164444444444445,0.9247407407407409,0.9271762766554433
9,4,0.38795685183818784,0.8616541761703053,0.9236884978820463,0.8733043157466509
9,5,0.4485298145596426,0.8814898989898989,0.9097979797979798,0.932791662484526
10,2,0.44020057583305877,0.8878947368421052,0.8878947368421052,0.9217066043249561
10,3,0.38305462541131696,0.89,0.9514285714285714,0.9451931075460488
10,4,0.3918520570317492,0.8550877192982458,0.9297368421052632,0.9217120250120251
10,5,0.5018851004278726,0.7853108631673452,0.8317139794554886,0.8245907854904792
