r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22698090153856415,0.8,0.8,0.8
1,3,0.449380681128298,1.0,1.0,1.0
1,4,0.4266990788686952,1.0,1.0,1.0
1,5,0.4260772579954638,0.8099999999999999,0.96,0.9148
2,2,0.3168268245138589,0.9,0.9,0.9980392156862745
2,3,0.3767367652118286,0.95,0.95,0.9
2,4,0.4609191077432067,0.7783333333333333,0.8099999999999999,0.7814088050314465
2,5,0.3656973313277606,0.9172222222222223,0.9666666666666668,0.8331481481481481
3,2,0.31214727808736853,0.96,0.96,0.9333333333333332
3,3,0.49074496532273654,0.8063492063492064,0.8253968253968254,0.8643637226970562
3,4,0.48827904530387867,0.8722222222222221,0.8833333333333334,0.9195436507936507
3,5,0.4528532246274709,0.7866666666666667,0.925,0.8581034482758619
4,2,0.4050424783611143,0.9464285714285714,0.9464285714285714,0.9495283018867925
4,3,0.4438569221373128,0.8966666666666667,0.9466666666666667,0.9154761904761906
4,4,0.39723097855310013,0.9024725274725274,0.9310439560439561,0.91494449400337
4,5,0.493918353308384,0.7982565789473683,0.8562280701754386,0.7782777111819831
5,2,0.47880758801007317,0.7488888888888889,0.7488888888888889,0.8773794549266247
5,3,0.3977383375181841,0.8662271062271062,0.9292307692307693,0.8788341543513957
5,4,0.40145162490610514,0.9118518518518519,0.95,0.9715591397849461
5,5,0.48166865057117914,0.7888333333333334,0.8933333333333333,0.8648494172494171
6,2,0.4398643971826061,0.8621212121212121,0.8621212121212121,0.9318069584736252
6,3,0.44222963709972074,0.8494281045751635,0.9076797385620914,0.9185185185185185
6,4,0.43758254556356063,0.9071428571428571,0.9178571428571429,0.9630934656741108
6,5,0.42065460690954043,0.9376666666666666,0.9573333333333334,0.965080586080586
7,2,0.39191175097778475,0.830952380952381,0.830952380952381,0.8839191232048375
7,3,0.4990264575094791,0.8857142857142858,0.9428571428571428,0.9592933947772657
7,4,0.521769819024372,0.8234989648033126,0.872360248447205,0.8827453203503624
7,5,0.4596204553220941,0.8450806451612903,0.9207546082949308,0.9192694934083265
8,2,0.4256528284077364,0.9625,0.9625,0.9747807017543859
8,3,0.5213162491896723,0.9125,0.95,0.9411458333333333
8,4,0.4539046927279428,0.8979741379310345,0.9457040229885058,0.9071363978843221
8,5,0.48227122062461786,0.8235042735042736,0.9017094017094017,0.9177141102141103
9,2,0.4174889019146528,0.9071895424836601,0.9071895424836601,0.9325536062378166
9,3,0.45356624245302735,0.9164444444444445,0.9247407407407409,0.9251385381593714
9,4,0.45104488619226774,0.8573531009014879,0.9172368849788205,0.8724657960675517
9,5,0.5226305175637294,0.8848989898989899,0.9097979797979798,0.931572484860651
10,2,0.5087287663594575,0.8873684210526317,0.8873684210526317,0.9184658094681474
10,3,0.433042178829496,0.89,0.9380952380952381,0.9444904931669639
10,4,0.43644134072052587,0.8550877192982458,0.9297368421052632,0.9207104617604618
10,5,0.5693064647846933,0.7799367135074813,0.8191062697049217,0.8210324022270068
