r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.35818965069335185,0.7,0.7,0.95
1,3,0.13247164700401126,0.8666666666666666,0.9333333333333332,0.9714285714285715
1,4,0.03383081700657088,0.9,0.95,0.9910714285714285
1,5,0.21406862934870868,0.8300000000000001,0.9199999999999999,0.9671428571428571
2,2,0.1720319211928443,0.75,0.75,0.9827586206896551
2,3,0.11415619654559754,0.8666666666666666,0.9333333333333333,0.9838888888888888
2,4,0.039326306716572494,0.8916666666666666,0.925,0.9919354838709676
2,5,0.235133538695831,0.8099999999999999,0.8,0.9764062499999999
3,2,0.17268979961407607,0.8,0.8,0.9833333333333334
3,3,0.2730096089642037,0.6666666666666667,0.6666666666666666,0.8461805555555555
3,4,0.10998189941864533,0.8444444444444444,0.9166666666666667,0.9869281045751634
3,5,0.19376152900437088,0.8433333333333334,0.9333333333333333,0.9538888888888888
4,2,0.06242185853168751,0.925,0.925,0.995967741935484
4,3,0.20437960012099002,0.7916666666666667,0.8166666666666667,0.9120098039215685
4,4,0.12251807005658726,0.8125,0.9,0.9797297297297298
4,5,0.2545700166742698,0.7825000000000001,0.86,0.8970624999999999
5,2,0.30370386454912973,0.64,0.64,0.8862500000000001
5,3,0.2700368085347167,0.7066666666666666,0.7866666666666667,0.944074074074074
5,4,0.1196057213091561,0.8833333333333332,0.9299999999999999,0.9480833333333333
5,5,0.17509182542159496,0.876,0.9199999999999999,0.9315909090909091
6,2,0.25248325834053753,0.7166666666666667,0.7166666666666667,0.9681818181818181
6,3,0.2474225357688975,0.7333333333333332,0.8,0.9209064327485381
6,4,0.18141844478477376,0.8027777777777778,0.8416666666666666,0.9438630490956073
6,5,0.31982783279859117,0.7083333333333333,0.8066666666666666,0.8959027777777777
7,2,0.12971547631749808,0.8714285714285713,0.8714285714285713,0.9928571428571429
7,3,0.2583062489271364,0.738095238095238,0.761904761904762,0.8700000000000001
7,4,0.14076039813587077,0.7761904761904762,0.8357142857142856,0.9497412008281574
7,5,0.4224924049761117,0.6142857142857143,0.6228571428571428,0.8221978021978021
8,2,0.1331263845542492,0.875,0.875,0.9914285714285714
8,3,0.13801118946946764,0.8458333333333332,0.8333333333333334,0.9718253968253968
8,4,0.22664939535120507,0.7875000000000001,0.825,0.8538265306122449
8,5,0.28858193483536804,0.76875,0.77,0.8809598214285714
9,2,0.18454913913150914,0.6666666666666666,0.6666666666666666,0.9746913580246913
9,3,0.3684392984135038,0.5962962962962963,0.6296296296296295,0.8780303030303029
9,4,0.21202764587778106,0.7814814814814816,0.7944444444444445,0.9697293447293449
9,5,0.24405700137658717,0.8155555555555555,0.8222222222222222,0.9182592592592591
10,2,0.1711773352447159,0.6900000000000001,0.6900000000000001,0.9767567567567568
10,3,0.25257485638739763,0.6966666666666667,0.7133333333333333,0.8861594202898552
10,4,0.299642459930461,0.7533333333333333,0.78,0.9287272727272727
10,5,0.2709518376032663,0.79,0.808,0.89565625
