r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.255132236211863,0.7,0.7,0.7964285714285715
1,3,0.007805063455889589,0.9333333333333332,0.9333333333333332,0.9964285714285716
1,4,0.014224607869652791,0.9833333333333332,0.95,0.9982142857142857
1,5,0.04104337876170236,0.96,0.96,0.9974999999999999
2,2,0.027289916218394217,1.0,1.0,1.0
2,3,0.007973720814249487,0.9666666666666668,0.9666666666666668,0.9983333333333334
2,4,0.006928687066579636,1.0,1.0,1.0
2,5,0.17187038353789416,0.9100000000000001,0.9199999999999999,0.92796875
3,2,0.07527716584199765,0.9333333333333332,0.9333333333333332,0.9333333333333332
3,3,0.27523230426333484,0.7333333333333333,0.7333333333333333,0.7333333333333333
3,4,0.1279336564187783,0.8944444444444445,0.9333333333333332,0.9091503267973856
3,5,0.1126804656467437,0.9333333333333333,0.9466666666666667,0.9330555555555555
4,2,0.006901704996026392,1.0,1.0,1.0
4,3,0.11104237695060375,0.8833333333333332,0.9,0.8995098039215688
4,4,0.03797805643753647,0.9958333333333332,1.0,0.9997747747747748
4,5,0.22294563387134253,0.8025,0.86,0.82825
5,2,0.17458243125158632,0.82,0.82,0.8393750000000001
5,3,0.19369093069110882,0.8266666666666668,0.8266666666666665,0.8520370370370373
5,4,0.13329884584338306,0.8933333333333333,0.9199999999999999,0.8933333333333333
5,5,0.20946405758444203,0.826,0.9199999999999999,0.8237272727272729
6,2,0.09060820397356369,0.8833333333333334,0.8833333333333334,0.9318181818181819
6,3,0.19188591098195598,0.7888888888888889,0.8222222222222222,0.8315789473684211
6,4,0.2211826572675207,0.7916666666666667,0.825,0.8051033591731265
6,5,0.3057421152123575,0.7583333333333334,0.82,0.7752083333333333
7,2,0.09354611357695378,0.9,0.9,0.9415966386554622
7,3,0.2188851858341768,0.7857142857142858,0.780952380952381,0.7994047619047618
7,4,0.1746259624446191,0.8404761904761905,0.8857142857142858,0.8613354037267081
7,5,0.36405195937350804,0.7014285714285713,0.7428571428571428,0.723021978021978
8,2,0.11200099799328074,0.85,0.85,0.8985714285714286
8,3,0.1588908677288815,0.85,0.875,0.85
8,4,0.26899254907098713,0.7604166666666667,0.7875,0.774107142857143
8,5,0.2920082186771718,0.7500000000000001,0.8150000000000001,0.7591517857142857
9,2,0.08684728971950303,0.9111111111111111,0.9111111111111111,0.9327160493827161
9,3,0.27677103032223893,0.7,0.762962962962963,0.7602693602693602
9,4,0.2468593553984965,0.7907407407407407,0.8333333333333333,0.8127136752136751
9,5,0.2583912883644633,0.8355555555555556,0.8755555555555556,0.8440555555555556
10,2,0.09799007804343826,0.8800000000000001,0.8800000000000001,0.9383783783783783
10,3,0.21620874434262333,0.77,0.7933333333333333,0.8048550724637682
10,4,0.3666236417125435,0.7033333333333334,0.765,0.7095151515151514
10,5,0.29613038938260916,0.736,0.8039999999999999,0.7449375
