r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0
1,7,1.0,0.0,0.0,0.0
1,8,1.0,0.0,0.0,0.0
1,9,1.0,0.005555555555555555,0.0,0.0
1,10,1.0,0.008641975308641974,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,1.0,0.0,0.0,0.0
2,5,1.0,0.0,0.0,0.0
2,6,1.0,0.0,0.0,0.0
2,7,1.0,0.0,0.0,0.0
2,8,1.0,0.0,0.0,0.0
2,9,1.0,0.0035590277777777777,0.0,0.0
2,10,1.0,0.005,0.0,0.0
3,2,1.0,0.0,0.0,0.0
3,3,1.0,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,1.0,0.0,0.0,0.0
3,6,1.0,0.0,0.0,0.0
3,7,1.0,0.0,0.0,0.0
3,8,1.0,0.0,0.0,0.0
3,9,1.0,0.002351851851851852,0.0,0.0
3,10,1.0,0.002839506172839506,0.0,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0,0.0,0.0
4,4,1.0,0.0,0.0,0.0
4,5,1.0,0.0,0.0,0.0
4,6,1.0,0.0,0.0,0.0
4,7,1.0,0.0,0.0,0.0
4,8,1.0,0.0,0.0,0.0
4,9,1.0,0.003227124183006536,0.0,0.0
4,10,1.0,0.003773581273581273,0.0,0.0
5,2,1.0,0.0,0.0,0.0
5,3,1.0,0.0,0.0,0.0
5,4,1.0,0.0,0.0,0.0
5,5,1.0,0.0,0.0,0.0
5,6,1.0,0.0,0.0,0.0
5,7,1.0,0.0,0.0,0.0
5,8,1.0,0.0010714285714285715,0.0,0.0
5,9,1.0,0.0005684754521963825,0.0,0.0
5,10,1.0,0.001182033096926714,0.0,0.0
6,2,1.0,0.0,0.0,0.0
6,3,1.0,0.0,0.0,0.0
6,4,1.0,0.0,0.0,0.0
6,5,1.0,0.0,0.0,0.0
6,6,1.0,0.0,0.0,0.0
6,7,1.0,0.0,0.0,0.0
6,8,1.0,0.0002976190476190476,0.0,0.0
6,9,1.0,0.0004629629629629629,0.0,0.0
6,10,1.0,0.0015873015873015875,0.0,0.0
7,2,1.0,0.0,0.0,0.0
7,3,1.0,0.0,0.0,0.0
7,4,1.0,0.0,0.0,0.0
7,5,1.0,0.0,0.0,0.0
7,6,1.0,0.0,0.0,0.0
7,7,1.0,0.0,0.0,0.0
7,8,1.0,0.000510204081632653,0.0,0.0
7,9,1.0,0.0025793650793650793,0.0,0.0
7,10,1.0,0.0014593136332266767,0.0,0.0
8,2,1.0,0.0,0.0,0.0
8,3,1.0,0.0,0.0,0.0
8,4,1.0,0.0,0.0,0.0
8,5,1.0,0.0,0.0,0.0
8,6,1.0,0.0,0.0,0.0
8,7,1.0,0.0,0.0,0.0
8,8,1.0,0.0022392290249433106,0.0,0.0
8,9,1.0,0.0007043650793650793,0.0,0.0
8,10,1.0,0.001870926837615712,0.0,0.0
9,2,1.0,0.0,0.0,0.0
9,3,1.0,0.0,0.0,0.0
9,4,1.0,0.0,0.0,0.0
9,5,1.0,0.0,0.0,0.0
9,6,1.0,0.0,0.0,0.0
9,7,1.0,0.0,0.0,0.0
9,8,1.0,0.0011904761904761904,0.0,0.0
9,9,1.0,0.0009337396468198155,0.0,0.0
9,10,1.0,0.0018712720210847552,0.0,0.0
10,2,1.0,0.0,0.0,0.0
10,3,1.0,0.0,0.0,0.0
10,4,1.0,0.0,0.0,0.0
10,5,1.0,0.0,0.0,0.0
10,6,1.0,0.0,0.0,0.0
10,7,1.0,0.0,0.0,0.0
10,8,1.0,0.0007233273056057866,0.0,0.0
10,9,1.0,0.0012563131313131314,0.0,0.0
10,10,1.0,0.0020575167482383976,0.0,0.0
