r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5841630917045919,0.8,0.8,0.8
1,3,0.2765738899588486,1.0,1.0,1.0
1,4,0.45124130979611243,1.0,1.0,1.0
1,5,0.4149740346045091,0.96,1.0,0.96
2,2,0.45922086625631725,0.95,0.95,0.9982758620689655
2,3,0.4088345170667635,1.0,1.0,1.0
2,4,0.48615974165668785,0.9916666666666666,1.0,0.999731182795699
2,5,0.6110886457656568,0.885,0.9800000000000001,0.9081250000000001
3,2,0.4311086014909945,0.9,0.9,0.9322222222222223
3,3,0.6146249643108834,0.7444444444444444,0.7777777777777778,0.7763888888888888
3,4,0.524343896018338,0.9555555555555555,1.0,0.9766339869281045
3,5,0.5542250808901958,0.9233333333333332,0.9866666666666667,0.9264814814814815
4,2,0.45512485008172626,0.975,0.975,0.9991935483870968
4,3,0.5294695778294551,0.8583333333333332,0.85,0.8975490196078433
4,4,0.5520692653834867,0.9125,0.95,0.9698198198198199
4,5,0.594404451271042,0.7899999999999999,0.86,0.8400625000000002
5,2,0.5252611835540227,0.8200000000000001,0.8200000000000001,0.915625
5,3,0.6517715341353016,0.8066666666666666,0.7466666666666667,0.913888888888889
5,4,0.5694912964524541,0.9233333333333335,0.95,0.9328333333333333
5,5,0.6524309580620036,0.866,0.952,0.8755909090909091
6,2,0.4989685325600209,0.8666666666666666,0.8666666666666666,0.9308080808080808
6,3,0.5643536302457759,0.8111111111111111,0.8111111111111111,0.8956140350877192
6,4,0.6181903526549155,0.8666666666666668,0.9,0.8873385012919897
6,5,0.6648539947478176,0.7416666666666667,0.8266666666666665,0.8026388888888889
7,2,0.5365406118018619,0.8571428571428571,0.8571428571428571,0.9126050420168067
7,3,0.6030724563002889,0.8047619047619048,0.7904761904761904,0.8454761904761906
7,4,0.5709573332757683,0.8666666666666666,0.9214285714285714,0.9149585921325052
7,5,0.7171228862424879,0.67,0.7828571428571429,0.7133516483516483
8,2,0.5369753102065673,0.825,0.825,0.8978571428571428
8,3,0.6073942237302341,0.9041666666666666,0.9166666666666666,0.9481150793650794
8,4,0.6096488497868616,0.8145833333333332,0.85,0.8283163265306122
8,5,0.6810016486018678,0.7787499999999999,0.85,0.8059151785714287
9,2,0.5684477728813241,0.9,0.9,0.975
9,3,0.6571096549812129,0.6962962962962963,0.6962962962962962,0.8376262626262626
9,4,0.6329215867050225,0.85,0.8666666666666668,0.9024928774928774
9,5,0.7206674357760275,0.7866666666666666,0.8533333333333333,0.8417037037037037
10,2,0.5544371038321889,0.8800000000000001,0.8800000000000001,0.9383783783783783
10,3,0.6019591229131229,0.7966666666666666,0.7733333333333333,0.8686956521739131
10,4,0.6810501267037258,0.7500000000000002,0.8400000000000001,0.8219393939393939
10,5,0.7019118416731535,0.75,0.8399999999999999,0.80684375
