r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.14675021990983644,0.5,0.5,0.9821428571428571
1,3,0.14167247833913116,0.7333333333333333,0.6,0.9833333333333334
1,4,0.19382681989139222,0.9333333333333332,0.8,0.9928571428571427
1,5,0.10198586304221484,0.96,1.0,0.9985714285714286
2,2,0.15551864899562445,0.65,0.65,0.9879310344827588
2,3,0.1778100722535263,0.8666666666666668,0.8,0.9922222222222222
2,4,0.21916679020971594,0.9333333333333333,0.8,0.9935483870967744
2,5,0.18704032816319588,0.925,0.9399999999999998,0.9909375
3,2,0.1567394664819815,0.7999999999999999,0.7999999999999999,0.9933333333333334
3,3,0.2604122455054725,0.8444444444444444,0.8444444444444444,0.9239583333333332
3,4,0.1990953294854027,0.9277777777777777,0.85,0.9942810457516341
3,5,0.20493378344130614,0.9466666666666667,0.9199999999999999,0.9774074074074074
4,2,0.19533346264220142,0.8,0.8,0.9919354838709677
4,3,0.20142449524373682,0.8333333333333334,0.85,0.9639705882352942
4,4,0.1860313765708248,0.9333333333333332,0.9,0.9945945945945948
4,5,0.19097094579626211,0.8549999999999999,0.86,0.9413125000000001
5,2,0.18982568062586985,0.6799999999999999,0.6799999999999999,0.985
5,3,0.1533624699935318,0.8266666666666668,0.7466666666666667,0.9890740740740741
5,4,0.2003674508172884,0.9299999999999999,0.89,0.9640833333333333
5,5,0.21788379289940565,0.9,0.8480000000000001,0.9306818181818184
6,2,0.1584371037505823,0.75,0.75,0.990909090909091
6,3,0.19673346433572367,0.8055555555555556,0.8111111111111111,0.9441520467836257
6,4,0.1858150651847446,0.8444444444444447,0.7666666666666667,0.9642764857881136
6,5,0.2173603371487988,0.8,0.78,0.9252430555555555
7,2,0.1768625696522035,0.8571428571428573,0.8571428571428573,0.9852941176470589
7,3,0.2639390665420609,0.7904761904761906,0.7428571428571429,0.9121428571428571
7,4,0.2094593328041546,0.8333333333333334,0.7571428571428571,0.9509316770186335
7,5,0.29478388515796844,0.6828571428571429,0.68,0.8493956043956044
8,2,0.1678509716852401,0.8125,0.8125,0.9939285714285713
8,3,0.18457489354729958,0.8583333333333332,0.75,0.9917658730158732
8,4,0.28149060041542157,0.8229166666666666,0.7875,0.8901785714285714
8,5,0.26185263115815705,0.8162499999999999,0.8200000000000001,0.9000892857142858
9,2,0.1688014534039927,0.7555555555555555,0.7555555555555555,0.9907407407407408
9,3,0.24488328243411722,0.6222222222222221,0.548148148148148,0.9140572390572391
9,4,0.21938089628487556,0.7925925925925925,0.7666666666666666,0.9570512820512821
9,5,0.24896134957103727,0.8033333333333333,0.76,0.9242407407407407
10,2,0.19279582913543358,0.75,0.75,0.9848648648648648
10,3,0.23148546757576627,0.7899999999999999,0.7666666666666667,0.9371739130434783
10,4,0.22733578392304965,0.7616666666666666,0.7449999999999999,0.9268787878787877
10,5,0.24865079029139628,0.8230000000000001,0.8119999999999999,0.9141250000000001
