r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.001896653888843206,0.8,0.8,0.8
1,3,0.011064551974391077,0.8,0.8,0.8
1,4,0.016849500780933453,1.0,1.0,1.0
1,5,0.02110426268297829,0.78,0.8,0.7988888888888889
2,2,0.003402604665553448,1.0,1.0,1.0
2,3,0.008822675187821018,1.0,1.0,1.0
2,4,0.010886348261215525,0.9433333333333334,0.96,0.8968253968253969
2,5,0.007954915513812262,0.9516666666666668,0.9666666666666668,0.8993181818181817
3,2,0.004197508834664418,0.78,0.78,0.6666666666666666
3,3,0.006425102172993564,0.8603174603174603,0.9142857142857143,0.7972727272727271
3,4,0.012337425473487814,0.9555555555555555,0.9555555555555555,0.8666666666666666
3,5,0.004276997916604309,0.9503030303030304,0.9636363636363636,0.866153846153846
4,2,0.03871065882006385,0.8607142857142858,0.8607142857142858,0.7988095238095239
4,3,0.01345137534618103,0.95,0.96,0.8988636363636363
4,4,0.01450635722365889,0.8974358974358975,0.9384615384615385,0.7986111111111112
4,5,0.02328782510808777,0.9356249999999999,0.9550000000000001,0.8970448717948717
5,2,0.0153571776253352,0.8777777777777779,0.8777777777777779,0.8
5,3,0.016426831798033992,0.9846153846153847,0.9846153846153847,0.96
5,4,0.06893397342830639,0.841624649859944,0.8673109243697479,0.7591111111111111
5,5,0.007067368186080045,0.9714285714285713,0.9714285714285713,0.8800000000000001
6,2,0.01863485845813143,0.8387878787878789,0.8387878787878789,0.7333333333333334
6,3,0.024042450464198693,0.8455357142857143,0.8446428571428571,0.7309472934472935
6,4,0.01219171667811091,0.912037037037037,0.9333333333333332,0.7982510288065843
6,5,0.012458392341227663,0.9644871794871795,0.976923076923077,0.899453044375645
7,2,0.050747105636145026,0.7923076923076924,0.7923076923076924,0.715527950310559
7,3,0.05400186288275979,0.8655757039657969,0.8676986584107327,0.7995656724228153
7,4,0.013940717360813143,0.9162424242424242,0.9283636363636363,0.7986507936507936
7,5,0.08328395903157698,0.8220276497695853,0.8589861751152075,0.8243215180809166
8,2,0.061676550534227714,0.8666666666666668,0.8666666666666668,0.8265625
8,3,0.0454830996726772,0.8867424242424242,0.9136363636363637,0.873967013888889
8,4,0.08419788211742676,0.8226348364279399,0.8318302387267906,0.7256155303030303
8,5,0.019564534941424454,0.9231597222222222,0.9470833333333333,0.8477257001198648
9,2,0.029053059634765073,0.9014705882352942,0.9014705882352942,0.8222222222222222
9,3,0.08831341750545764,0.836,0.8640000000000001,0.8229166666666666
9,4,0.05364033998063346,0.8713131313131314,0.8777777777777779,0.7538342830009497
9,5,0.018776696809688208,0.948483849703362,0.9686222808174028,0.8874637681159421
10,2,0.07626364556574566,0.8047540419676643,0.8047540419676643,0.7622032763532764
10,3,0.05214419301918283,0.8140567765567764,0.8684065934065934,0.7772573529411765
10,4,0.021782665544743444,0.9028240764483648,0.9280886199292271,0.8173270248270248
10,5,0.07794931375900899,0.8469461697722567,0.8726708074534162,0.777591304347826
