r,w,diameter,precision@w-1,precision@1,triplet
1,2,8.295819611490174e-05,0.8,0.8,0.8
1,3,5.168056678392929e-05,0.8,0.8,0.8
1,4,0.05775886177315427,0.9333333333333332,0.95,0.9888888888888889
1,5,0.021452445156677716,0.8,0.8,0.8
2,2,8.201928368080091e-05,1.0,1.0,1.0
2,3,0.039189695788815974,0.9333333333333332,0.9666666666666668,0.9866666666666667
2,4,0.04385508068380715,0.8683333333333334,0.96,0.8813492063492063
2,5,0.07024504659922091,0.8816666666666666,0.9466666666666667,0.8699999999999999
3,2,7.104043262922133e-05,0.78,0.78,0.6666666666666666
3,3,0.08621774779446664,0.7841269841269841,0.834920634920635,0.7745454545454545
3,4,0.04125955134384628,0.9111111111111111,0.9222222222222222,0.8541666666666666
3,5,0.020058096940466723,0.940909090909091,0.9454545454545455,0.8642424242424243
4,2,0.07099960102479,0.7428571428571429,0.7428571428571429,0.7725000000000001
4,3,0.07187986052431311,0.8533333333333333,0.89,0.876199494949495
4,4,0.0735074738307308,0.8038461538461539,0.9105769230769232,0.7800925925925927
4,5,0.050316161740313836,0.92875,0.9650000000000001,0.8922179487179488
5,2,0.01033215116542642,0.8527777777777779,0.8527777777777779,0.799
5,3,0.08165065580942946,0.8307692307692307,0.9005128205128206,0.9331196581196582
5,4,0.10501937759729693,0.8192436974789915,0.8530252100840336,0.7554444444444446
5,5,0.0036615402693381247,0.9714285714285713,0.9714285714285713,0.8800000000000001
6,2,0.061713446898721616,0.6957575757575757,0.6957575757575757,0.718380230880231
6,3,0.004747435918642891,0.8714285714285716,0.8714285714285716,0.7324786324786325
6,4,0.03982074523045564,0.8703703703703705,0.925,0.7864758698092031
6,5,0.022831030921299407,0.9482051282051283,0.9702564102564104,0.8965686274509803
7,2,0.10053252640898742,0.7102564102564102,0.7102564102564102,0.7001129305477132
7,3,0.08516255763319254,0.8499041721951939,0.8666961521450686,0.7945578231292517
7,4,0.011010608273674494,0.9214545454545455,0.9374545454545455,0.7981240981240981
7,5,0.13727145603654548,0.8288479262672812,0.8311520737327189,0.8223809523809523
8,2,0.08337520169983417,0.7999999999999999,0.7999999999999999,0.8151041666666667
8,3,0.07530112853623055,0.890909090909091,0.9045454545454545,0.8713888888888889
8,4,0.1163733861321415,0.816268788682582,0.8318302387267906,0.719675925925926
8,5,0.023365177620164008,0.9319444444444445,0.9583333333333334,0.8451785714285714
9,2,0.06118220655976344,0.7691176470588236,0.7691176470588236,0.8059999999999998
9,3,0.10813994288063292,0.8320000000000001,0.8560000000000001,0.8180555555555555
9,4,0.06827131425466722,0.8561616161616161,0.8777777777777779,0.7507043368154479
9,5,0.017768226427062793,0.9495964256939866,0.9680949241924852,0.8863248677248677
10,2,0.10397083949064259,0.7741004471964225,0.7741004471964225,0.7499537037037036
10,3,0.07094634781757002,0.8193223443223443,0.8606227106227106,0.7731241830065361
10,4,0.020093048855948734,0.9191189291758552,0.9408995333094005,0.8148382173382174
10,5,0.09642092312698658,0.8496894409937887,0.8726708074534162,0.777417391304348
