r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.08313082430480725,0.8,0.8,0.8
1,3,0.05796320637469856,0.8,0.8,0.8
1,4,0.14535492497528693,1.0,1.0,1.0
1,5,0.22589983230255983,0.79,0.8,0.7988888888888889
2,2,0.20598360594503956,1.0,1.0,1.0
2,3,0.18753437922029284,1.0,1.0,1.0
2,4,0.17710043136886622,0.96,0.96,0.9
2,5,0.16453916180601505,0.9616666666666667,0.9666666666666668,0.8995454545454546
3,2,0.15994349179836012,0.78,0.78,0.6666666666666666
3,3,0.21253860378519346,0.9142857142857143,0.9142857142857143,0.7999999999999999
3,4,0.12937405728635426,0.9555555555555555,0.9555555555555555,0.8666666666666666
3,5,0.19869901695678002,0.956969696969697,0.9636363636363636,0.866153846153846
4,2,0.16899731860932962,0.8857142857142858,0.8857142857142858,0.8
4,3,0.1914391413726905,0.96,0.96,0.9
4,4,0.16496664130396907,0.9384615384615385,0.9384615384615385,0.8
4,5,0.2618705335672814,0.9650000000000001,0.9650000000000001,0.8994166666666666
5,2,0.1700935458679454,0.8777777777777779,0.8777777777777779,0.8
5,3,0.17785365473843026,0.9846153846153847,0.9846153846153847,0.96
5,4,0.26980121725145084,0.8655462184873949,0.877310924369748,0.76
5,5,0.1821307754797653,0.9606666666666668,0.9714285714285713,0.8786274509803922
6,2,0.14716429708054626,0.8387878787878789,0.8387878787878789,0.7333333333333334
6,3,0.19897418256132754,0.8508928571428571,0.8571428571428571,0.7317841880341881
6,4,0.17119613168102144,0.925,0.925,0.7992424242424241
6,5,0.19474437977601428,0.9594871794871794,0.976923076923077,0.8990170278637771
7,2,0.21734276429661814,0.8076923076923077,0.8076923076923077,0.7142857142857143
7,3,0.26151972636086673,0.8819843726964469,0.8772224679345422,0.7993310657596372
7,4,0.21144190256091014,0.9374545454545455,0.9374545454545455,0.8
7,5,0.3887050901627013,0.8156221198156682,0.8189861751152072,0.8227031865377731
8,2,0.1926901394057023,0.8800000000000001,0.8800000000000001,0.825
8,3,0.26493207816392716,0.9136363636363637,0.9136363636363637,0.8745833333333334
8,4,0.2675628164023892,0.841556145004421,0.8318302387267906,0.725
8,5,0.2555828832828647,0.9385416666666668,0.9465277777777779,0.8454605263157895
9,2,0.186517728373138,0.9014705882352942,0.9014705882352942,0.8222222222222222
9,3,0.2589165309658883,0.8799999999999999,0.8719999999999999,0.8222222222222222
9,4,0.28002232803292754,0.8884848484848484,0.8905050505050504,0.7553181386514719
9,5,0.28509354323625496,0.9150618911594522,0.9735003295978906,0.8803248677248678
10,2,0.2310316945325035,0.8276298589611283,0.8276298589611283,0.76
10,3,0.2299305919694103,0.8760989010989011,0.8760989010989011,0.7796875
10,4,0.2531619551131765,0.9207224302100963,0.9463049387148059,0.8191824379324381
10,5,0.338008179392341,0.8536231884057972,0.8596273291925467,0.7786078260869566
