r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.003120587234720906,0.7,0.7,0.7944444444444445
1,3,0.001201836730229755,0.8,0.8,0.8
1,4,0.0150497727454829,0.95,1.0,0.9962962962962962
1,5,0.0002746158801419085,0.78,0.76,0.7972222222222223
2,2,0.0023875027530504524,1.0,1.0,1.0
2,3,0.01074454738302424,1.0,1.0,1.0
2,4,0.006857308868481522,0.9349999999999999,0.96,0.8984126984126984
2,5,0.013402273765952284,0.9566666666666667,0.9466666666666667,0.8988636363636363
3,2,0.0017018484696885716,0.78,0.78,0.6666666666666666
3,3,0.021379163950360415,0.9142857142857143,0.9142857142857143,0.7999999999999999
3,4,0.010277778264632862,0.9166666666666666,0.9555555555555555,0.8646825396825397
3,5,0.06296907917137269,0.9503030303030304,0.9369696969696971,0.8653846153846153
4,2,0.004305097155833953,0.8857142857142858,0.8857142857142858,0.8
4,3,0.017987437488543485,0.96,0.96,0.9
4,4,0.009702645859458795,0.9259615384615385,0.9384615384615385,0.7993827160493827
4,5,0.11245546802680421,0.9675,0.975,0.89975
5,2,0.002241159070401255,0.8133333333333332,0.8133333333333332,0.7971861471861473
5,3,0.04093135718174957,0.9312820512820513,0.9312820512820513,0.9569230769230769
5,4,0.14475622725605666,0.8488795518207283,0.8890756302521009,0.7593333333333334
5,5,0.08649181651999534,0.9315238095238095,0.9379047619047618,0.8753921568627451
6,2,0.018488434840917976,0.8024242424242425,0.8024242424242425,0.7318181818181818
6,3,0.056598241742611764,0.8142857142857143,0.8154761904761905,0.7299371924371926
6,4,0.03023804802050043,0.9333333333333332,0.9333333333333332,0.7999999999999999
6,5,0.06448710015351442,0.9451282051282052,0.9215384615384616,0.8970381836945304
7,2,0.06699946800053116,0.6961538461538461,0.6961538461538461,0.7092038396386223
7,3,0.12730272663490214,0.8524104378593542,0.8265959015185022,0.7975283446712018
7,4,0.054256230151141414,0.8985974025974025,0.8928831168831168,0.7967532467532468
7,5,0.21866520513354323,0.8270506912442397,0.7968663594470046,0.82359470103831
8,2,0.05855403655016576,0.8400000000000001,0.8400000000000001,0.8229166666666666
8,3,0.08921460756564006,0.9056818181818181,0.9136363636363637,0.8740711805555555
8,4,0.16968974213854027,0.8039787798408489,0.7973474801061008,0.723063973063973
8,5,0.12080589812551908,0.9181944444444443,0.9118055555555555,0.8444042170644002
9,2,0.012995011583353155,0.9014705882352942,0.9014705882352942,0.8222222222222222
9,3,0.14127998673756856,0.8457777777777779,0.8337777777777777,0.8203363289760347
9,4,0.12491302797610378,0.8715151515151515,0.8214141414141414,0.7538461538461537
9,5,0.1539269158143487,0.916545081667033,0.9029898190873802,0.8796933057280883
10,2,0.10409770029516414,0.7139043687650499,0.7139043687650499,0.7543000000000001
10,3,0.09191177682968528,0.8656593406593405,0.868956043956044,0.779203431372549
10,4,0.0787267659755698,0.8808930372497736,0.8746038258372224,0.8158699633699635
10,5,0.2353973585530146,0.8485507246376812,0.8140786749482402,0.7777626086956522
