r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8,0.05,0.05,0.0
1,3,0.9,0.03333333333333333,0.0,0.0
1,4,0.9,0.21666666666666665,0.075,0.0
1,5,0.8,0.12,0.0,0.0
1,6,1.0,0.3,0.08333333333333334,0.0
1,7,0.8,0.2095238095238095,0.08571428571428572,0.0
1,8,0.8,0.2607142857142857,0.0875,0.0
1,9,0.7,0.26111111111111107,0.08888888888888888,0.0
1,10,0.8,0.33222222222222225,0.09,0.0
2,2,0.8,0.03333333333333333,0.03333333333333333,0.0
2,3,0.9,0.0,0.0,0.0
2,4,0.85,0.075,0.0,0.0
2,5,0.85,0.20833333333333334,0.0,0.0
2,6,1.0,0.23833333333333337,0.125,0.0
2,7,0.7,0.18809523809523807,0.04285714285714286,0.0
2,8,0.75,0.30902777777777773,0.16666666666666666,0.0
2,9,0.9,0.2945833333333333,0.13333333333333333,0.0
2,10,0.9,0.34010101010101007,0.18,0.0
3,2,0.8,0.0,0.0,0.0
3,3,0.8333333333333334,0.03968253968253968,0.0,0.0
3,4,0.8333333333333334,0.11944444444444442,0.05833333333333333,0.0
3,5,0.9333333333333332,0.16469696969696973,0.10666666666666666,0.0
3,6,0.8,0.17713675213675215,0.0,0.0
3,7,0.8,0.19888888888888887,0.08,0.0
3,8,0.8,0.2255812324929972,0.1286764705882353,0.0
3,9,0.7666666666666667,0.24422514619883043,0.1138401559454191,0.0
3,10,0.8333333333333333,0.2711640211640211,0.13285714285714284,0.0
4,2,0.7,0.0,0.0,0.0
4,3,0.825,0.045,0.02,0.0
4,4,0.875,0.11073717948717947,0.06923076923076923,0.0
4,5,0.9,0.1359375,0.045,0.0
4,6,0.8,0.1855952380952381,0.07894736842105263,0.0
4,7,0.85,0.16350108225108223,0.0,0.0
4,8,0.825,0.19881150793650787,0.077875,0.0
4,9,0.825,0.1929563492063492,0.11746031746031745,0.0
4,10,0.875,0.1968996415770609,0.12556451612903227,0.0
5,2,0.8399999999999999,0.0,0.0,0.0
5,3,0.9400000000000001,0.013333333333333332,0.0,0.0
5,4,0.8200000000000001,0.10301120448179271,0.04764705882352941,0.0
5,5,0.8400000000000001,0.09324089635854341,0.0,0.0
5,6,0.7999999999999999,0.12633333333333335,0.06000000000000001,0.0
5,7,0.8799999999999999,0.14853858784893265,0.09635467980295567,0.0
5,8,0.8399999999999999,0.15734432234432233,0.14305944055944056,0.0
5,9,0.9,0.16266516516516516,0.13981981981981983,0.0
5,10,0.82,0.16466361788617878,0.11985365853658536,0.0
6,2,0.8333333333333334,0.0,0.0,0.0
6,3,0.8166666666666667,0.05997023809523809,0.0,0.0
6,4,0.8666666666666666,0.06706349206349206,0.04285714285714286,0.0
6,5,0.8666666666666666,0.0760198135198135,0.059487179487179485,0.0
6,6,0.85,0.10383788254755999,0.04838709677419355,0.0
6,7,0.85,0.11435185185185186,0.047619047619047616,0.0
6,8,0.8666666666666666,0.13202500512400087,0.15072931611669055,0.0
6,9,0.8166666666666667,0.13389376218323584,0.12024747859988132,0.0
6,10,0.8666666666666666,0.14878618113912223,0.1589954163483575,0.0
7,2,0.857142857142857,0.0,0.0,0.0
7,3,0.8428571428571427,0.03645879404393336,0.0,0.0
7,4,0.7714285714285715,0.09208498519024835,0.0670622009569378,0.0
7,5,0.8571428571428571,0.08618962280252604,0.09267110428400752,0.0
7,6,0.8428571428571427,0.10312258687258691,0.04054054054054054,0.0
7,7,0.9,0.1019514531142438,0.040151874703369714,0.0
7,8,0.857142857142857,0.11820942662779402,0.0988095238095238,0.0
7,9,0.8857142857142856,0.12318626999478063,0.08173160173160174,0.0
7,10,0.8142857142857143,0.14097356576578837,0.13062938586385023,0.0
8,2,0.875,0.014835164835164835,0.014835164835164835,0.0
8,3,0.8125,0.04169191919191919,0.02909090909090909,0.0
8,4,0.8375,0.061007957559681705,0.04376657824933687,0.0
8,5,0.8625,0.0875,0.07805555555555557,0.0
8,6,0.8625,0.08373368013055897,0.05966952264381885,0.0
8,7,0.8625,0.08569480519480518,0.022714285714285715,0.0
8,8,0.8875,0.10704432957393487,0.1085921052631579,0.0
8,9,0.8375,0.1099609375,0.09345238095238095,0.0
8,10,0.875,0.11121377909031242,0.07831042707860064,0.0
9,2,0.8444444444444443,0.01213235294117647,0.01213235294117647,0.0
9,3,0.7999999999999999,0.0603064182194617,0.05230641821946169,0.0
9,4,0.8111111111111111,0.06582491582491581,0.03686868686868687,0.0
9,5,0.8555555555555555,0.05197988454086015,0.00975609756097561,0.0
9,6,0.8222222222222222,0.08567955853670142,0.07417714560571703,0.0
9,7,0.8333333333333334,0.08628040689960194,0.033383458646616536,0.0
9,8,0.8666666666666668,0.09357911245842283,0.10082228116710874,0.0
9,9,0.8777777777777779,0.09225735205007016,0.037301684136579596,0.0
9,10,0.8111111111111112,0.11044140701548097,0.07178571428571427,0.0
10,2,0.8400000000000002,0.011145510835913312,0.011145510835913312,0.0
10,3,0.8299999999999998,0.04926739926739927,0.030860805860805862,0.0
10,4,0.8700000000000001,0.055484896661367245,0.04125596184419714,0.0
10,5,0.8300000000000001,0.06306657949220877,0.045267080745341616,0.0
10,6,0.85,0.08088484848484853,0.07560606060606061,0.0
10,7,0.86,0.07154452049387393,0.019719827586206894,0.0
10,8,0.8500000000000002,0.09162281878789891,0.08203875298140448,0.0
10,9,0.8200000000000001,0.08902239268092926,0.04349893130380935,0.0
10,10,0.8099999999999999,0.09635792428976521,0.0516215491825248,0.0
