r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3433866628657561,0.0,0.0,0.8125
1,3,0.441855669540346,0.0,0.0,0.8160714285714287
1,4,0.4805726770275003,0.03333333333333333,0.0,0.8068452380952381
1,5,0.46949364723712816,0.195,0.02,0.8225
1,6,0.5031950062437529,0.2533333333333333,0.11666666666666665,0.8079761904761906
1,7,0.5306223706055705,0.3638888888888889,0.15714285714285714,0.8107653061224489
1,8,0.5079128663458563,0.44499999999999995,0.2625,0.8440178571428572
1,9,0.539975950533418,0.4340277777777778,0.2777777777777778,0.8035515873015872
1,10,0.5380932503883117,0.5655555555555556,0.33999999999999997,0.86515873015873
2,2,0.3504833198019617,0.0,0.0,0.8129310344827585
2,3,0.4504169849968611,0.0,0.0,0.7833333333333334
2,4,0.4889524023290293,0.041666666666666664,0.0125,0.8173387096774194
2,5,0.5028173428721223,0.13999999999999999,0.01,0.8041406249999999
2,6,0.48545308901231,0.28500000000000003,0.14999999999999997,0.8605050505050503
2,7,0.5499209661075387,0.33026556776556776,0.2032967032967033,0.8319552006408623
2,8,0.5483916352403635,0.408615491651206,0.1875,0.8303459918058131
2,9,0.6080958825141468,0.3685912698412699,0.08777777777777777,0.7992440463664421
2,10,0.6087665469099834,0.4642129629629631,0.28625,0.8318863039175539
3,2,0.3603876381742655,0.0,0.0,0.8266666666666665
3,3,0.44896944611117445,0.005555555555555555,0.0,0.8095486111111111
3,4,0.4826689296591214,0.05555555555555556,0.0,0.8269607843137257
3,5,0.5031144857763132,0.11666666666666665,0.0,0.8283796296296296
3,6,0.5212035225813733,0.24111111111111114,0.06666666666666668,0.8580994152046781
3,7,0.548668148688378,0.2846428571428571,0.12571428571428572,0.8325188237688239
3,8,0.5525540610696995,0.4371212121212122,0.21071428571428572,0.8751614919472059
3,9,0.5994862071238823,0.4458766103059581,0.2477495974235105,0.8498779423825156
3,10,0.5878019633635232,0.5028148148148148,0.29600000000000004,0.8840925336789602
4,2,0.3776877015170211,0.0,0.0,0.8209677419354838
4,3,0.48985324486688464,0.0,0.0,0.8024509803921568
4,4,0.4809615574875332,0.08124999999999999,0.0,0.8320382882882882
4,5,0.5306949471000421,0.11750000000000001,0.01,0.83790625
4,6,0.5483478629476162,0.22554347826086957,0.07952898550724638,0.8488353636028055
4,7,0.580924128580049,0.305307963641297,0.14267399267399267,0.8399387377919988
4,8,0.6006181019361179,0.3911791871921183,0.20911637931034482,0.8633693084409659
4,9,0.615256552614383,0.4285787563131313,0.28194444444444444,0.8529916006199489
4,10,0.6322463853602902,0.4564814814814815,0.20722222222222225,0.8657042978807684
5,2,0.4084860345549594,0.0,0.0,0.8171875
5,3,0.4706583244617747,0.0,0.0,0.8320370370370369
5,4,0.5224475739149586,0.026666666666666665,0.0,0.835375
5,5,0.5440881524613653,0.131,0.02,0.8434772727272728
5,6,0.5645745695054085,0.26091954022988506,0.11333333333333333,0.8498677600472814
5,7,0.5885374848912158,0.3134449537390713,0.17149987267634326,0.8534697478991594
5,8,0.6128626856261276,0.36442643771591143,0.09918207681365576,0.8853158817510234
5,9,0.6147989734254493,0.44496031746031744,0.2149206349206349,0.8876355750487328
5,10,0.658741833597892,0.4381433303221921,0.15311111111111111,0.8813499357986645
6,2,0.42697085348260283,0.0,0.0,0.8133838383838384
6,3,0.508257723087835,0.008333333333333333,0.0,0.8108187134502923
6,4,0.566315613434187,0.02638888888888889,0.0,0.8080103359173126
6,5,0.582356531752146,0.08416666666666667,0.02,0.8169270833333334
6,6,0.5829914062566537,0.17576190476190479,0.06142857142857143,0.8620089501693275
6,7,0.6181609020733532,0.24968302361595046,0.07261614401858305,0.8623936200311946
6,8,0.6803182132433718,0.2777234299516908,0.09487023929895518,0.8370622728562982
6,9,0.6379124973570953,0.40254452324665085,0.1842348305752561,0.8802381518776766
6,10,0.664895531134049,0.4069095719095719,0.14785714285714285,0.8824703403961021
7,2,0.4228273620212438,0.0,0.0,0.8126050420168067
7,3,0.5056885039795241,0.0023809523809523807,0.0,0.8161904761904761
7,4,0.5680499446534372,0.04166666666666667,0.0035714285714285713,0.8301242236024844
7,5,0.6053442807377786,0.10214285714285713,0.011428571428571429,0.8315796703296703
7,6,0.6471612186648167,0.1510801393728223,0.038211382113821135,0.8366154610664592
7,7,0.6456181808369587,0.2392896342934337,0.07036926472716745,0.8626018247480763
7,8,0.6608588205566777,0.31166249518675393,0.11101752021563342,0.8690209738479613
7,9,0.6494796766555813,0.36128531073446324,0.15750874361043848,0.8878640709301158
7,10,0.6722956141687202,0.438676714906223,0.20814447847234732,0.8861575107707752
8,2,0.44442120603171575,0.0,0.0,0.8066071428571429
8,3,0.51708983496663,0.01875,0.008333333333333333,0.8325396825396825
8,4,0.577132577960046,0.065625,0.00625,0.8350340136054422
8,5,0.6395526517741759,0.08124999999999999,0.0025,0.8182812500000001
8,6,0.6522814068574947,0.1635195035460993,0.025443262411347516,0.8415027095067418
8,7,0.6949560157245713,0.17633994179591667,0.031022330220443428,0.8340174570206624
8,8,0.6671534547890323,0.3136087469253492,0.10315375182622413,0.8625909016304106
8,9,0.6626404227916569,0.3707316531685138,0.10101946575731742,0.906392046498383
8,10,0.7274038567495074,0.31208382066276796,0.07415350877192982,0.8559648808340666
9,2,0.4279995145654508,0.0,0.0,0.8126543209876542
9,3,0.545174743054114,0.0037037037037037034,0.0037037037037037034,0.8221380471380473
9,4,0.6040638552247314,0.025,0.0,0.8153846153846154
9,5,0.6491491204553109,0.05611111111111111,0.0022222222222222222,0.8419629629629629
9,6,0.6722953351160592,0.14867225716282323,0.06135569531795946,0.8253592738919779
9,7,0.6905952130469689,0.20008687769131975,0.05503135151469366,0.8553783056239197
9,8,0.6972129515811372,0.2622165532879818,0.10142857142857142,0.8494916125890283
9,9,0.7431895857946591,0.23963081671415004,0.050807217473884135,0.8190304616210412
9,10,0.7272441188551936,0.3497995304926448,0.09886000911992704,0.8476432965128872
10,2,0.4489814888490544,0.0,0.0,0.8029729729729729
10,3,0.5513266166471963,0.028333333333333332,0.006666666666666666,0.8067028985507246
10,4,0.6140481191963658,0.03166666666666666,0.0025,0.824030303030303
10,5,0.6447184706509335,0.07949999999999999,0.008,0.8442031249999999
10,6,0.6812092776351856,0.12906214689265538,0.02519774011299435,0.8450407153729073
10,7,0.7002845347977684,0.20723878627808462,0.07470714567462286,0.8546274322407011
10,8,0.7259290578182214,0.20988463917035344,0.0596524309024309,0.8533132608930662
10,9,0.7281188632327564,0.28187794750238593,0.11235545764989925,0.8305651364986326
