r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.13333333333333333,0.0,0.0
1,4,1.0,0.05,0.0,0.0
1,5,1.0,0.13,0.27999999999999997,0.0
2,2,0.9993464114332614,0.0,0.0,0.09655172413793103
2,3,0.999896869943079,0.1,0.1,0.03166666666666666
2,4,0.9996486766859594,0.11666666666666665,0.0,0.0956989247311828
2,5,0.9998477472779349,0.08,0.16,0.0096875
3,2,0.9995642742888409,0.03333333333333333,0.03333333333333333,0.06444444444444444
3,3,0.999902103059157,0.07777777777777778,0.04444444444444444,0.021180555555555557
3,4,1.0,0.05,0.05,0.0
3,5,1.0,0.026666666666666665,0.0,0.0
4,2,1.0,0.05,0.05,0.0
4,3,0.9999484349715395,0.049999999999999996,0.05,0.015931372549019607
4,4,1.0,0.04583333333333333,0.1,0.0
4,5,0.9999754627517898,0.065,0.12000000000000002,0.004875
5,2,0.9996507497271528,0.02,0.02,0.0775
5,3,0.9999587479772316,0.06000000000000001,0.026666666666666665,0.012777777777777777
5,4,0.9998219039546765,0.07,0.09,0.03866666666666667
5,5,0.9998585680237797,0.072,0.08,0.011727272727272729
6,2,0.9999230850793681,0.03333333333333333,0.03333333333333333,0.031313131313131314
6,3,1.0,0.04444444444444444,0.04444444444444444,0.0
6,4,0.9999672724297609,0.07222222222222222,0.06666666666666667,0.01627906976744186
6,5,0.9999492490926449,0.06333333333333332,0.06666666666666668,0.003263888888888889
7,2,0.9999340729251728,0.02857142857142857,0.02857142857142857,0.026890756302521007
7,3,0.9998323619767037,0.04285714285714286,0.02857142857142857,0.02761904761904762
7,4,0.9998447472990802,0.07380952380952381,0.06428571428571428,0.041407867494824016
7,5,0.9999564992222671,0.04714285714285714,0.06857142857142857,0.0028021978021978023
8,2,1.0,0.0375,0.0375,0.0
8,3,0.9998405784825163,0.062499999999999986,0.03333333333333333,0.024206349206349204
8,4,0.9999367052564672,0.052083333333333336,0.025,0.012159863945578232
8,5,0.9999116050148624,0.06499999999999999,0.06999999999999999,0.007366071428571428
9,2,0.9998517094215658,0.04444444444444444,0.04444444444444444,0.04228395061728395
9,3,0.9999119617075714,0.04444444444444444,0.037037037037037035,0.014393939393939393
9,4,0.999865657631338,0.0685185185185185,0.03888888888888889,0.03247863247863248
9,5,0.9999214266798777,0.04888888888888889,0.05333333333333333,0.006555555555555556
10,2,0.9997385645733046,0.030000000000000006,0.030000000000000006,0.038918918918918924
10,3,0.9998035486332109,0.06,0.04666666666666667,0.026014492753623192
10,4,0.9998913231093564,0.08166666666666667,0.05,0.029393939393939396
10,5,0.9999901851007159,0.05,0.068,0.00196875
