r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6066167383462099,0.0,0.0,0.8714285714285713
1,3,0.6390573913488267,0.0,0.0,0.8416666666666666
1,4,0.6593331276886689,0.0,0.0,0.8422619047619048
1,5,0.7155888182481595,0.23000000000000004,0.0,0.7782142857142856
2,2,0.5740735204203845,0.0,0.0,0.8741379310344828
2,3,0.5969177865026586,0.0,0.0,0.8699999999999999
2,4,0.5766943715484416,0.14166666666666666,0.1,0.8857526881720428
2,5,0.7057571031365018,0.2,0.0,0.8143749999999998
3,2,0.6021238501350065,0.0,0.0,0.8411111111111111
3,3,0.6534066458340638,0.02222222222222222,0.0,0.861111111111111
3,4,0.6429815079305295,0.08888888888888889,0.0,0.8709150326797387
3,5,0.7249960066205166,0.24666666666666665,0.0,0.8644444444444443
4,2,0.5532452913431587,0.0,0.0,0.8637096774193548
4,3,0.6471168193998379,0.016666666666666666,0.0,0.8455882352941178
4,4,0.7044089598638859,0.0375,0.0,0.822972972972973
4,5,0.7140910921233923,0.19,0.0,0.8393750000000001
5,2,0.5835113903474632,0.04,0.04,0.8793749999999999
5,3,0.6509109531773021,0.013333333333333332,0.026666666666666665,0.8638888888888887
5,4,0.7195928484194006,0.06999999999999999,0.0,0.8261666666666667
5,5,0.743038186195005,0.154,0.024,0.8483181818181817
6,2,0.5506161900261065,0.016666666666666666,0.016666666666666666,0.8590909090909091
6,3,0.6526017141897037,0.04444444444444444,0.04444444444444444,0.8657894736842104
6,4,0.6962319341768004,0.07777777777777777,0.0,0.8558785529715761
6,5,0.7587180964333163,0.14333333333333334,0.02,0.7876736111111111
7,2,0.6177299678322532,0.0,0.0,0.8521008403361343
7,3,0.6341973724382293,0.023809523809523808,0.019047619047619046,0.8720238095238093
7,4,0.7136018491653636,0.08333333333333334,0.04285714285714286,0.8212732919254659
7,5,0.7619004208155447,0.16285714285714287,0.0,0.8299450549450549
8,2,0.6033029907442525,0.0,0.0,0.8642857142857142
8,3,0.6781489845671761,0.029166666666666664,0.016666666666666666,0.8544642857142858
8,4,0.7314538657742113,0.10833333333333335,0.0,0.8295068027210885
8,5,0.7373467548605283,0.16499999999999998,0.03,0.8426785714285714
9,2,0.603453160198637,0.0,0.0,0.8617283950617283
9,3,0.6882954330069693,0.018518518518518517,0.02222222222222222,0.8372895622895623
9,4,0.7459124612119129,0.05555555555555556,0.0,0.8431267806267806
9,5,0.7744445292397181,0.1588888888888889,0.026666666666666665,0.8103148148148149
10,2,0.6086437099535,0.0,0.0,0.8656756756756756
10,3,0.6987738196250358,0.04,0.026666666666666665,0.8430434782608694
10,4,0.7385216909027174,0.06833333333333334,0.025,0.8495757575757574
10,5,0.7820574504291946,0.144,0.016,0.817390625
