r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7374311436788806,0.0,0.0,0.9214285714285715
1,3,0.8067348262095042,0.0,0.0,0.8738095238095237
1,4,0.7997213596387251,0.2,0.0,0.8779761904761905
1,5,0.7882997067525908,0.37,0.0,0.8132142857142858
2,2,0.7442559157538711,0.0,0.0,0.9
2,3,0.7609518005004053,0.06666666666666667,0.0,0.8866666666666667
2,4,0.7516291564134776,0.26666666666666666,0.05,0.8948924731182796
2,5,0.7873741442369323,0.34500000000000003,0.0,0.8473437500000001
3,2,0.7959378680120655,0.0,0.0,0.8744444444444444
3,3,0.7867482102531376,0.02222222222222222,0.0,0.882638888888889
3,4,0.8006209099928261,0.17777777777777778,0.0,0.892483660130719
3,5,0.8121896276962012,0.36,0.0,0.8886111111111111
4,2,0.7886482819858363,0.0,0.0,0.889516129032258
4,3,0.8006156576282025,0.016666666666666666,0.0,0.857107843137255
4,4,0.8192355759791207,0.15416666666666667,0.0,0.8461711711711711
4,5,0.8262929643338424,0.3,0.0,0.8543125
5,2,0.7730097556420298,0.0,0.0,0.9018749999999999
5,3,0.7940610963014855,0.013333333333333332,0.0,0.8985185185185186
5,4,0.8022232755483192,0.20666666666666664,0.0,0.8528333333333334
5,5,0.8024160644798343,0.318,0.016,0.8776818181818182
6,2,0.8040740615648214,0.0,0.0,0.8641414141414142
6,3,0.7870109890976605,0.07777777777777779,0.02222222222222222,0.8897660818713451
6,4,0.8240437762397729,0.15833333333333333,0.0,0.8797157622739018
6,5,0.8402673883968539,0.23333333333333334,0.013333333333333332,0.8026041666666668
7,2,0.8229292654708887,0.0,0.0,0.8663865546218487
7,3,0.7870475328119355,0.03333333333333333,0.009523809523809523,0.8934523809523809
7,4,0.8246068532886927,0.14999999999999997,0.014285714285714285,0.8366977225672878
7,5,0.8370904543905858,0.2457142857142857,0.0,0.8447802197802197
8,2,0.8335623206069881,0.0,0.0,0.86
8,3,0.8300927180205473,0.016666666666666666,0.0,0.8665674603174602
8,4,0.8160778024072982,0.1833333333333333,0.0,0.8417091836734695
8,5,0.8235069760060572,0.2625,0.02,0.8543526785714285
9,2,0.8271331395437869,0.0,0.0,0.8814814814814815
9,3,0.8250547565046332,0.03333333333333333,0.007407407407407407,0.85
9,4,0.8469438797875435,0.11851851851851847,0.0,0.8591880341880342
9,5,0.8298173647288604,0.25666666666666665,0.017777777777777778,0.8254259259259259
10,2,0.801655856299267,0.0,0.0,0.8851351351351351
10,3,0.8556258417142889,0.0,0.0,0.8546376811594202
10,4,0.831797140110741,0.14666666666666664,0.01,0.8632424242424243
10,5,0.8544415532574284,0.21500000000000002,0.0,0.8305781250000001
