r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9819011163318926,0.0,0.0,0.0
1,3,0.9773517164274462,0.0,0.0,0.0
1,4,0.9780150604986844,0.0,0.0,0.0
1,5,0.9780083572712451,0.06999999999999999,0.0,0.0
2,2,0.990967971860455,0.0,0.0,0.0
2,3,0.991468922496814,0.0,0.0,0.0
2,4,0.9790568858495146,0.016666666666666666,0.0,0.060215053763440864
2,5,0.988172777118886,0.04,0.0,0.0
3,2,0.9823599557106597,0.0,0.0,0.0
3,3,0.9823237358044616,0.0,0.0,0.0
3,4,0.9783723076570547,0.0,0.0,0.0
3,5,0.9792284338405871,0.006666666666666666,0.0,0.0
4,2,0.978033519585636,0.0,0.0,0.0
4,3,0.9833015785147039,0.0,0.0,0.0
4,4,0.9836222764214453,0.020833333333333332,0.0,0.0
4,5,0.9856023899098088,0.01,0.0,0.0
5,2,0.991187844508975,0.0,0.0,0.034999999999999996
5,3,0.9809203676676947,0.0,0.0,0.024259259259259258
5,4,0.991937487601664,0.023333333333333334,0.0,0.0
5,5,0.9982619769732775,0.034,0.008,0.0115
6,2,0.9794983686039732,0.0,0.0,0.02878787878787879
6,3,0.9873860351619526,0.0,0.0,0.04035087719298246
6,4,0.9923275884744504,0.016666666666666666,0.0,0.0
6,5,0.991794756206699,0.021666666666666667,0.013333333333333332,0.0096875
7,2,0.9866450201831164,0.0,0.0,0.0
7,3,0.9934953214776373,0.0,0.0,0.017499999999999998
7,4,0.9880845696837316,0.014285714285714285,0.0,0.03084886128364389
7,5,0.9858840554093463,0.007142857142857143,0.0,0.0
8,2,0.9853352198551022,0.0,0.0,0.020714285714285716
8,3,0.996180594547044,0.0,0.0,0.0
8,4,0.9882395039008456,0.0125,0.0,0.0
8,5,0.9916151513514165,0.0225,0.01,0.014486607142857145
9,2,0.9879254818031058,0.0,0.0,0.0
9,3,0.9911926884571521,0.0,0.0,0.013720538720538722
9,4,1.0,0.01111111111111111,0.0,0.0
9,5,0.991302700391989,0.01,0.013333333333333332,0.012944444444444448
10,2,1.0,0.0,0.0,0.0
10,3,0.9951735397273213,0.0,0.0,0.012246376811594203
10,4,0.9980133085812086,0.013333333333333332,0.0,0.01575757575757576
10,5,0.9936024258486279,0.008,0.0,0.0
