r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.06999999999999999,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,0.9914690696733274,0.016666666666666666,0.0,0.060215053763440864
2,5,1.0,0.04,0.0,0.0
3,2,1.0,0.0,0.0,0.0
3,3,1.0,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,1.0,0.006666666666666666,0.0,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0,0.0,0.0
4,4,1.0,0.020833333333333332,0.0,0.0
4,5,1.0,0.01,0.0,0.0
5,2,0.9955427306461457,0.0,0.0,0.034999999999999996
5,3,0.997057622018738,0.0,0.0,0.024259259259259258
5,4,1.0,0.023333333333333334,0.0,0.0
5,5,0.9982619769732775,0.034,0.008,0.0115
6,2,0.9963730653841718,0.0,0.0,0.02878787878787879
6,3,0.9949326369328118,0.0,0.0,0.04035087719298246
6,4,1.0,0.016666666666666666,0.0,0.0
6,5,0.9983540846181201,0.021666666666666667,0.013333333333333332,0.0096875
7,2,1.0,0.0,0.0,0.0
7,3,0.9977034473034847,0.0,0.0,0.017499999999999998
7,4,0.9957585349381093,0.014285714285714285,0.0,0.03084886128364389
7,5,1.0,0.007142857142857143,0.0,0.0
8,2,0.9978825922087408,0.0,0.0,0.020714285714285716
8,3,1.0,0.0,0.0,0.0
8,4,1.0,0.0125,0.0,0.0
8,5,0.9977796224547874,0.0225,0.01,0.014486607142857145
9,2,1.0,0.0,0.0,0.0
9,3,0.9982137923471548,0.0,0.0,0.013720538720538722
9,4,1.0,0.01111111111111111,0.0,0.0
9,5,0.9981009172589225,0.01,0.013333333333333332,0.012944444444444448
10,2,1.0,0.0,0.0,0.0
10,3,0.9987799995428789,0.0,0.0,0.012246376811594203
10,4,0.9980133085812086,0.013333333333333332,0.0,0.01575757575757576
10,5,1.0,0.008,0.0,0.0
