r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.13333333333333333,0.0,0.0
1,4,1.0,0.05,0.0,0.0
1,5,1.0,0.13999999999999999,0.27999999999999997,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.08333333333333333,0.1,0.0
2,4,1.0,0.025,0.0,0.0
2,5,1.0,0.075,0.16,0.0
3,2,1.0,0.03333333333333333,0.03333333333333333,0.0
3,3,1.0,0.06666666666666667,0.04444444444444444,0.0
3,4,1.0,0.05,0.05,0.0
3,5,1.0,0.026666666666666665,0.0,0.0
4,2,1.0,0.05,0.05,0.0
4,3,1.0,0.041666666666666664,0.05,0.0
4,4,1.0,0.05,0.1,0.0
4,5,1.0,0.06000000000000001,0.12000000000000002,0.0
5,2,1.0,0.02,0.02,0.0
5,3,1.0,0.053333333333333344,0.026666666666666665,0.0
5,4,1.0,0.030000000000000006,0.09,0.0
5,5,1.0,0.06,0.08,0.0
6,2,1.0,0.03333333333333333,0.03333333333333333,0.0
6,3,1.0,0.04444444444444444,0.04444444444444444,0.0
6,4,1.0,0.058333333333333334,0.06666666666666667,0.0
6,5,1.0,0.06,0.06666666666666668,0.0
7,2,1.0,0.02857142857142857,0.02857142857142857,0.0
7,3,1.0,0.023809523809523808,0.02857142857142857,0.0
7,4,1.0,0.04047619047619048,0.06428571428571428,0.0
7,5,1.0,0.04428571428571428,0.06857142857142857,0.0
8,2,1.0,0.0375,0.0375,0.0
8,3,1.0,0.041666666666666664,0.03333333333333333,0.0
8,4,1.0,0.04375,0.025,0.0
8,5,1.0,0.057499999999999996,0.06999999999999999,0.0
9,2,1.0,0.04444444444444444,0.04444444444444444,0.0
9,3,1.0,0.03333333333333333,0.037037037037037035,0.0
9,4,1.0,0.04444444444444444,0.03888888888888889,0.0
9,5,1.0,0.043333333333333335,0.05333333333333333,0.0
10,2,1.0,0.030000000000000006,0.030000000000000006,0.0
10,3,1.0,0.03666666666666667,0.04666666666666667,0.0
10,4,1.0,0.05499999999999999,0.05,0.0
10,5,1.0,0.049,0.068,0.0
