r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7961879297623944,0.0,0.0,0.075
1,3,0.904974577398372,0.0,0.0,0.04285714285714285
1,4,0.9307673245131151,0.0,0.0,0.04999999999999998
1,5,0.9289369943539789,0.0,0.0,0.03892857142857142
2,2,0.7504951256083726,0.0,0.0,0.15344827586206894
2,3,0.8308049138472302,0.0,0.0,0.11166666666666666
2,4,0.8306615005299646,0.05,0.025,0.17284946236559143
2,5,0.9099777275442312,0.0,0.0,0.10140625
3,2,0.7268826364968124,0.0,0.0,0.15555555555555559
3,3,0.7997514353536505,0.0,0.0,0.12604166666666666
3,4,0.8798630668488447,0.0,0.0,0.16013071895424835
3,5,0.9154107868012404,0.0,0.0,0.16583333333333333
4,2,0.7551999215829821,0.0,0.0,0.1725806451612903
4,3,0.805463328278527,0.0,0.0,0.1649509803921569
4,4,0.8055228631272875,0.0,0.0,0.1846846846846847
4,5,0.8754451779389608,0.0,0.0,0.1980625
5,2,0.717411464934831,0.0,0.0,0.23625
5,3,0.8159519545029543,0.013333333333333332,0.0,0.23851851851851852
5,4,0.7908669360388636,0.0,0.0,0.21883333333333335
5,5,0.8827203315078442,0.012,0.024,0.25463636363636366
6,2,0.7226146715898556,0.0,0.0,0.21616161616161617
6,3,0.7772759984573373,0.02222222222222222,0.0,0.2652046783625731
6,4,0.838444257282616,0.0,0.0,0.2513565891472868
6,5,0.8375708742085181,0.01,0.013333333333333332,0.2692013888888889
7,2,0.6829358148718586,0.0,0.0,0.21260504201680672
7,3,0.7662628202105297,0.009523809523809523,0.0,0.2653571428571429
7,4,0.7338662128259568,0.023809523809523808,0.014285714285714285,0.29011387163561075
7,5,0.835683778055792,0.0,0.0,0.2922252747252747
8,2,0.7030174434566093,0.0,0.0,0.24892857142857144
8,3,0.7195502127512932,0.0,0.0,0.26468253968253963
8,4,0.794158296623986,0.0,0.0,0.3014455782312925
8,5,0.8337683968006285,0.015,0.02,0.3270982142857143
9,2,0.7406271305554813,0.0,0.0,0.24876543209876542
9,3,0.707545909559683,0.007407407407407407,0.0,0.2918350168350168
9,4,0.8343107745806616,0.0,0.0,0.31602564102564107
9,5,0.7839674999741486,0.013333333333333332,0.02222222222222222,0.3392222222222222
10,2,0.7071336326953566,0.0,0.0,0.2691891891891892
10,3,0.7407307955034685,0.006666666666666666,0.0,0.3105797101449275
10,4,0.7483142326221878,0.011666666666666667,0.005,0.342969696969697
10,5,0.8076576187803525,0.0,0.0,0.34810937500000005
