r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.25731736179082587,0.0,0.0,0.7392857142857142
1,3,0.4097538048608997,0.0,0.0,0.630952380952381
1,4,0.4346557101947169,0.0,0.0,0.6005952380952381
1,5,0.46344711445551023,0.13999999999999999,0.16,0.6225
2,2,0.3917120596003924,0.0,0.0,0.5896551724137933
2,3,0.39058426209225133,0.016666666666666666,0.0,0.6322222222222222
2,4,0.4844885321274516,0.0,0.0,0.6043010752688172
2,5,0.4372286312865257,0.06000000000000001,0.02,0.670625
3,2,0.5254475716530222,0.0,0.0,0.4844444444444445
3,3,0.4383401170530113,0.03333333333333333,0.06666666666666667,0.65
3,4,0.468021261079915,0.01111111111111111,0.0,0.6429738562091505
3,5,0.44285965841232827,0.07333333333333333,0.05333333333333333,0.6658333333333334
4,2,0.45499215619144795,0.0,0.0,0.5435483870967742
4,3,0.4531566232502603,0.0,0.0,0.6588235294117647
4,4,0.47549055907684706,0.020833333333333332,0.0125,0.6456081081081081
4,5,0.42777275609220206,0.05500000000000001,0.02,0.6933125
5,2,0.38328751070707057,0.0,0.0,0.6475
5,3,0.48880838761700784,0.0,0.0,0.5838888888888889
5,4,0.44022919276154876,0.023333333333333334,0.030000000000000006,0.6811666666666667
5,5,0.47062772216934406,0.026000000000000002,0.0,0.7037727272727273
6,2,0.4781377868889889,0.016666666666666666,0.016666666666666666,0.555050505050505
6,3,0.46964419692221754,0.0,0.0,0.6255847953216375
6,4,0.44512997991840464,0.01111111111111111,0.016666666666666666,0.6766795865633075
6,5,0.4673094770133018,0.06,0.05333333333333333,0.6818055555555554
7,2,0.509825822089714,0.0,0.0,0.5168067226890757
7,3,0.44601687120680494,0.014285714285714285,0.02857142857142857,0.6551190476190476
7,4,0.47668890441656464,0.016666666666666666,0.02857142857142857,0.6709627329192547
7,5,0.44721223228877915,0.024285714285714285,0.011428571428571429,0.7132692307692309
8,2,0.45290551848822147,0.0,0.0,0.5900000000000001
8,3,0.4762984967476046,0.004166666666666667,0.008333333333333333,0.6129960317460317
8,4,0.4541295396666968,0.02291666666666666,0.0125,0.6823129251700679
8,5,0.4596898613723049,0.01875,0.0,0.7137723214285714
9,2,0.44221413255237607,0.0,0.0,0.5975308641975309
9,3,0.4779033735699717,0.0,0.0,0.6075757575757577
9,4,0.4547575562311952,0.014814814814814814,0.01111111111111111,0.6899216524216524
9,5,0.4519604635925811,0.028888888888888888,0.04888888888888889,0.7120185185185186
10,2,0.455857968736039,0.0,0.0,0.5810810810810811
10,3,0.46891528147281986,0.01,0.006666666666666666,0.6509420289855072
10,4,0.4643008432841837,0.005,0.005,0.6966060606060607
10,5,0.461149544962673,0.015,0.008,0.718015625
