r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22568040596509928,0.6,0.6,0.7730769230769231
1,3,0.243331135204056,0.75,0.7,0.8179487179487179
1,4,0.5429943916229474,0.38333333333333336,0.4,0.4092948717948718
1,5,0.08564668612105533,0.9125,0.9,0.9826923076923076
1,6,0.527880411021859,0.49000000000000005,0.49000000000000005,0.5538461538461539
1,7,0.3814890596416693,0.6416666666666666,0.6,0.6921153846153846
1,8,0.10122925480145355,0.8142857142857143,0.8,0.8155906593406593
1,9,0.269849107223432,0.6569444444444444,0.6888888888888889,0.7403846153846153
1,10,0.5599293817443048,0.4004761904761905,0.4385714285714285,0.4402960927960928
2,2,0.3304947274163798,0.45,0.45,0.67752849002849
2,3,0.16882352845628135,0.725,0.7333333333333333,0.7261904761904763
2,4,0.34884710139380676,0.6541666666666666,0.6666666666666666,0.676867816091954
2,5,0.45829340123587253,0.5978571428571429,0.5914285714285714,0.6266574074074074
2,6,0.3953561190336178,0.6651515151515153,0.656818181818182,0.7151612903225807
2,7,0.42421232512072793,0.6652828652828651,0.6418192918192918,0.6520535714285713
2,8,0.30160810382481035,0.7442667451596023,0.7671932234432234,0.7132097387566138
2,9,0.3750021009049449,0.6498060966810967,0.6274801587301587,0.6297977178050707
2,10,0.6397285647890897,0.49560834590246367,0.5179826546003017,0.40380657504937456
3,2,0.3294287595332162,0.5499999999999999,0.5499999999999999,0.7708333333333333
3,3,0.3482555671774231,0.6520833333333333,0.6236111111111111,0.7622030651340996
3,4,0.29761087101763134,0.69,0.7249999999999999,0.699673730842912
3,5,0.37651869922200343,0.6563257575757576,0.6792424242424243,0.6324667931688804
3,6,0.3281469411069414,0.6998340874811464,0.7420563097033684,0.6356666666666666
3,7,0.45094104640344534,0.6118676806080057,0.6079602995044171,0.5583683467960106
3,8,0.3750110757989468,0.7294444444444445,0.7537301587301586,0.6178114769146116
3,9,0.38914328178468455,0.6900786457476455,0.7296095381961581,0.618365357839042
3,10,0.33684713256191745,0.7909966329966329,0.825030303030303,0.6863893565282455
4,2,0.32684927809784076,0.4428571428571429,0.4428571428571429,0.7376077586206897
4,3,0.5120545720271166,0.4383333333333333,0.465,0.5099798387096774
4,4,0.4861723257856493,0.48190767565767567,0.4536338661338662,0.49860333243145744
4,5,0.45800214631961433,0.5871507352941177,0.5904411764705882,0.590905241043786
4,6,0.35674965629746136,0.6734720199708758,0.6537107343457458,0.6066027269647697
4,7,0.40818914375919757,0.6635550439898266,0.6746698953220692,0.6188508778640357
4,8,0.49447445121611516,0.6006367807665083,0.6176166107252036,0.525113737007203
4,9,0.48243006430307805,0.6360125065308255,0.6665954806687566,0.5398692021968624
4,10,0.48577609882406225,0.6509351851851851,0.6900833333333333,0.5606385625128338
5,2,0.39856797161493757,0.41000000000000003,0.41000000000000003,0.6325172413793104
5,3,0.4163307585402616,0.5652014652014652,0.5526556776556777,0.6598390151515152
5,4,0.4802002074833486,0.5323529411764705,0.5506209150326796,0.5447204817599555
5,5,0.4507367516451886,0.581060606060606,0.581010101010101,0.5717007326007326
5,6,0.4974080073722941,0.59665994005994,0.6012705627705628,0.5132210453598577
5,7,0.5790869627646421,0.5067847122013789,0.5091525372775374,0.4649239588311597
5,8,0.5205022346537822,0.5966996454601496,0.6268398727222257,0.5268068326581906
5,9,0.6166339698700876,0.47539055091575655,0.5678699222275513,0.3848610091546197
5,10,0.44236413768143057,0.6846317139650473,0.6998470418470418,0.5842605688011272
6,2,0.41903189084095127,0.48560606060606054,0.48560606060606054,0.61921146953405
6,3,0.5191608475516997,0.4151727357609711,0.4681886087768441,0.5129049658583973
6,4,0.49189991018944124,0.4827314498367129,0.491786283891547,0.47231381364083547
6,5,0.5298390076015647,0.49581908831908833,0.5116666666666667,0.45180298428212984
6,6,0.5397074758779025,0.5208322226740159,0.5356935032077347,0.4898583805441182
6,7,0.6514380328914583,0.4109517409114183,0.4535068220836722,0.36442897264726
6,8,0.5434127952239732,0.517807679276201,0.5193625166234653,0.43181810782522445
6,9,0.4988993327760518,0.6058825069403377,0.6094295344394686,0.5467951044852024
6,10,0.5260653121659373,0.5825749678228455,0.611101543052307,0.4786213242250267
7,2,0.416704786725617,0.4346153846153847,0.4346153846153847,0.5859447004608295
7,3,0.48393591426156235,0.4913053467000835,0.4934210526315789,0.5353291798780521
7,4,0.45413194413175856,0.5463296703296703,0.5440989010989011,0.5533770067524423
7,5,0.490586780203983,0.5215790610599078,0.49151209677419355,0.49371386466941836
7,6,0.595914164882055,0.45837783102417246,0.4840424835546787,0.44911519643751036
7,7,0.500872349448848,0.5714874159060844,0.5697763899914092,0.46870390714585897
7,8,0.6609084964814553,0.4302195500549983,0.41847626842572855,0.3798475456616148
7,9,0.6025843691845421,0.5192943972688879,0.5419506939425762,0.4447314588983506
7,10,0.6168705481377981,0.49634973864249793,0.5590722327894184,0.39211617805735544
8,2,0.4575662340533498,0.45,0.45,0.5740471117424242
8,3,0.4531780959956677,0.5301183418031243,0.5495929794842838,0.5725489165785219
8,4,0.49305972220600197,0.5149973773034118,0.5276811941251596,0.48447415398893634
8,5,0.5880807831232173,0.4585982540026657,0.5123374443962678,0.43607271763315253
8,6,0.5347439596631475,0.5207796170512646,0.5371865644126471,0.4649921969230343
8,7,0.5676900827177799,0.4672289948656284,0.5145008101052411,0.426856373600281
8,8,0.6265403319130078,0.49369854410313313,0.5282285922134011,0.4084501863323129
8,9,0.5804359019678195,0.5100521023933766,0.5704692949760549,0.4117209901379965
8,10,0.5415407246384597,0.5555196146927187,0.5873248444423911,0.43538661487477254
9,2,0.3886818169450688,0.5375816993464053,0.5375816993464053,0.6104921766686473
9,3,0.5670999723560743,0.4229786324786325,0.4251794871794871,0.4400490840836369
9,4,0.5078518624469888,0.511090027408813,0.5370651486401011,0.5172686881621575
9,5,0.5509713170124401,0.47501278603011593,0.5099266458830002,0.4327019574074454
9,6,0.5866238904716086,0.4960775779775779,0.5266979885194171,0.46192324180738603
9,7,0.6577587066843755,0.4538614861286033,0.470369897377428,0.3763300038155536
9,8,0.5193370509666819,0.5642213843618702,0.6026735269300815,0.467154432609842
9,9,0.70963640777152,0.38567481320308994,0.3726308900134639,0.2969435539190297
9,10,0.5349182607621177,0.5976518309080254,0.6008520755823837,0.47562225750988485
10,2,0.40018788089898666,0.49736842105263157,0.49736842105263157,0.6249117647058824
10,3,0.523357756034095,0.47630359423462876,0.4660080277321657,0.525356258885754
