r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5903284504220223,0.4,0.4,0.4
1,3,0.6909204891533495,0.8,0.8,0.8
1,4,0.6504727797839516,0.8,0.8,0.8
1,5,0.8325878586625629,0.62,0.64,0.6196153846153847
2,2,0.8023037329923064,0.6,0.6,0.6
2,3,0.7913830517934283,0.62,0.62,0.6
2,4,0.8058514493856908,0.55,0.5333333333333333,0.5258620689655172
2,5,0.8108114141930371,0.582857142857143,0.6228571428571429,0.54
3,2,0.7668423932985828,0.5999999999999999,0.5999999999999999,0.5999999999999999
3,3,0.655288495309738,0.7206349206349206,0.765079365079365,0.6444444444444444
3,4,0.8216606385211225,0.5444444444444445,0.5333333333333333,0.5399305555555556
3,5,0.7192800609103354,0.5324242424242425,0.5503030303030303,0.4915555555555556
4,2,0.8098358098654327,0.5071428571428571,0.5071428571428571,0.5448275862068965
4,3,0.7920045197030176,0.7374242424242424,0.7790909090909091,0.7
4,4,0.898570534520242,0.5226190476190476,0.5642857142857143,0.5078571428571429
4,5,0.8909247274579493,0.3276923076923077,0.40846153846153843,0.24
5,2,0.7962042184873347,0.4999999999999999,0.4999999999999999,0.5566666666666666
5,3,0.7404132873597449,0.6388278388278389,0.6178021978021979,0.5854901960784314
5,4,0.7911943012323522,0.5111111111111112,0.5288888888888889,0.5030728335991494
5,5,0.8248516717861969,0.5614978354978355,0.6188571428571429,0.5347607480239059
6,2,0.7935010267735363,0.5651515151515152,0.5651515151515152,0.5973118279569892
6,3,0.7898421440140466,0.44749999999999995,0.44833333333333336,0.41045751633986927
6,4,0.8368245324593474,0.5025974025974026,0.5135281385281385,0.45555555555555555
6,5,0.8572503862541996,0.4739935587761675,0.5484380032206119,0.4133333333333333
7,2,0.8732788317197185,0.3879120879120879,0.3879120879120879,0.42589285714285713
7,3,0.8866428626216732,0.45809523809523806,0.46761904761904766,0.4471177944862156
7,4,0.9103252732078427,0.4981684981684982,0.5252747252747253,0.4712662337662338
7,5,0.8453329258692305,0.5440625000000001,0.5439285714285715,0.5165337386018237
8,2,0.8838778311318711,0.30833333333333335,0.30833333333333335,0.2996212121212121
8,3,0.8635425230478759,0.3657114624505929,0.374802371541502,0.3333333333333333
8,4,0.9113176268046633,0.47097222222222224,0.4930357142857143,0.4290277777777778
8,5,0.80789853132302,0.4545454545454546,0.5555555555555556,0.39364999999999994
9,2,0.8335655797127023,0.43202614379084975,0.43202614379084975,0.48461081402257883
9,3,0.8840637066662185,0.42065527065527064,0.46642735042735045,0.39937400524798894
9,4,0.8771615354154761,0.4464745494157258,0.46782531194295895,0.4218873456790123
9,5,0.9053730949936648,0.39039682539682535,0.4352380952380952,0.3634747474747475
10,2,0.8438463612386385,0.4636842105263158,0.4636842105263158,0.4591344537815125
10,3,0.8959822542532578,0.4028205128205128,0.4461538461538462,0.38
10,4,0.9127823556742232,0.3191499017814807,0.3889080810133442,0.2964061582809224
10,5,0.9474556436448539,0.3250074005550416,0.4202035152636448,0.29961290322580647
