r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.26730548179663144,0.6,0.6,0.7923076923076924
1,3,0.3355667735777705,0.9333333333333332,1.0,0.9974358974358974
1,4,0.24029120711361088,0.8666666666666666,0.95,0.8974358974358975
1,5,0.3289281107915486,0.72,0.8800000000000001,0.9142307692307693
2,2,0.49518594628752854,0.75,0.75,0.8018518518518519
2,3,0.32074459109507764,0.8600000000000001,1.0,0.9636904761904763
2,4,0.29405902398017125,0.7222222222222221,0.9166666666666667,0.87816091954023
2,5,0.4766909999479938,0.6721428571428572,0.74,0.6695740740740741
3,2,0.39225941766466077,0.8,0.8,0.8666666666666668
3,3,0.30269570939840207,0.8539682539682539,0.8761904761904761,0.7985185185185184
3,4,0.3929677551328694,0.6888888888888889,0.8,0.7675347222222222
3,5,0.32502379713973195,0.6537121212121212,0.8137878787878788,0.6764204793028322
4,2,0.4447853990180324,0.5821428571428571,0.5821428571428571,0.7328201970443349
4,3,0.48819584456173415,0.8122727272727273,0.892121212121212,0.7841229838709676
4,4,0.46888716075769743,0.7666666666666667,0.7839285714285714,0.8284740259740261
4,5,0.5300308519174545,0.5459615384615384,0.6538461538461539,0.55044779286927
5,2,0.3587941768564091,0.6644444444444444,0.6644444444444444,0.7513563218390804
5,3,0.33082298297680873,0.7975824175824175,0.8350183150183149,0.8352016488413547
5,4,0.37092595020817676,0.7433333333333334,0.8233333333333333,0.8733984582668792
5,5,0.5679543200060935,0.7045238095238096,0.6982683982683981,0.7102620011567381
6,2,0.4715634586925287,0.6984848484848485,0.6984848484848485,0.7301075268817205
6,3,0.39598613717710074,0.6954166666666667,0.7447222222222223,0.7482793858284055
6,4,0.47239105347856586,0.6766594516594517,0.7272727272727272,0.690210804267287
6,5,0.36342728087962184,0.7319484702093397,0.8648309178743961,0.7980608920346028
7,2,0.48007440494568715,0.6373626373626373,0.6373626373626373,0.7611175115207374
7,3,0.5181772845635234,0.6499999999999999,0.7080952380952381,0.7373907742328796
7,4,0.5663606425950056,0.6712454212454213,0.7725274725274724,0.7181199752628324
7,5,0.4991151550484729,0.6236160714285715,0.6880357142857143,0.6427796423269951
8,2,0.5282975739729217,0.54,0.54,0.6870501893939395
8,3,0.48337576317317704,0.6231554677206852,0.7113965744400528,0.6848741846603689
8,4,0.4781098336401497,0.7373214285714285,0.825654761904762,0.7861317966903073
8,5,0.49394667715182355,0.6228535353535353,0.702020202020202,0.5731005319148937
9,2,0.4373945839319302,0.6686274509803921,0.6686274509803921,0.8472271736977621
9,3,0.45808006905748355,0.6671680911680912,0.6982792022792024,0.7990748268593796
9,4,0.43624044756516345,0.6362745098039216,0.7249257278669045,0.7390628119254006
9,5,0.5244762505223427,0.618968253968254,0.6679365079365078,0.639584244234092
10,2,0.4492646600934568,0.6794736842105263,0.6794736842105263,0.770689075630252
10,3,0.5581359994153772,0.5720512820512821,0.6225641025641026,0.6451378418329637
10,4,0.6132422199341231,0.4845603121918911,0.5661204813836392,0.5400956988770351
10,5,0.695762076299915,0.5143672525439408,0.5608436632747456,0.542330121981109
