r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3173597638759061,0.6,0.6,0.7923076923076924
1,3,0.3853489546072235,0.9333333333333332,1.0,0.9974358974358974
1,4,0.28309132300703377,0.8666666666666666,0.95,0.8974358974358975
1,5,0.37504105327967097,0.72,0.8800000000000001,0.9126923076923077
2,2,0.5726386638553685,0.75,0.75,0.798148148148148
2,3,0.3694830190672487,0.8600000000000001,1.0,0.9625
2,4,0.3452762064987627,0.7222222222222221,0.9166666666666667,0.8770114942528735
2,5,0.5600695313645647,0.6721428571428572,0.74,0.6655
3,2,0.445233617934103,0.8,0.8,0.8642857142857142
3,3,0.3413253445273413,0.8539682539682539,0.8761904761904761,0.798148148148148
3,4,0.4627068925671395,0.6888888888888889,0.8,0.7670138888888889
3,5,0.37923795346474937,0.6537121212121212,0.8137878787878788,0.6746993464052288
4,2,0.5194600002026502,0.5821428571428571,0.5821428571428571,0.7310344827586206
4,3,0.5422890022832287,0.8122727272727273,0.892121212121212,0.7830729166666666
4,4,0.522813303252039,0.7666666666666667,0.7839285714285714,0.8276190476190477
4,5,0.6145054033679535,0.5459615384615384,0.6538461538461539,0.5491320033955857
5,2,0.41620280554761047,0.6644444444444444,0.6644444444444444,0.7493333333333334
5,3,0.37483102593324436,0.7975824175824175,0.8350183150183149,0.8340073529411764
5,4,0.4263685973060847,0.7433333333333334,0.8233333333333333,0.8726772107035264
5,5,0.6198156555704996,0.7045238095238096,0.6982683982683981,0.7091659919028339
6,2,0.5359538491077064,0.6984848484848485,0.6984848484848485,0.7274193548387097
6,3,0.4486469345380166,0.6954166666666667,0.7447222222222223,0.7469862018881627
6,4,0.5270875974680846,0.6798340548340549,0.7272727272727272,0.6893927216937487
6,5,0.4071713472018577,0.7319484702093397,0.8648309178743961,0.7975283675991461
7,2,0.5447472423053368,0.6373626373626373,0.6373626373626373,0.7588709677419356
7,3,0.5848775854934728,0.6499999999999999,0.7080952380952381,0.735257061572851
7,4,0.6101059440712204,0.6813186813186813,0.7725274725274724,0.7174680478251907
7,5,0.5637655454542465,0.6236160714285715,0.6880357142857143,0.6420643811408779
8,2,0.6014245068166617,0.54,0.54,0.6862807765151515
8,3,0.5472155284819491,0.6231554677206852,0.7113965744400528,0.6837916104363473
8,4,0.5224423183059282,0.7394047619047617,0.825654761904762,0.7854797084318361
8,5,0.5552320872111942,0.6228535353535353,0.702020202020202,0.5713845744680851
9,2,0.48894242998078674,0.6686274509803921,0.6686274509803921,0.8465636759754407
9,3,0.5096432010576852,0.6671680911680912,0.6982792022792024,0.7976462554308081
9,4,0.49364064039732664,0.6362745098039216,0.7249257278669045,0.7383712568951931
9,5,0.5723764905195095,0.618968253968254,0.6679365079365078,0.638938653779171
10,2,0.5023916718430329,0.6794736842105263,0.6794736842105263,0.7692268907563026
10,3,0.6216723143845058,0.5720512820512821,0.6225641025641026,0.6442651515151516
10,4,0.6810702123680892,0.4878936455252244,0.5661204813836392,0.5376916275629748
10,5,0.7402564175782776,0.5143672525439408,0.5608436632747456,0.5418056503459588
