r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.15223099958250166,0.4,0.4,0.6730769230769231
1,3,0.20421546337977006,0.6666666666666667,0.6666666666666666,0.8512820512820513
1,4,0.09429890571016838,0.8666666666666666,0.9,0.975
1,5,0.2410713748076106,0.51,0.6,0.8600000000000001
2,2,0.22450573132877705,0.5,0.5,0.8462962962962963
2,3,0.22737011847492822,0.6266666666666667,0.6333333333333333,0.8458333333333334
2,4,0.22366492798265805,0.44722222222222213,0.5333333333333333,0.8340038314176246
2,5,0.21279150678854544,0.5507142857142857,0.6542857142857142,0.8903518518518518
3,2,0.16957788858981573,0.6333333333333333,0.6333333333333333,0.898809523809524
3,3,0.2115003986784097,0.653968253968254,0.6317460317460317,0.7744444444444445
3,4,0.2074336856520403,0.49444444444444435,0.6,0.8524305555555556
3,5,0.17426985499812833,0.5112121212121211,0.5775757575757575,0.7703427741466957
4,2,0.28822501867415085,0.46428571428571425,0.46428571428571425,0.7694581280788176
4,3,0.22744815703291618,0.6539393939393939,0.7018181818181819,0.89712645609319
4,4,0.27958793319028036,0.46130952380952384,0.5178571428571429,0.8425288600288601
4,5,0.2420306438538664,0.4009615384615384,0.3676923076923077,0.8213518675721561
5,2,0.2538153338694108,0.45999999999999996,0.45999999999999996,0.8023218390804597
5,3,0.14985113083712956,0.6441025641025642,0.667106227106227,0.8492104872251931
5,4,0.239793266976655,0.4981481481481482,0.5,0.8185570618465354
5,5,0.28164017484070497,0.467021645021645,0.5821298701298702,0.8094904569115094
6,2,0.2449550938262512,0.44393939393939397,0.44393939393939397,0.7940681003584229
6,3,0.20594766726063604,0.44027777777777777,0.48583333333333334,0.777648214167822
6,4,0.18708427052307056,0.5481962481962481,0.5833333333333333,0.8762756967988035
6,5,0.2260342312915299,0.515169082125604,0.5761674718196457,0.8484306646617062
7,2,0.2469539499580323,0.3758241758241758,0.3758241758241758,0.8432315668202766
7,3,0.2641155904237479,0.42952380952380953,0.4504761904761905,0.8680383390909707
7,4,0.2565235859661109,0.5608058608058608,0.5714285714285714,0.9266414141414142
7,5,0.22702405034455628,0.48616071428571433,0.5644642857142858,0.8606561065335715
8,2,0.3066718711121669,0.21749999999999997,0.21749999999999997,0.7463778409090909
8,3,0.2698988222165518,0.3626646903820817,0.3573781291172596,0.8091420659019344
8,4,0.19739545380510717,0.5573809523809524,0.6098809523809524,0.9085036056590979
8,5,0.23558450326019953,0.47348484848484845,0.546969696969697,0.7678946808510638
9,2,0.2862676577627108,0.3411764705882353,0.3411764705882353,0.7609526638938403
9,3,0.2626659003023065,0.3713333333333333,0.3831680911680912,0.7942807674108486
9,4,0.23692858900471894,0.4348088730441672,0.45166369578134286,0.8426751050696086
9,5,0.2306856625663018,0.43015873015873024,0.45365079365079364,0.8742697290689178
10,2,0.22242983450146953,0.5157894736842106,0.5157894736842106,0.8357563025210084
10,3,0.2912594299633565,0.4148717948717948,0.3805128205128205,0.836320214338507
10,4,0.2949223580011609,0.3784340355392987,0.3667487412224254,0.7948164511087453
10,5,0.34418220336133754,0.30074653098982423,0.2936281221091582,0.8034049603137194
