r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.4327449910292806,0.2,0.2,0.36923076923076925
1,3,0.2658015563002018,0.5,0.5333333333333333,0.782051282051282
1,4,0.388212357699263,0.45,0.45,0.4282051282051282
1,5,0.41819755724726954,0.625,0.6,0.6
2,2,0.34234288888526015,0.6,0.6,0.6857142857142857
2,3,0.5462125382888472,0.385,0.37,0.40376068376068375
2,4,0.5355792479584001,0.4440476190476191,0.5071428571428571,0.49777777777777776
2,5,0.4603939495806137,0.6275000000000001,0.5785714285714285,0.5760714285714286
3,2,0.315092026428479,0.5466666666666666,0.5466666666666666,0.6422222222222221
3,3,0.31315144361469793,0.7000000000000001,0.6666666666666667,0.7214285714285714
3,4,0.5564371003199369,0.39989898989898987,0.41090909090909084,0.44577552268470744
3,5,0.5865454645310455,0.502929292929293,0.4818181818181818,0.33999999999999997
4,2,0.4521897967782785,0.46071428571428574,0.46071428571428574,0.44333333333333336
4,3,0.4499921777588128,0.6883333333333332,0.6799999999999999,0.7342105263157894
4,4,0.5166135735604707,0.4267388167388167,0.42974025974025976,0.5123941091588151
4,5,0.6008282929114618,0.6236671335200746,0.6418767507002802,0.5743112648221345
5,2,0.5113464703792645,0.36,0.36,0.52
5,3,0.38546046941401757,0.651904761904762,0.679047619047619,0.7634920634920634
5,4,0.49073211639082864,0.5391081871345029,0.5742105263157894,0.5347273982056591
5,5,0.5914080161551225,0.5685616028708134,0.5945813397129186,0.5061557971014492
6,2,0.5719732079346561,0.3287878787878788,0.3287878787878788,0.41427015250544663
6,3,0.5728928276526466,0.4807843137254902,0.4564705882352941,0.4808838383838384
6,4,0.5569442671815501,0.5604995331465921,0.5639775910364145,0.5458564814814815
6,5,0.645012119306798,0.6266807568438003,0.6826489533011272,0.590783950617284
7,2,0.6090120270148115,0.5351648351648353,0.5351648351648353,0.5360902255639097
7,3,0.6493099583846675,0.5166666666666666,0.5019298245614034,0.551453980801807
7,4,0.6739568668409209,0.5732626262626261,0.5434848484848486,0.598022549760645
7,5,0.6586920077303035,0.48938248847926263,0.49978070872397906,0.5364917535885277
8,2,0.5944495028353612,0.40499999999999997,0.40499999999999997,0.4821052631578947
8,3,0.5605043881729632,0.5039243365330321,0.5132316958403915,0.5776201923076923
8,4,0.6481533454103631,0.5484809902740937,0.5592157382847038,0.5057142870818946
8,5,0.689242729529137,0.5292945065003888,0.5323123352535116,0.5361981177473464
9,2,0.5230342045583264,0.43006535947712415,0.43006535947712415,0.47888888888888886
9,3,0.6382254946531329,0.5222435897435898,0.5187179487179487,0.5610153906450203
9,4,0.63079679815024,0.5100828562118885,0.5195894428152492,0.5866004148178037
9,5,0.6949510209464972,0.45842418546365915,0.4364536340852131,0.45210062192518335
10,2,0.5288611515096309,0.4842105263157895,0.4842105263157895,0.5795238095238096
10,3,0.6396119557304616,0.4724053724053724,0.45085470085470086,0.538825336009244
10,4,0.7445214274906922,0.5097753522753523,0.455300589050589,0.5908431735306736
10,5,0.8078639999666569,0.5328541830941935,0.5337612914675707,0.5255502022244691
