r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6166100979978365,0.3,0.3,0.4230769230769231
1,3,0.5324158232790687,0.8333333333333334,0.8666666666666666,0.9743589743589745
1,4,0.5997035415067076,0.4666666666666667,0.5,0.4512820512820513
1,5,0.718411686687823,0.5650000000000001,0.5599999999999999,0.5938461538461539
2,2,0.6210827302794074,0.5,0.5,0.7071428571428572
2,3,0.6373934796688041,0.5933333333333334,0.5366666666666667,0.5025396825396825
2,4,0.7008620707795903,0.4416666666666667,0.48571428571428565,0.5231944444444444
2,5,0.7298588536835817,0.6455357142857142,0.6442857142857144,0.5908109243697479
3,2,0.5311010981158186,0.5133333333333333,0.5133333333333333,0.6603174603174603
3,3,0.6539503964422695,0.6611111111111112,0.6222222222222222,0.723062558356676
3,4,0.637889164869597,0.4443434343434343,0.46424242424242423,0.476081680235447
3,5,0.6961045723838168,0.4514141414141414,0.4818181818181818,0.3515871459694989
4,2,0.5701881091215207,0.3035714285714286,0.3035714285714286,0.355
4,3,0.733249940897359,0.5866666666666667,0.5599999999999999,0.64156346749226
4,4,0.6912985045649669,0.45239898989898997,0.4970021645021645,0.5278493265993266
4,5,0.7591891577925878,0.6396195144724557,0.6511204481792717,0.5888952777199916
5,2,0.7303738686468286,0.31999999999999995,0.31999999999999995,0.5541176470588234
5,3,0.736887753821199,0.63,0.6228571428571429,0.7757460317460316
5,4,0.6831354178243386,0.5187524366471734,0.5279824561403508,0.5029049344375431
5,5,0.6723536421361509,0.5982655502392344,0.6466866028708134,0.5183253623188406
6,2,0.7209771687522507,0.3136363636363636,0.3136363636363636,0.42973856209150324
6,3,0.711041486257175,0.3898039215686275,0.3780392156862745,0.46351010101010104
6,4,0.6998774637355419,0.6064332399626517,0.609593837535014,0.5650608465608465
6,5,0.747249095887007,0.6040861513687601,0.7035829307568437,0.5748404558404558
7,2,0.7539051244360696,0.3351648351648352,0.3351648351648352,0.39502923976608184
7,3,0.7939668515757724,0.4250292397660818,0.399766081871345,0.5296740698914612
7,4,0.7858519099060428,0.48862626262626263,0.474969696969697,0.5531735953640715
7,5,0.7709446044063697,0.5038709677419355,0.5415871603368823,0.5526789168724653
8,2,0.7566610785941457,0.26749999999999996,0.26749999999999996,0.3981578947368421
8,3,0.6761871924401318,0.4415772633163938,0.46105778279691323,0.5518338675213675
8,4,0.7633809306837931,0.48290303566165643,0.49460300618921316,0.4681122976485879
8,5,0.77375548137871,0.5280371961438137,0.5374153899889194,0.5328825973633142
9,2,0.7068005921758116,0.3836601307189542,0.3836601307189542,0.4776455026455026
9,3,0.7578985190940737,0.4143076923076923,0.43161538461538457,0.5293379460046126
9,4,0.7632247999183307,0.5561169296653168,0.5692919983242564,0.5996891066898614
9,5,0.7727819231273614,0.4769256474519633,0.47565580618212183,0.4609700872551749
10,2,0.6787816198544923,0.32631578947368417,0.32631578947368417,0.45809523809523806
10,3,0.7787425914529854,0.42213064713064713,0.40852665852665854,0.52044456607675
10,4,0.8289157110877694,0.4923229960729961,0.4524476536976537,0.5610231825231824
10,5,0.8534250822667442,0.5467360329516531,0.5300125579316031,0.5199757885521221
