r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.209233432519629,0.75,0.75,0.7961538461538462
1,3,0.22867484446620306,0.6166666666666666,0.6666666666666667,0.6846153846153846
1,4,0.2699680505833839,0.5333333333333333,0.6,0.6346153846153847
1,5,0.2612561978351312,0.5425000000000001,0.6,0.6438461538461538
1,6,0.2587884097745066,0.5346666666666666,0.63,0.6505128205128206
1,7,0.16326894019408952,0.6376190476190476,0.7657142857142857,0.7488278388278389
1,8,0.2874096503732251,0.6075,0.6174999999999999,0.6332142857142856
1,9,0.34399205201495947,0.6045138888888889,0.6041666666666666,0.6733363858363858
1,10,0.3886952537321172,0.542962962962963,0.6675000000000001,0.6348534798534797
2,2,0.29181303977208317,0.5333333333333334,0.5333333333333334,0.6266483516483516
2,3,0.3234015323795235,0.6383333333333334,0.6766666666666666,0.716031746031746
2,4,0.19906614697401387,0.711031746031746,0.7796428571428571,0.7945312499999999
2,5,0.3345283437767727,0.6286904761904761,0.6877380952380953,0.5902941176470589
2,6,0.4153238580191353,0.6229365079365079,0.707936507936508,0.601574074074074
2,7,0.5179663207760944,0.5484325396825397,0.5538492063492063,0.4645655806182122
2,8,0.45319500294211296,0.5791689659546801,0.6827762515262515,0.5983779761904762
2,9,0.2045914764764051,0.867208853238265,0.8043523469994058,0.8385582010582009
2,10,0.4410516109008869,0.5086980920314252,0.6028787878787879,0.4781566472742943
3,2,0.27143524194368224,0.44000000000000006,0.44000000000000006,0.6565079365079365
3,3,0.2315209046253104,0.640079365079365,0.7220238095238095,0.7573583877995642
3,4,0.3464715304853555,0.6916305916305916,0.7653391053391053,0.6878237259816207
3,5,0.40319262271388673,0.5682352369852369,0.5953651903651903,0.5602231067865743
3,6,0.2693236320980258,0.6652307692307693,0.6699633699633699,0.6683378676158996
3,7,0.422418506091314,0.7144105054302423,0.7620895989974937,0.669265010351967
3,8,0.36240120508214185,0.7468101343101343,0.7467948717948719,0.6860672949735449
3,9,0.2337216476463661,0.7786757242249233,0.7242191997340739,0.7500920910245934
3,10,0.3947454493507211,0.6083068783068782,0.6619599723947549,0.5572805396515075
4,2,0.34235613835341144,0.5107142857142858,0.5107142857142858,0.6484375
4,3,0.3252451571121738,0.6243939393939394,0.6837878787878788,0.6965159528723769
4,4,0.47988827631658265,0.5749220224220224,0.6642748917748917,0.5810444672286778
4,5,0.3705849876819366,0.5543411204808263,0.6729303213126743,0.6278675669740889
4,6,0.40663299225873456,0.714172006102212,0.7271700991609459,0.680089318303811
4,7,0.3589496380806361,0.6139301358866576,0.6406752185013055,0.594120424975136
4,8,0.44019161203795437,0.7305182542325398,0.7542633477633478,0.681542362718034
4,9,0.2959510023452717,0.650107537797333,0.6553373037055112,0.6454610677305569
4,10,0.43398560834478495,0.764575854336159,0.7960017067759003,0.6483863481040564
5,2,0.3357823343502726,0.5777777777777778,0.5777777777777778,0.6418014705882353
5,3,0.35630279064627457,0.5812820512820512,0.6196886446886446,0.6942961570593149
5,4,0.4609827194464976,0.6213970588235294,0.647124183006536,0.5778238095238095
5,5,0.48248102888861527,0.603877759286226,0.6598678778633011,0.6486887464387465
5,6,0.47984473478354894,0.5959911353014802,0.6543195961126995,0.631076670771757
5,7,0.43513909453531907,0.6270324620380238,0.6775641257148488,0.6192777034473463
5,8,0.5347086015252839,0.6145306954817522,0.7012309714756879,0.5644813007770157
5,9,0.4989220152676853,0.658390245391617,0.6245926104762107,0.5821053321762174
5,10,0.5093415061373964,0.606492077833541,0.6413288642277291,0.5900616161351601
6,2,0.36576912036767173,0.4909090909090909,0.4909090909090909,0.6056917211328975
6,3,0.3642872904576934,0.6411151960784314,0.6805228758169934,0.7066929648451389
6,4,0.38054423802110443,0.5525235106871262,0.5940512884649041,0.5889730799259785
6,5,0.4078027254383693,0.6570224513811469,0.6928821379908336,0.7176064486280004
6,6,0.5956875958444409,0.5858585970944147,0.5890004255570163,0.6453055814933185
6,7,0.478189768876495,0.5742141366888363,0.6584325502921329,0.578049817308296
6,8,0.45859604591396197,0.588733339945746,0.6527349341823027,0.5832757059146643
6,9,0.5280801727005894,0.7002564899780406,0.7174130454296659,0.6448980655729752
6,10,0.5133529149258731,0.6871654293590107,0.6953425826239366,0.5974541454127149
7,2,0.38967805000607203,0.5571428571428572,0.5571428571428572,0.6790726817042606
7,3,0.43715487622633786,0.6282389798024474,0.6571278686913362,0.679076669534744
7,4,0.5460465263698848,0.5818555247758147,0.645424726642118,0.5806866260601893
7,5,0.5125059684725438,0.5955559831691297,0.621305512016719,0.5838858683706457
7,6,0.5310599759522834,0.6246451712457904,0.6164614532609889,0.5619932296116198
7,7,0.5626102825091024,0.613280133669128,0.6498464993067011,0.5915914139256372
7,8,0.5561002121862823,0.6649991816310549,0.7245379581892981,0.5944953998869519
7,9,0.5751397961414119,0.6450848694538134,0.6278418016297741,0.5075435515713267
7,10,0.5456511312555459,0.6399163798418586,0.6841135769793507,0.571844519823862
8,2,0.3444575650913116,0.56,0.56,0.700921052631579
8,3,0.5081884833561399,0.5892410126105778,0.6204648974214192,0.5964065519323671
8,4,0.4101513128967665,0.5989709205226446,0.663736144443041,0.5786061498357352
8,5,0.5238133556891944,0.5730387150519259,0.6067812952469149,0.5490507060081173
8,6,0.4420112169038156,0.6178711859251159,0.6190409628448929,0.554067689293708
8,7,0.6474348209160063,0.5584704845645908,0.591259194124214,0.49025436771218694
8,8,0.5898428889218741,0.6236482263771579,0.6959023619699668,0.503927769615278
8,9,0.4865075221851886,0.6404744281436023,0.6684826681438971,0.6095526475613104
8,10,0.6191727273092199,0.6489176542327393,0.6864988014451553,0.5748106630686183
9,2,0.39471491930580754,0.5741830065359478,0.5741830065359478,0.6625
9,3,0.405655480578677,0.549277591973244,0.596004459308807,0.6452791872051131
9,4,0.46547932750211257,0.6070421784319171,0.6590104174190661,0.5997446306271369
9,5,0.545305481290731,0.539655596885386,0.5963066486059589,0.5675618982163263
9,6,0.5494682251162601,0.6088971334971334,0.6285477240215916,0.5982335781868471
9,7,0.6084853553268842,0.6349528366474271,0.6809128603290822,0.5613255622988256
