r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.009883817463204542,0.8,0.8,0.8
1,3,0.0847651153988342,0.7,0.8,0.7764705882352941
1,4,0.08392603859595628,0.8833333333333332,0.95,0.9372549019607842
1,5,0.01842404700035142,0.99,1.0,0.9982352941176471
2,2,0.026584094533174545,0.9333333333333332,0.9333333333333332,0.9
2,3,0.014434554747137812,0.9,0.9,0.8
2,4,0.03854015931597209,0.9166666666666667,1.0,0.9920833333333334
2,5,0.0961574726732121,0.8116666666666668,0.8800000000000001,0.8554901960784314
3,2,0.04637853962913787,1.0,1.0,1.0
3,3,0.08378137738508247,0.8730158730158731,0.9714285714285715,0.9130047340573657
3,4,0.012434223708835717,0.9277777777777778,0.9333333333333332,0.7997584541062801
3,5,0.06513248932642633,0.89,0.9466666666666667,0.9593333333333334
4,2,0.03524338319139759,1.0,1.0,1.0
4,3,0.03142387502140177,0.9666666666666666,0.9666666666666666,0.9956521739130434
4,4,0.03451258031598321,0.9256410256410257,0.9567307692307694,0.893227424749164
4,5,0.02632208804217761,0.95,0.975,0.898193103448276
5,2,0.02750135101046629,0.9555555555555555,0.9555555555555555,0.9199999999999999
5,3,0.05488911819215283,0.9215384615384614,0.9712820512820514,0.9407304347826088
5,4,0.09195095011154639,0.832549019607843,0.9129411764705881,0.8327276746242264
5,5,0.09812140090974988,0.7782857142857142,0.8198095238095238,0.8229655172413792
6,2,0.04819063730466929,0.9818181818181818,0.9818181818181818,0.9666666666666666
6,3,0.06758125239685694,0.8930555555555555,0.9430555555555555,0.9440329218106995
6,4,0.050649709314130875,0.8785714285714287,0.9380952380952381,0.9121258381226054
6,5,0.06256943821718768,0.9126923076923077,0.9302564102564104,0.9129074529074529
7,2,0.04367489940836701,0.9263736263736264,0.9263736263736264,0.9236024844720496
7,3,0.05906092140847903,0.9523809523809523,0.9714285714285715,0.9801313628899836
7,4,0.09748156856019632,0.8257142857142858,0.9297142857142857,0.8918707482993197
7,5,0.09857961103392085,0.8678341013824884,0.8964055299539171,0.9394076655052264
8,2,0.03152813166580503,0.9741666666666667,0.9741666666666667,0.9739583333333333
8,3,0.04935962764560213,0.9208333333333332,0.9553030303030304,0.9118279569892473
8,4,0.05588176336273387,0.8873563218390805,0.9349137931034484,0.9247901002506266
8,5,0.07553327638817772,0.8613888888888889,0.8861111111111111,0.9156930894308942
9,2,0.0448993954101054,0.9777777777777779,0.9777777777777779,0.9879999999999999
9,3,0.05295314828725541,0.9084444444444445,0.9383703703703704,0.9389450056116722
9,4,0.06326683028642657,0.8973063973063973,0.9580808080808081,0.9118421052631579
9,5,0.06613803616109148,0.8819241192411924,0.9258536585365855,0.907402872260015
10,2,0.0354738952496315,0.9368421052631579,0.9368421052631579,0.9188000000000001
10,3,0.05297672931454045,0.9083333333333334,0.9433333333333334,0.9030274170274171
10,4,0.06283560641139105,0.8852702702702704,0.9421621621621623,0.9213054323725055
10,5,0.10225632516544891,0.833,0.884,0.968377358490566
