r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.09686515222884343,0.7,0.7,0.7941176470588236
1,3,0.1998937626053058,0.7333333333333333,0.8,0.7333333333333333
1,4,0.21067902052220364,0.9,0.95,0.9
1,5,0.08783159898325901,1.0,1.0,1.0
2,2,0.09047913627403381,0.8666666666666666,0.8666666666666666,0.8970588235294118
2,3,0.05323049982618803,0.8833333333333332,0.9,0.7991228070175438
2,4,0.2617164861625793,0.925,0.9,0.9870833333333333
2,5,0.2997314652941844,0.8116666666666668,0.8800000000000001,0.8142857142857143
3,2,0.13223108981495724,1.0,1.0,1.0
3,3,0.28541420735419887,0.8730158730158731,0.8984126984126984,0.8850737956001113
3,4,0.019001208620883975,0.9222222222222222,0.9333333333333332,0.7995169082125603
3,5,0.23840435650906425,0.9366666666666668,0.9600000000000002,0.9450666666666667
4,2,0.07667062982008396,1.0,1.0,1.0
4,3,0.10386797583131571,0.9666666666666668,0.9666666666666666,0.9818840579710144
4,4,0.09525606284369895,0.9298076923076923,0.9317307692307694,0.8889005016722408
4,5,0.07622442455166505,0.9649999999999999,0.9650000000000001,0.8993103448275862
5,2,0.08015172553008246,0.9155555555555555,0.9155555555555555,0.9180952380952381
5,3,0.13957758602941145,0.9225641025641025,0.9579487179487179,0.9170666666666666
5,4,0.2368493490155256,0.8515686274509804,0.8929411764705882,0.7974535809018569
5,5,0.24145784496546813,0.8197142857142857,0.8468571428571428,0.7488986415882968
6,2,0.1459008446558119,0.9651515151515151,0.9651515151515151,0.9651515151515152
6,3,0.1916130414740432,0.898611111111111,0.9430555555555555,0.9078189300411521
6,4,0.1328653613241658,0.9555555555555555,0.9714285714285715,0.9164750957854407
6,5,0.17993817510323978,0.8938461538461538,0.9435897435897436,0.8655746655746656
7,2,0.13752365782738324,0.9120879120879121,0.9120879120879121,0.9124223602484474
7,3,0.17498017318599138,0.9380952380952381,0.961904761904762,0.9604269293924466
7,4,0.2628868894118918,0.8087619047619048,0.8931428571428572,0.8446428571428571
7,5,0.2145262269466926,0.8678341013824886,0.9021198156682028,0.8608362369337978
8,2,0.12911989572140675,0.9241666666666667,0.9241666666666667,0.9692708333333332
8,3,0.143387497542885,0.9159090909090908,0.9371212121212121,0.8898173896922505
8,4,0.14036054123601063,0.8767241379310343,0.9099137931034484,0.8823793859649124
8,5,0.23949990508249885,0.8291666666666666,0.8761111111111111,0.835790650406504
9,2,0.13453825242229406,0.9444444444444443,0.9444444444444443,0.9751111111111112
9,3,0.16886898330231964,0.9124444444444444,0.922962962962963,0.9159009449332028
9,4,0.2284852169770238,0.8734006734006735,0.9343434343434345,0.8744686920553416
9,5,0.19763667413981584,0.8814634146341463,0.912520325203252,0.8455323759133282
10,2,0.15575282912367353,0.8742105263157894,0.8742105263157894,0.9148307692307693
10,3,0.17082596139467146,0.8976190476190476,0.9433333333333334,0.8720375180375181
10,4,0.20091180910852646,0.8769369369369369,0.8897297297297297,0.8669068736141907
10,5,0.30474336634384513,0.8160000000000001,0.8799999999999999,0.8679622641509435
