r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.38375895844317964,0.5,0.5,0.6588235294117647
1,3,0.2989800582944838,0.6166666666666667,0.5333333333333333,0.788235294117647
1,4,0.23808763006533268,0.7916666666666666,0.8,0.9186274509803921
1,5,0.27530390916995695,0.645,0.68,0.7832352941176471
1,6,0.32184863722919305,0.5999999999999999,0.6833333333333333,0.7505882352941178
1,7,0.23065495484868256,0.7761904761904763,0.8857142857142858,0.8939775910364147
1,8,0.30458180892353925,0.7625,0.925,0.8846638655462185
1,9,0.25260957364531167,0.7319444444444445,0.8111111111111111,0.8124999999999998
1,10,0.3152032698770019,0.7833333333333332,0.9299999999999999,0.8626797385620912
2,2,0.26026131971570676,0.55,0.55,0.5889705882352941
2,3,0.2206151797972647,0.65,0.6916666666666667,0.6546181630546957
2,4,0.19126023671032982,0.6841666666666666,0.7375,0.8058210784313726
2,5,0.2505006655437987,0.8474999999999999,0.9400000000000001,0.9494047619047619
2,6,0.25754285259940035,0.6611904761904762,0.7523809523809525,0.7891221033868092
2,7,0.27572708767886783,0.7178571428571429,0.8142857142857143,0.8861801242236025
2,8,0.2042251239543557,0.8645833333333333,0.9388888888888889,0.891126137955182
2,9,0.18192519020142914,0.8191666666666665,0.9299999999999999,0.8416062091503267
2,10,0.24269028227886005,0.8253030303030304,0.9459090909090909,0.8822762694821519
3,2,0.28823402669743214,0.6666666666666665,0.6666666666666665,0.8140350877192983
3,3,0.2356228520173508,0.6817460317460318,0.7000000000000001,0.7361876914508494
3,4,0.21423422773343193,0.7703703703703704,0.8722222222222223,0.8318176328502416
3,5,0.2740097267947337,0.68,0.7642424242424242,0.8491142857142858
3,6,0.21780082480227744,0.8226495726495727,0.9329059829059829,0.8739487467265243
3,7,0.26334044927182354,0.72,0.8066666666666666,0.8487315865876586
3,8,0.23229614515631192,0.7480392156862745,0.8730392156862745,0.8458269329237071
3,9,0.2419084768364092,0.8008040935672515,0.9206627680311892,0.8953569023569024
3,10,0.21191925088670066,0.8122751322751325,0.9380952380952381,0.7824985754985754
4,2,0.27465889982893404,0.6428571428571429,0.6428571428571429,0.8186513157894737
4,3,0.23769885519702627,0.6791666666666667,0.7516666666666667,0.826388888888889
4,4,0.22291464080945916,0.7482371794871794,0.8725961538461539,0.8813127090301002
4,5,0.20196756940180202,0.7934375,0.8637500000000001,0.8934413793103447
4,6,0.19860197858664128,0.8146491228070177,0.9206140350877193,0.8936998456790123
4,7,0.24290595730544248,0.7022727272727273,0.839935064935065,0.8694593009617639
4,8,0.20044220414828118,0.8260714285714286,0.8991250000000001,0.9153426661411592
4,9,0.20981178155039673,0.7041170634920635,0.8551587301587302,0.7219673872875092
4,10,0.22117952183011017,0.730125448028674,0.8470967741935483,0.8076702741702741
5,2,0.2462488569849394,0.6866666666666666,0.6866666666666666,0.8102619047619048
5,3,0.2288287647660964,0.6861538461538462,0.755897435897436,0.7843942028985506
5,4,0.1957282629832373,0.7049019607843139,0.7773529411764706,0.8118125552608311
5,5,0.25800368873519164,0.6162380952380951,0.6820952380952381,0.7763030303030303
5,6,0.21481069553580306,0.7348,0.7886666666666666,0.8427454954954955
5,7,0.20216747003760296,0.757175697865353,0.8573399014778325,0.8642339472374315
5,8,0.19694738280640706,0.7751839826839828,0.8718939393939393,0.8520618212197159
5,9,0.2231468877513331,0.7203003003003003,0.8581981981981981,0.8545068027210883
5,10,0.19711687382116122,0.7644173441734419,0.8926829268292682,0.8806025347817801
6,2,0.26283734493353583,0.5962121212121213,0.5962121212121213,0.7782287157287158
6,3,0.19072275206306938,0.7472222222222223,0.8118055555555556,0.8821028806584362
6,4,0.20009236285990079,0.6813492063492064,0.7767857142857142,0.8168088481800766
6,5,0.19629251004637363,0.7130128205128206,0.7833333333333333,0.8761418236418237
6,6,0.19875802911153487,0.7110931899641579,0.8198924731182796,0.8372315172315172
6,7,0.17865365207376255,0.7468253968253968,0.860714285714286,0.8458950091020668
6,8,0.20283257291454632,0.767065911730546,0.8798272357723578,0.8996763074888076
6,9,0.17349217654722615,0.8039553140096618,0.9201288244766506,0.8853308867406611
6,10,0.1643511786496491,0.8012745098039217,0.9022549019607842,0.8811917562724016
7,2,0.23608978848598694,0.6763736263736264,0.6763736263736264,0.8224731789949182
7,3,0.2003141026282466,0.6958646616541354,0.7436090225563909,0.838113482941069
7,4,0.18308578354840596,0.7425238095238095,0.7939999999999998,0.833655399659864
7,5,0.18142725407214283,0.7506912442396314,0.8204608294930876,0.8721381486015632
7,6,0.15568734440718465,0.8215958815958816,0.8519948519948521,0.9151044531287692
7,7,0.19450827167119028,0.738704318936877,0.8485524442335073,0.8841348582789198
7,8,0.16455975154195326,0.7902696793002916,0.8826530612244896,0.8784687391905912
7,9,0.19270242018266442,0.7566125541125541,0.8840692640692641,0.8854887753571964
7,10,0.168521918896136,0.7866224303929222,0.9052927400468385,0.9270183826976194
8,2,0.24878150059898124,0.6649999999999999,0.6649999999999999,0.7989470108695652
8,3,0.1804399836398159,0.7363636363636362,0.7738636363636363,0.8549453096032629
8,4,0.2014384710386558,0.6856321839080459,0.7872844827586207,0.8755756578947368
8,5,0.16099671665240184,0.7645833333333333,0.8574999999999999,0.8718065718157183
8,6,0.1679733376694566,0.7647189922480622,0.8468992248062015,0.8893356178396072
8,7,0.17148123445098062,0.7466904761904762,0.8426428571428571,0.8785359274826016
8,8,0.1734127141256902,0.7572407581453633,0.8856633771929824,0.8918360550113726
8,9,0.15884024053332424,0.7713541666666667,0.8725694444444446,0.8694402002107482
8,10,0.1794519398888815,0.7392742566510173,0.8347711267605635,0.8882037363067292
9,2,0.28736791458954813,0.5058823529411764,0.5058823529411764,0.763425925925926
9,3,0.1954819732435316,0.6679259259259259,0.7478518518518518,0.817101118714022
9,4,0.17710527740197893,0.7441919191919192,0.8098484848484848,0.9124072885465697
9,5,0.16202764517305146,0.7628726287262874,0.8222222222222223,0.8946135046611235
9,6,0.18597682483753408,0.6899244142101286,0.7996220710506423,0.8702756535212675
9,7,0.14948529761024779,0.7829295460874408,0.8664160401002505,0.8756426122527816
9,8,0.17139270167666915,0.7112973137973139,0.8482051282051282,0.8502179327521793
9,9,0.17085937116982974,0.765076949095214,0.8858109250803313,0.8857641042022912
9,10,0.15400592665092308,0.7837448559670781,0.8760493827160494,0.8580391697877652
10,2,0.23288687445562947,0.6034210526315791,0.6034210526315791,0.7853692307692307
10,3,0.17625672546075258,0.6957142857142857,0.7557142857142857,0.8462784992784993
10,4,0.16574527281676305,0.7478378378378379,0.8120270270270271,0.882834903917221
10,5,0.16998773539079964,0.7500652173913045,0.8093043478260868,0.908949364651521
10,6,0.17154649170212063,0.7280606060606061,0.8195454545454547,0.8615056593095642
10,7,0.17387551486554473,0.737626488095238,0.8588839285714286,0.8844266625393387
10,8,0.1722523131344104,0.7404892367906066,0.8298287671232878,0.8766702544031313
10,9,0.149729220022828,0.7738042005420055,0.8819512195121952,0.8842994289545476
10,10,0.15596994035838319,0.7611245421245422,0.9160549450549451,0.8830983464546869
