r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8,0.0,0.0,0.0
1,3,0.8,0.1,0.13333333333333333,0.0
1,4,1.0,0.1,0.15,0.0
1,5,1.0,0.24,0.16,0.0
2,2,0.9,0.0,0.0,0.0
2,3,0.8,0.03333333333333333,0.0,0.0
2,4,1.0,0.075,0.075,0.0
2,5,0.9,0.13333333333333333,0.08,0.0
3,2,1.0,0.06666666666666667,0.06666666666666667,0.0
3,3,0.9333333333333332,0.1,0.11111111111111112,0.0
3,4,0.7999999999999999,0.19629629629629627,0.1833333333333333,0.0
3,5,1.0,0.19333333333333333,0.21333333333333332,0.0
4,2,1.0,0.025,0.025,0.0
4,3,1.0,0.06666666666666667,0.03333333333333333,0.0
4,4,0.9,0.12115384615384614,0.16730769230769232,0.0
4,5,0.9,0.13,0.13999999999999999,0.0
5,2,0.9199999999999999,0.0,0.0,0.0
5,3,0.96,0.09333333333333334,0.10666666666666666,0.0
5,4,0.8799999999999999,0.0692156862745098,0.09529411764705882,0.0
5,5,0.8799999999999999,0.14971428571428574,0.1782857142857143,0.0
6,2,0.9666666666666666,0.03484848484848485,0.03484848484848485,0.0
6,3,0.9666666666666668,0.09583333333333333,0.11388888888888889,0.0
6,4,0.9333333333333333,0.09682539682539681,0.13214285714285712,0.0
6,5,0.9333333333333333,0.125,0.14153846153846153,0.0
7,2,0.9428571428571428,0.015384615384615385,0.015384615384615385,0.0
7,3,1.0,0.06666666666666667,0.07619047619047618,0.0
7,4,0.9428571428571428,0.08352380952380951,0.09542857142857143,0.0
7,5,0.9714285714285715,0.08649769585253456,0.09437788018433178,0.0
8,2,0.975,0.06333333333333332,0.06333333333333332,0.0
8,3,0.925,0.07007575757575758,0.0696969696969697,0.0
8,4,0.95,0.09073275862068966,0.09762931034482758,0.0
8,5,0.95,0.09597222222222221,0.08222222222222222,0.0
9,2,1.0,0.05555555555555556,0.05555555555555556,0.0
9,3,0.9555555555555555,0.061037037037037035,0.07644444444444445,0.0
9,4,0.9333333333333332,0.0776094276094276,0.08787878787878786,0.0
9,5,0.9333333333333332,0.08677506775067752,0.0940921409214092,0.0
10,2,0.9200000000000002,0.05210526315789473,0.05210526315789473,0.0
10,3,0.9199999999999999,0.05976190476190475,0.07047619047619047,0.0
10,4,0.9400000000000001,0.06824324324324324,0.07864864864864865,0.0
10,5,1.0,0.083,0.08,0.0
