r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.002349499749459339,1.0,1.0,1.0
1,3,0.016458991185838066,0.9,0.9333333333333332,0.9800000000000001
1,4,0.0031468408178462345,1.0,1.0,1.0
1,5,0.011539711070324716,0.99,0.96,0.9960000000000001
2,2,0.005423185938200005,1.0,1.0,1.0
2,3,0.010359610447792215,0.95,0.9666666666666668,0.9930555555555556
2,4,0.010197505369313966,1.0,1.0,1.0
2,5,0.006775984045457359,0.9800000000000001,1.0,0.9985714285714286
3,2,0.025675911879522357,1.0,1.0,1.0
3,3,0.0052128169072109855,1.0,1.0,1.0
3,4,0.010033147283365962,0.9666666666666666,0.9833333333333334,0.992361111111111
3,5,0.022569606259210576,0.9466666666666667,0.9866666666666667,0.9855555555555554
4,2,0.005432329483809903,1.0,1.0,1.0
4,3,0.01350917590424249,0.9833333333333332,1.0,0.9989583333333332
4,4,0.015529389770011046,0.9583333333333334,0.9875,0.9907894736842104
4,5,0.011154682562169156,0.9175000000000001,0.99,0.9880681818181818
5,2,0.01574601155637358,1.0,1.0,1.0
5,3,0.018202373425026966,0.9933333333333334,1.0,0.9996296296296296
5,4,0.006115616780389727,0.9666666666666666,0.99,0.9924242424242425
5,5,0.01494442125556309,0.9279999999999999,0.992,0.9736923076923079
6,2,0.010769238367076505,1.0,1.0,1.0
6,3,0.029563543381621687,0.95,0.9888888888888889,0.9930555555555556
6,4,0.013732279472987705,0.8944444444444445,0.9583333333333334,0.9846666666666668
6,5,0.01861909093360191,0.9216666666666666,0.9933333333333334,0.9888333333333333
7,2,0.009530007260429404,1.0,1.0,1.0
7,3,0.040343150810462566,0.9190476190476191,0.9619047619047618,0.9824675324675324
7,4,0.038431693697911065,0.980952380952381,0.9928571428571429,0.9979591836734695
7,5,0.0269048317613975,0.9114285714285714,0.9942857142857143,0.9826470588235294
8,2,0.014128481594117639,1.0,1.0,1.0
8,3,0.028813556779758276,1.0,1.0,1.0
8,4,0.03266503491737095,0.9770833333333332,0.99375,0.9973790322580646
8,5,0.024121267430472628,0.9262499999999999,1.0,0.9844736842105263
9,2,0.018441478356437238,1.0,1.0,1.0
9,3,0.02434229583311548,0.9740740740740741,0.9851851851851852,0.9934472934472935
9,4,0.02537730505608583,0.9574074074074073,0.9833333333333334,0.993681917211329
9,5,0.042237948713392245,0.9144444444444444,1.0,0.9883333333333333
10,2,0.015308764714599705,1.0,1.0,1.0
10,3,0.027913577278808326,0.9766666666666666,1.0,0.9940476190476192
10,4,0.03502189475465837,0.9650000000000001,0.985,0.9960810810810811
10,5,0.036045153274263,0.9129999999999999,0.9960000000000001,0.9855434782608695
