r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0032408094204337433,1.0,1.0,1.0
1,3,0.0005694603782963493,1.0,1.0,1.0
1,4,0.0014119903608222314,1.0,1.0,1.0
1,5,0.009284910810276215,1.0,1.0,1.0
2,2,0.008716590485651621,1.0,1.0,1.0
2,3,0.0025558343148874728,1.0,1.0,1.0
2,4,0.010859786711900878,1.0,1.0,1.0
2,5,0.0037703918142008366,1.0,1.0,1.0
3,2,0.13824092322506842,1.0,1.0,1.0
3,3,0.006748175853321414,1.0,1.0,1.0
3,4,0.020393013905387364,1.0,1.0,1.0
3,5,0.17605982041473323,0.9666666666666668,0.9866666666666667,0.9842592592592592
4,2,0.010667630063842859,1.0,1.0,1.0
4,3,0.00796448259015446,1.0,1.0,1.0
4,4,0.11374792790843984,0.9875,1.0,0.9993421052631579
4,5,0.038800065978334505,1.0,1.0,1.0
5,2,0.08502038378493851,0.9800000000000001,0.9800000000000001,0.9971428571428571
5,3,0.1055930160435025,0.9666666666666666,0.9733333333333334,0.9725925925925927
5,4,0.021574012126882848,1.0,1.0,1.0
5,5,0.0526095594482741,0.994,1.0,0.9988461538461539
6,2,0.07054771173555,0.9833333333333332,0.9833333333333332,0.9977777777777778
6,3,0.16905965339615464,0.888888888888889,0.9,0.8975
6,4,0.07886014458374331,0.9388888888888889,0.9583333333333333,0.9505555555555556
6,5,0.19304929655638187,0.8766666666666666,0.8866666666666667,0.9022777777777777
7,2,0.07717160513768455,0.9857142857142858,0.9857142857142858,0.9991071428571429
7,3,0.28562614262479524,0.8476190476190476,0.8666666666666666,0.8536796536796537
7,4,0.2685604458931347,0.8428571428571429,0.85,0.846938775510204
7,5,0.23869632991289874,0.8914285714285715,0.8971428571428571,0.8961344537815126
8,2,0.12417674899913138,0.95,0.95,0.9544117647058823
8,3,0.2682728428944188,0.8333333333333334,0.8416666666666666,0.8354166666666666
8,4,0.3258246111380743,0.8125,0.83125,0.8124327956989248
8,5,0.24003358708983633,0.8887499999999999,0.8949999999999999,0.898421052631579
9,2,0.15011495609422013,0.9333333333333333,0.9333333333333333,0.9580246913580247
9,3,0.26136886279460086,0.8666666666666666,0.8666666666666666,0.8666666666666666
9,4,0.32090325046833224,0.8703703703703702,0.8777777777777777,0.8703703703703702
9,5,0.4144184625365573,0.7688888888888888,0.7733333333333332,0.7761111111111111
10,2,0.1500578883956128,0.89,0.89,0.8989473684210527
10,3,0.30013671012439713,0.8400000000000001,0.8400000000000001,0.8400000000000001
10,4,0.3764111265872287,0.8,0.8,0.8
10,5,0.38548899682457893,0.8130000000000001,0.836,0.8315869565217391
