r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.31613769044823914,0.8,0.8,0.97
1,3,0.2557025985221253,1.0,1.0,1.0
1,4,0.3815620058467651,0.8833333333333332,0.8,0.9666666666666668
1,5,0.35246268799522845,0.9,0.8,0.9650000000000001
2,2,0.32082818143444997,0.9,0.9,0.990909090909091
2,3,0.4061844758763102,0.85,0.8,0.9583333333333333
2,4,0.3389380827319295,1.0,1.0,1.0
2,5,0.4380206152653878,0.8800000000000001,0.82,0.9571428571428571
3,2,0.38452171778629995,0.8666666666666666,0.8666666666666666,0.986111111111111
3,3,0.3886399608232354,0.9666666666666668,0.9333333333333332,0.9952380952380953
3,4,0.41048556179370443,0.9777777777777779,0.9333333333333332,0.9958333333333332
3,5,0.5129821805090121,0.95,0.9333333333333332,0.9905555555555555
4,2,0.2948114246325394,0.95,0.95,0.9923076923076923
4,3,0.3997104179961434,0.925,0.9,0.9848958333333334
4,4,0.4844406310188501,0.9125,0.9,0.9837719298245613
4,5,0.4564632226640378,0.9949999999999999,0.99,0.9993181818181818
5,2,0.38727140403203686,0.9199999999999999,0.9199999999999999,0.9871428571428572
5,3,0.4125949249893631,0.9400000000000001,0.9199999999999999,0.9903703703703703
5,4,0.4517689675723603,0.9233333333333332,0.9199999999999999,0.985909090909091
5,5,0.4784343110156414,0.99,0.984,0.9991538461538461
6,2,0.39112937073360293,0.9333333333333333,0.9333333333333333,0.99
6,3,0.5076769617236252,0.9666666666666666,0.9666666666666666,0.9955555555555555
6,4,0.49008945938392284,0.9916666666666668,0.9916666666666668,0.9993333333333332
6,5,0.5856037640813042,0.9416666666666668,0.9533333333333334,0.9943333333333333
7,2,0.4107811273816263,0.9142857142857143,0.9142857142857143,0.9901785714285716
7,3,0.5834096661979744,0.9428571428571428,0.9428571428571428,0.9917748917748919
7,4,0.5709257231791864,0.9666666666666666,0.9571428571428571,0.9967687074829932
7,5,0.6292588401339384,0.9557142857142857,0.9714285714285713,0.9949999999999999
8,2,0.44076232618184674,0.9,0.9,0.9933823529411765
8,3,0.5649263623881182,0.925,0.9166666666666666,0.9925347222222223
8,4,0.6304989598693418,0.975,0.96875,0.997983870967742
8,5,0.6111876571714344,0.95875,0.9650000000000001,0.9965460526315789
9,2,0.45079614438629123,0.9333333333333332,0.9333333333333332,0.9925925925925926
9,3,0.541917101743115,0.9666666666666668,0.9703703703703704,0.9975783475783476
9,4,0.6391903975175597,0.9888888888888889,1.0,0.9994008714596951
9,5,0.6952728364565528,0.9666666666666668,0.9733333333333333,0.9975661375661374
10,2,0.46178929845997824,0.9400000000000001,0.9400000000000001,0.9952631578947368
10,3,0.5509409499447779,0.9933333333333334,1.0,0.9995238095238095
10,4,0.6658256588121148,0.9933333333333334,0.9949999999999999,0.9995945945945947
10,5,0.715391591287361,0.95,0.9480000000000001,0.9959565217391306
