r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.36683455760402456,0.9,0.9,0.985
1,3,0.3382597724620777,1.0,1.0,1.0
1,4,0.39099375767202527,0.9583333333333333,0.9,0.9875
1,5,0.38600829618861493,0.975,0.9400000000000001,0.9905000000000002
1,6,0.4260674846300191,0.9633333333333333,0.9166666666666667,0.984
1,7,0.43326082361617013,0.9785714285714284,0.9428571428571428,0.99
1,8,0.4341667788123612,0.9767857142857143,0.9375,0.9869642857142857
1,9,0.43881171113848116,0.976388888888889,0.9,0.9818055555555555
1,10,0.3812340537071103,1.0,1.0,1.0
2,2,0.37208723518230374,0.95,0.95,0.9954545454545455
2,3,0.3851145437092435,0.9583333333333334,0.9333333333333333,0.99375
2,4,0.48054935670075993,0.9625,0.9125,0.9916666666666668
2,5,0.5271711657222597,0.9775,0.96,0.9948214285714286
2,6,0.49635210618440206,0.9516666666666665,0.925,0.9815555555555555
2,7,0.443750950730246,0.9892857142857142,0.9785714285714284,0.996875
2,8,0.45307220825182365,0.9901785714285716,0.9875,0.9967962184873951
2,9,0.4418276082321021,1.0,1.0,1.0
2,10,0.5098168746898774,0.9633333333333333,0.8850000000000001,0.9828362573099415
3,2,0.41429840674288104,0.9,0.9,0.9875
3,3,0.46707852974573943,0.8944444444444445,0.8666666666666666,0.9742063492063492
3,4,0.46103691210824704,0.9416666666666667,0.9166666666666666,0.9887152777777779
3,5,0.5253740596013066,0.9666666666666666,0.9466666666666667,0.9932407407407406
3,6,0.5484021760425464,0.9566666666666667,0.9277777777777778,0.9887777777777776
3,7,0.5096098174302295,0.9952380952380953,1.0,0.9992784992784992
3,8,0.538976594322185,0.993452380952381,0.9666666666666668,0.9983630952380953
3,9,0.6008333535092903,0.9435185185185185,0.8814814814814815,0.9822293447293446
3,10,0.49094352896274707,0.9992592592592592,1.0,0.9998412698412699
4,2,0.4528329571741988,0.8875,0.8875,0.9884615384615383
4,3,0.49336944627407775,0.9541666666666668,0.925,0.9940104166666668
4,4,0.45481114008050216,0.9645833333333332,0.93125,0.9948464912280702
4,5,0.5086867972815035,0.985,0.97,0.9972727272727273
4,6,0.592261782180239,0.9433333333333334,0.9083333333333334,0.9892
4,7,0.5658339783390477,0.9690476190476189,0.9392857142857143,0.9941751700680272
4,8,0.5421343162773775,0.9486607142857142,0.9125,0.987572004608295
4,9,0.5724167057265479,0.9899305555555555,0.9694444444444444,0.9982434640522875
4,10,0.6236330614292462,0.9741666666666667,0.9550000000000001,0.9915090090090091
5,2,0.4544103845118671,0.95,0.95,0.9957142857142858
5,3,0.4796700398029178,0.99,0.9866666666666667,0.999074074074074
5,4,0.550574117779398,0.9800000000000001,0.9800000000000001,0.9973484848484848
5,5,0.5794551937446177,0.982,0.968,0.9970000000000001
5,6,0.5731987260860409,0.9913333333333334,1.0,0.9993777777777778
5,7,0.5971529762323808,0.9714285714285713,0.9142857142857143,0.9960084033613444
5,8,0.6295860401419427,0.9796428571428573,0.9525,0.9973966165413533
5,9,0.6347709578839711,0.9866666666666667,0.9733333333333334,0.9982407407407408
5,10,0.7140977474581354,0.9364444444444444,0.9099999999999999,0.9888212560386476
6,2,0.47005559986830486,0.9666666666666668,0.9666666666666668,0.9977777777777778
6,3,0.5156506148692788,0.9638888888888889,0.95,0.9955555555555555
6,4,0.5430394378108729,0.9736111111111111,0.9666666666666668,0.9971666666666665
6,5,0.5989939757639751,0.9641666666666667,0.9633333333333333,0.9939444444444445
6,6,0.6579136556202655,0.982777777777778,0.9527777777777778,0.9982380952380954
6,7,0.6308377816464281,0.9626984126984126,0.9666666666666668,0.9954662698412697
6,8,0.6439772057645283,0.9636904761904763,0.9791666666666666,0.9954894179894179
6,9,0.6326152423022363,0.9807870370370371,0.9925925925925926,0.9978611111111111
6,10,0.7030582647490399,0.9474074074074075,0.9466666666666667,0.9787003367003368
7,2,0.46454173941113935,0.9214285714285714,0.9214285714285714,0.9919642857142857
7,3,0.48473220027050107,0.9785714285714286,0.9666666666666666,0.9981601731601731
7,4,0.598699297179353,0.9833333333333334,0.9714285714285713,0.9984268707482993
7,5,0.6511415755165696,0.9764285714285716,0.9742857142857144,0.9980882352941176
7,6,0.6825189207601492,0.9828571428571429,0.9833333333333332,0.9985119047619048
7,7,0.7012011539437129,0.9704081632653063,0.9673469387755101,0.9971679976338359
7,8,0.7231167267529434,0.9612244897959183,0.9803571428571429,0.9872792386185244
7,9,0.7392818904297763,0.9450396825396824,0.9634920634920636,0.9858203338806787
7,10,0.7253888055155456,0.9344444444444445,0.9485714285714286,0.9739558531746031
8,2,0.5017663115647227,0.975,0.975,0.9985294117647058
8,3,0.5191592120465989,0.9416666666666668,0.9375,0.9944444444444445
8,4,0.6173483529594291,0.9833333333333332,0.975,0.9987231182795699
8,5,0.6277110696704609,0.975,0.975,0.9983223684210525
