r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2678759607710655,1.0,1.0,1.0
1,3,0.23708305569007576,1.0,1.0,1.0
1,4,0.3155258377338333,0.9833333333333332,0.95,0.9949999999999999
1,5,0.24840193095084354,1.0,1.0,1.0
2,2,0.22469645227143972,1.0,1.0,1.0
2,3,0.2829594207721579,1.0,1.0,1.0
2,4,0.25344745950992786,0.9833333333333332,0.95,0.9961538461538462
2,5,0.2662845746249808,0.9949999999999999,0.9800000000000001,0.9985714285714286
3,2,0.33271818664335295,0.8333333333333334,0.8333333333333334,0.8916666666666668
3,3,0.24053105124844568,0.9888888888888889,0.9777777777777779,0.9984126984126984
3,4,0.2309020132686217,0.9777777777777779,1.0,0.9965277777777779
3,5,0.2607319164261599,0.8633333333333333,0.8533333333333333,0.9222222222222222
4,2,0.20433032982701516,0.975,0.975,0.998076923076923
4,3,0.23457744930297625,0.9833333333333334,0.9833333333333334,0.9984375
4,4,0.28434255822395765,0.8625,0.825,0.9219298245614036
4,5,0.2391282516991534,0.9775,0.9199999999999999,0.9960227272727273
5,2,0.2532147163773142,0.8800000000000001,0.8800000000000001,0.9371428571428572
5,3,0.24089069289081094,0.9066666666666666,0.9199999999999999,0.9562962962962962
5,4,0.2303196897161265,0.9399999999999998,0.89,0.9915151515151516
5,5,0.2347071349523889,0.984,0.9359999999999999,0.9975384615384616
6,2,0.2657612271638398,0.9333333333333332,0.9333333333333332,0.9488888888888889
6,3,0.24892420047335073,0.8444444444444443,0.8444444444444443,0.9441666666666666
6,4,0.2732106316484707,0.8944444444444445,0.8166666666666668,0.9625555555555557
6,5,0.2837141426913541,0.8550000000000001,0.8133333333333332,0.9273333333333333
7,2,0.22200475188094448,0.9,0.9,0.9526785714285715
7,3,0.268854225314906,0.7238095238095238,0.7047619047619047,0.8963203463203463
7,4,0.27228393915996973,0.8047619047619049,0.7785714285714286,0.9139455782312925
7,5,0.2549238142674143,0.8671428571428571,0.8342857142857143,0.949453781512605
8,2,0.22828894340054476,0.8875,0.8875,0.9397058823529413
8,3,0.2753468960233661,0.7666666666666667,0.75,0.9076388888888889
8,4,0.2841216251031083,0.7812500000000001,0.75,0.9059139784946237
8,5,0.2563481495590826,0.8825000000000001,0.8550000000000001,0.9505263157894737
9,2,0.26415091016778663,0.8222222222222222,0.8222222222222222,0.9074074074074074
9,3,0.24777388412373513,0.8481481481481481,0.8444444444444444,0.9397435897435897
9,4,0.23561832986334283,0.8425925925925926,0.8055555555555556,0.9474400871459695
9,5,0.2973546008424242,0.7533333333333333,0.72,0.8875661375661374
10,2,0.2302096947422443,0.8300000000000001,0.8300000000000001,0.9410526315789474
10,3,0.2564462945468543,0.8166666666666667,0.8066666666666666,0.9238095238095239
10,4,0.2680296485172038,0.7850000000000001,0.76,0.907972972972973
10,5,0.30683371520564695,0.764,0.8,0.8721304347826088
