r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.11371937431508335,0.9,0.9,0.9
1,3,0.018526943993990946,1.0,1.0,1.0
1,4,0.09149299290322421,0.9,0.9,0.9525
1,5,0.08223284646495505,0.915,0.9,0.9570000000000001
1,6,0.08385687849153577,0.93,0.9,0.9629999999999999
1,7,0.08849298640732142,0.9523809523809523,0.9,0.9697619047619048
1,8,0.08305839967493608,0.9571428571428571,0.9,0.9692857142857143
1,9,0.07149537052576553,0.9694444444444444,0.9,0.9758333333333333
1,10,0.020076969470447976,1.0,1.0,1.0
2,2,0.06811829013735177,0.95,0.95,0.95
2,3,0.09552247699053171,0.9,0.9,0.9368055555555556
2,4,0.16376707623887127,0.8291666666666668,0.85,0.9416666666666667
2,5,0.15143443817929167,0.845,0.8099999999999999,0.9292857142857143
2,6,0.08868035535479439,0.9133333333333333,0.9,0.9586666666666666
2,7,0.07529678617390737,0.9738095238095237,0.95,0.9891369047619047
2,8,0.07630509832486304,0.9705357142857143,0.95,0.9863970588235293
2,9,0.031637848981078444,1.0,1.0,1.0
2,10,0.11535460654092719,0.9377777777777778,0.86,0.9631286549707602
3,2,0.16315942036772707,0.8333333333333333,0.8333333333333333,0.8777777777777779
3,3,0.12517018260885096,0.8666666666666666,0.8666666666666666,0.8873015873015874
3,4,0.10065011092084145,0.9,0.9,0.9401041666666666
3,5,0.13701545379834154,0.8666666666666668,0.8600000000000001,0.9443518518518518
3,6,0.1410687164350824,0.8477777777777777,0.8333333333333334,0.9395555555555557
3,7,0.1030138959156474,0.9388888888888889,0.938095238095238,0.9774891774891776
3,8,0.09064078932898982,0.9541666666666668,0.9333333333333332,0.9811755952380953
3,9,0.11939574535884145,0.9208333333333334,0.8666666666666666,0.9681801994301994
3,10,0.08862580723246176,0.9762962962962962,0.97,0.9897089947089948
4,2,0.1924357793430872,0.825,0.825,0.8634615384615385
4,3,0.14290934578988362,0.8583333333333332,0.875,0.92109375
4,4,0.10898684684039803,0.9,0.9,0.9288377192982455
4,5,0.08333228278314886,0.95375,0.95,0.9774431818181817
4,6,0.18933522983471834,0.8150000000000001,0.8166666666666668,0.9247666666666667
4,7,0.13511344223583197,0.9148809523809524,0.8964285714285716,0.9654761904761905
4,8,0.12144207956128832,0.9026785714285716,0.9,0.9660426267281107
4,9,0.13913554945906456,0.9052083333333334,0.875,0.9620506535947714
4,10,0.1187548160882961,0.9502777777777778,0.9275,0.9809909909909911
5,2,0.12805421704147085,0.8699999999999999,0.8699999999999999,0.9271428571428573
5,3,0.06937351579693027,0.9566666666666667,0.96,0.9792592592592593
5,4,0.1826397232324725,0.8516666666666666,0.86,0.9518181818181819
5,5,0.1547995386414379,0.853,0.8320000000000001,0.955076923076923
5,6,0.10587331472331249,0.9226666666666666,0.93,0.9672222222222222
5,7,0.1639372785080407,0.8752380952380951,0.8799999999999999,0.9520868347338934
5,8,0.17445475042597103,0.8700000000000001,0.8325000000000001,0.9531860902255639
5,9,0.15283871247999162,0.9091666666666667,0.9066666666666666,0.9670767195767194
5,10,0.19472078908264373,0.8024444444444445,0.748,0.9327391304347827
6,2,0.19586166028279273,0.775,0.775,0.8961111111111111
6,3,0.14083917880538271,0.8666666666666666,0.861111111111111,0.9358333333333333
6,4,0.10427706921432031,0.9166666666666666,0.9166666666666666,0.948388888888889
6,5,0.1518607149540429,0.8658333333333333,0.86,0.9490833333333335
6,6,0.19404491404443652,0.8327777777777777,0.8583333333333334,0.9428095238095239
6,7,0.16585150020401734,0.8619047619047617,0.8476190476190475,0.942172619047619
6,8,0.16146721236178102,0.8702380952380953,0.8520833333333332,0.9502777777777777
6,9,0.14118344995961485,0.8775462962962963,0.874074074074074,0.9500555555555555
6,10,0.17205942714475442,0.8537037037037036,0.85,0.9511515151515152
7,2,0.20974429331215574,0.7857142857142856,0.7857142857142856,0.840625
7,3,0.10809375602420743,0.9071428571428571,0.9047619047619048,0.9463203463203463
7,4,0.16884520244736362,0.8214285714285714,0.8107142857142856,0.9276360544217687
7,5,0.17157189436053172,0.8207142857142855,0.8285714285714285,0.9206722689075629
7,6,0.10257824386681144,0.9204761904761904,0.9285714285714285,0.9775119047619046
7,7,0.1743903140818384,0.8629251700680273,0.8816326530612244,0.9473528541851524
7,8,0.16848544972919416,0.863265306122449,0.8803571428571427,0.939859693877551
7,9,0.16517940738080067,0.8476190476190476,0.8365079365079364,0.9495313355227151
7,10,0.15345941864434914,0.8592063492063492,0.8742857142857142,0.9478918650793651
8,2,0.1998940629781157,0.78125,0.78125,0.9069852941176471
8,3,0.14506031535076053,0.8645833333333334,0.8625,0.9171875000000002
