r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.48336249916320495,0.0,0.0,0.37
1,3,0.3549024111181799,0.0,0.0,0.4688888888888888
1,4,0.488922294719745,0.0,0.0,0.43166666666666675
1,5,0.4743773131716361,0.045,0.0,0.45599999999999996
1,6,0.4409997284455126,0.19333333333333333,0.18333333333333335,0.5615555555555557
1,7,0.4778008065702938,0.3123015873015873,0.34285714285714286,0.583873015873016
1,8,0.5162301568256986,0.375,0.325,0.5854603174603175
1,9,0.3943745757380136,0.6777777777777778,0.6222222222222222,0.8065740740740738
1,10,0.49119777818492194,0.5637037037037038,0.53,0.6952592592592591
2,2,0.38590203339131623,0.0,0.0,0.440625
2,3,0.39362424551624525,0.04166666666666667,0.05,0.5416666666666667
2,4,0.4113227255755218,0.0375,0.05,0.5599537037037038
2,5,0.504682815310945,0.07,0.04,0.5130263157894736
2,6,0.3484223652598618,0.24833333333333335,0.20833333333333334,0.6824166666666667
2,7,0.5216128067492432,0.2510989010989011,0.20714285714285713,0.6014682539682539
2,8,0.44606411538406776,0.4035714285714286,0.2875,0.6818587662337661
2,9,0.4313632926458911,0.5413888888888889,0.5066666666666666,0.7362349033816428
2,10,0.43392659544384415,0.6104166666666667,0.5675000000000001,0.7584398148148148
3,2,0.40390844438937795,0.0,0.0,0.43431372549019603
3,3,0.42664397626873274,0.0,0.0,0.49385964912280694
3,4,0.3875732871299014,0.12777777777777777,0.075,0.647089947089947
3,5,0.3843310090124708,0.20833333333333334,0.18666666666666665,0.675
3,6,0.3567716837652829,0.24555555555555553,0.17222222222222225,0.6773333333333333
3,7,0.4189098613441445,0.28253968253968254,0.30952380952380953,0.6893298059964726
3,8,0.36973730121789783,0.48847402597402595,0.5401515151515152,0.772426716535912
3,9,0.32264138556048927,0.6310185185185185,0.6759259259259259,0.8334280593958013
3,10,0.38433946722619633,0.5787749287749289,0.5302564102564102,0.81311815472735
4,2,0.3730536729442404,0.0,0.0,0.5000000000000001
4,3,0.3745010691259554,0.0,0.0,0.5880952380952381
4,4,0.325483014941666,0.075,0.0125,0.6719618055555556
4,5,0.36991567370209183,0.28874999999999995,0.16999999999999998,0.715138888888889
4,6,0.36076527346214593,0.32166666666666666,0.28750000000000003,0.7211944444444445
4,7,0.3230654701286645,0.3990299823633157,0.4142857142857143,0.7755294011544012
4,8,0.3624599265622942,0.45607142857142857,0.43916666666666665,0.7890347805788981
4,9,0.3993106568925532,0.45315656565656565,0.40479797979797977,0.754386870845204
4,10,0.39884757356650014,0.518425925925926,0.5569444444444445,0.765987886382623
5,2,0.3751370381080573,0.0,0.0,0.47736842105263155
5,3,0.4049280730341195,0.01,0.0,0.5710144927536231
5,4,0.34658861849061834,0.145,0.11499999999999999,0.6925925925925925
5,5,0.36727156996182453,0.23900000000000002,0.18000000000000002,0.7162903225806451
5,6,0.32747557275501216,0.3473333333333334,0.30999999999999994,0.7607619047619049
5,7,0.33315616482603316,0.47823529411764704,0.516890756302521,0.7822078272604588
5,8,0.470589324897429,0.34186090225563914,0.3261842105263158,0.7087858898522541
5,9,0.370444082019971,0.5279563492063493,0.5007936507936508,0.7983775252525254
5,10,0.42971052235978924,0.46812560386473434,0.5008695652173912,0.7842705233393594
6,2,0.3515618724291374,0.0,0.0,0.4862499999999999
6,3,0.31532204388887153,0.05277777777777778,0.03888888888888888,0.609
6,4,0.37541306467531016,0.13611111111111113,0.08333333333333333,0.673611111111111
6,5,0.34718217745724844,0.2533333333333333,0.1933333333333333,0.752357142857143
6,6,0.3953101747674329,0.26611111111111113,0.24722222222222218,0.7129305555555556
6,7,0.3796377998776487,0.3442411924119241,0.3025551684088269,0.7361989738656405
6,8,0.3441795706744726,0.4663690476190476,0.4654891304347826,0.7955973710317459
6,9,0.36121160445328526,0.4600898692810458,0.4916122004357299,0.7744704577829578
6,10,0.32400041906071964,0.5393518518518519,0.6228571428571428,0.8023549382716052
7,2,0.3469694751482067,0.02857142857142857,0.02857142857142857,0.563265306122449
7,3,0.32276985327506613,0.07857142857142856,0.06190476190476191,0.6590828924162258
7,4,0.3538964631382534,0.10595238095238094,0.08928571428571427,0.6784271284271284
7,5,0.30358300906735314,0.3642857142857143,0.27714285714285714,0.7820695970695972
7,6,0.38865990566784464,0.2571428571428572,0.21666666666666665,0.719968253968254
7,7,0.3452519413936671,0.3858560090702947,0.3565051020408163,0.7768807523009204
7,8,0.42269694409412484,0.36401171579743014,0.3625661375661376,0.7261599073441177
7,9,0.35457210194991257,0.4921924603174602,0.4825396825396825,0.8062729906777524
7,10,0.4244778996115171,0.4334487734487735,0.44844155844155836,0.7341276919537785
8,2,0.3696467500858577,0.01875,0.01875,0.5247159090909091
8,3,0.34518745360873415,0.10625,0.058333333333333334,0.6872844827586209
8,4,0.33564189490540647,0.19374999999999998,0.14375,0.7304687499999999
8,5,0.34423129200258407,0.27187500000000003,0.20750000000000002,0.7315843023255814
8,6,0.397362919979352,0.2733333333333333,0.23333333333333334,0.7080166666666667
8,7,0.3469497306376293,0.3528463203463203,0.3192207792207792,0.749579808897243
8,8,0.3762258346620237,0.43147321428571433,0.4131048387096774,0.7668158587149578
8,9,0.39502895733938476,0.4464296497584542,0.42663043478260876,0.7489627778928473
8,10,0.401284093355188,0.4457090643274853,0.42835526315789474,0.7672933510433508
9,2,0.32854745586340706,0.05555555555555556,0.05555555555555556,0.5695652173913043
9,3,0.31490194413644457,0.09074074074074073,0.08148148148148149,0.6376941457586619
9,4,0.3002736946111905,0.19444444444444445,0.1222222222222222,0.7382003798670466
9,5,0.29450553969244464,0.3466666666666667,0.2688888888888889,0.7701063829787236
9,6,0.34134887418895976,0.3162962962962963,0.2777777777777778,0.7402356902356901
9,7,0.36620285765530525,0.3618663594470047,0.32895545314900154,0.7312396069538927
9,8,0.3864131622055736,0.4205045351473924,0.38702380952380944,0.755456863564641
9,9,0.3713084036337809,0.45890906932573594,0.4210826210826212,0.7477144609355082
9,10,0.4142261947334992,0.3749038185472293,0.34165374677002586,0.7187683898642676
10,2,0.308786234099037,0.05,0.05,0.5864583333333333
10,3,0.32161301755474214,0.11166666666666666,0.09333333333333332,0.6606565656565657
10,4,0.31662610546589043,0.2225,0.205,0.7527976190476191
10,5,0.35745827118388485,0.284,0.22599999999999998,0.7255
10,6,0.3180720342206901,0.41899999999999993,0.37333333333333335,0.7942055555555555
10,7,0.3429061646123927,0.3845721187025535,0.319648033126294,0.7580863475825111
10,8,0.35576913751635186,0.4195192307692307,0.3450320512820513,0.7661265704324913
10,9,0.3434685390185682,0.48325191570881215,0.424367816091954,0.7822712324393359
10,10,0.39198189918458193,0.44796296296296295,0.4533333333333333,0.7429129931561997
