r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.013023547343592304,0.7,0.7,0.96
1,3,0.03323769320313232,0.8333333333333333,0.9333333333333332,0.9666666666666668
1,4,0.08154971925467253,0.8166666666666667,0.9,0.9199999999999999
1,5,0.039007908054268826,0.72,0.96,0.9286666666666668
2,2,0.07146950486493396,0.55,0.55,0.884375
2,3,0.052938899763368207,0.7499999999999999,0.8,0.9323529411764706
2,4,0.054197069234411,0.7333333333333333,0.85,0.9328703703703705
2,5,0.055273030528046684,0.755,0.86,0.9294736842105265
3,2,0.06919406472031879,0.7333333333333334,0.7333333333333334,0.9235294117647058
3,3,0.06941395049829899,0.7666666666666667,0.8666666666666666,0.9362573099415205
3,4,0.051301928601637695,0.5777777777777777,0.8166666666666667,0.9111111111111111
3,5,0.03815256637031369,0.7999999999999999,0.9466666666666669,0.9594202898550723
4,2,0.11075288511298478,0.65,0.65,0.9388888888888889
4,3,0.04926042397404481,0.7416666666666667,0.8166666666666667,0.9531746031746031
4,4,0.1224914167295815,0.7666666666666666,0.85,0.9458333333333332
4,5,0.07075506470708527,0.6925,0.85,0.9287962962962963
5,2,0.06596583377071474,0.62,0.62,0.9357894736842105
5,3,0.07048899192154176,0.6733333333333333,0.7333333333333333,0.9156521739130434
5,4,0.09715685208626759,0.61,0.74,0.8919753086419753
5,5,0.09604392986462557,0.6920000000000001,0.8880000000000001,0.9129032258064516
6,2,0.09388634750436493,0.6333333333333333,0.6333333333333333,0.9375
6,3,0.14655073679064254,0.7,0.7666666666666667,0.9248888888888889
6,4,0.13035028622651973,0.5916666666666666,0.7583333333333333,0.896574074074074
6,5,0.12319812416194317,0.6533333333333333,0.78,0.8957619047619048
7,2,0.10236031245439974,0.5,0.5,0.9047619047619048
7,3,0.11314687758026057,0.6523809523809524,0.7142857142857142,0.9211640211640212
7,4,0.10313365066289004,0.6976190476190476,0.7928571428571429,0.9295815295815295
7,5,0.1330891667528477,0.6214285714285713,0.7142857142857143,0.8911721611721612
8,2,0.08620738760030133,0.5375,0.5375,0.909090909090909
8,3,0.10488719014966359,0.55,0.6499999999999999,0.8912356321839081
8,4,0.17551765439717293,0.60625,0.70625,0.9182291666666667
8,5,0.13424695051303875,0.56125,0.6799999999999999,0.8751162790697673
9,2,0.08313169416715138,0.5444444444444445,0.5444444444444445,0.9091787439613526
9,3,0.10347311853449377,0.6370370370370371,0.7407407407407407,0.940621266427718
9,4,0.17771573448799033,0.562962962962963,0.711111111111111,0.9112060778727447
9,5,0.26927800839578125,0.59,0.7022222222222221,0.8964539007092199
10,2,0.0978643788196995,0.61,0.61,0.9225
10,3,0.1263505702889215,0.5866666666666667,0.6533333333333333,0.9085858585858586
10,4,0.18091405547239764,0.61,0.725,0.9183333333333333
10,5,0.24140923569423767,0.5609999999999999,0.596,0.9098627450980393
