r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.025407593215554424,0.75,0.75,0.9700000000000001
1,3,0.03617381060283737,0.9166666666666667,0.8666666666666668,0.9866666666666667
1,4,0.06962691963972392,0.825,0.9,0.9666666666666668
1,5,0.048094293134209314,0.8150000000000001,0.9,0.958
1,6,0.03196067583639137,0.9033333333333333,0.95,0.9815555555555555
1,7,0.07706823350385363,0.8702380952380953,0.8928571428571429,0.9546349206349205
1,8,0.07353203882614749,0.8541666666666666,0.9,0.9503492063492063
1,9,0.058874024160361235,0.9722222222222221,0.9888888888888889,0.9902777777777777
1,10,0.09960539209389468,0.8677777777777778,0.9,0.9454074074074071
2,2,0.0409344639061578,0.775,0.775,0.9796875
2,3,0.04664585824742199,0.8166666666666667,0.8166666666666667,0.9769607843137255
2,4,0.08081861269670673,0.9,0.925,0.9824074074074073
2,5,0.04543133971967405,0.7275,0.79,0.9355263157894737
2,6,0.07171429933798876,0.9016666666666667,0.9333333333333332,0.9819166666666665
2,7,0.08306748136010457,0.8145604395604398,0.9164835164835166,0.9310005668934238
2,8,0.16503995652063694,0.8785714285714287,0.91875,0.9645698051948048
2,9,0.13318801542787806,0.8769444444444445,0.9133333333333333,0.9465957125603864
2,10,0.1426056198839944,0.837777777777778,0.875,0.9354537037037035
3,2,0.03620548574031628,0.8333333333333334,0.8333333333333334,0.9862745098039216
3,3,0.04792526202510477,0.8111111111111111,0.8333333333333334,0.9769005847953215
3,4,0.12353816645798732,0.8027777777777777,0.8166666666666667,0.9497354497354497
3,5,0.1022399554571802,0.8383333333333333,0.8399999999999999,0.9630434782608696
3,6,0.2264283851315399,0.8577777777777778,0.85,0.9568444444444444
3,7,0.12041962190428912,0.8603174603174605,0.9380952380952381,0.9659905937683716
3,8,0.21265987470045866,0.8439935064935066,0.915151515151515,0.954006720184881
3,9,0.1755220234822334,0.8836805555555556,0.9115740740740741,0.9609013910223588
3,10,0.1823309078098933,0.8668091168091168,0.8587179487179487,0.9473938619915628
4,2,0.06781071812729675,0.725,0.725,0.9694444444444444
4,3,0.06311792913131772,0.8125,0.825,0.9732142857142858
4,4,0.20667834007436992,0.8666666666666666,0.88125,0.9817708333333334
4,5,0.15975234707184977,0.7662500000000001,0.8,0.9516203703703703
4,6,0.15910370686555303,0.7891666666666667,0.8208333333333332,0.9463888888888888
