r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8828589721105174,0.6,0.6,0.9533333333333334
1,3,0.7250707228554484,0.9333333333333332,1.0,0.9888888888888889
1,4,0.849826001551017,0.7,0.8,0.7033333333333334
1,5,0.9068385138146111,0.75,0.9199999999999999,0.7766666666666666
2,2,0.8348879767051777,0.9,0.9,0.984375
2,3,0.8591208785877548,0.8333333333333333,0.8333333333333333,0.8911764705882353
2,4,0.8225802054598347,0.75,0.825,0.7976851851851852
2,5,0.8216526014921153,0.7750000000000001,0.8200000000000001,0.8363157894736842
3,2,0.8141003537500776,0.8333333333333334,0.8333333333333334,0.9156862745098039
3,3,0.8434281681692969,0.7777777777777778,0.8,0.856140350877193
3,4,0.9094505975055298,0.6833333333333333,0.75,0.7634920634920634
3,5,0.8572163298822761,0.8099999999999999,0.8666666666666668,0.8123188405797102
4,2,0.8475298369711716,0.7,0.7,0.8277777777777778
4,3,0.839456517017555,0.8666666666666666,0.9166666666666666,0.8996031746031745
4,4,0.8864323887880264,0.6791666666666666,0.7125,0.7199652777777779
4,5,0.8862635777971283,0.7375,0.78,0.7640740740740741
5,2,0.844556195334734,0.8400000000000001,0.8400000000000001,0.8768421052631579
5,3,0.8742093981413998,0.72,0.72,0.7889855072463768
5,4,0.9144402548942743,0.7133333333333334,0.6900000000000001,0.8074074074074075
5,5,0.8839824913877117,0.644,0.712,0.6673548387096775
6,2,0.8062787580626083,0.8,0.8,0.8858333333333335
6,3,0.9343855391127699,0.6444444444444446,0.6777777777777778,0.6762222222222223
6,4,0.9255758676483357,0.638888888888889,0.6249999999999999,0.7107407407407408
6,5,0.9274542808353845,0.6300000000000001,0.7466666666666666,0.6601428571428571
7,2,0.856224501131963,0.6857142857142857,0.6857142857142857,0.8333333333333334
7,3,0.8744277803119355,0.6333333333333334,0.6476190476190476,0.6874779541446208
7,4,0.9089781972106981,0.6642857142857144,0.7071428571428571,0.7391774891774892
7,5,0.9407725647398035,0.5914285714285714,0.6285714285714284,0.6241391941391943
8,2,0.8704187084277916,0.7875,0.7875,0.9102272727272729
8,3,0.9087637298529728,0.6333333333333333,0.6916666666666667,0.7422413793103448
8,4,0.9640695157493606,0.56875,0.6,0.6199074074074075
8,5,0.9429984314072406,0.56875,0.6699999999999999,0.6334883720930232
9,2,0.8967075382946597,0.7444444444444445,0.7444444444444445,0.8352657004830919
9,3,0.9392614537573106,0.6851851851851853,0.711111111111111,0.7596176821983274
9,4,0.9634769224490226,0.5148148148148147,0.5055555555555555,0.5852326685660019
9,5,0.9724196969289511,0.4522222222222222,0.5244444444444445,0.4727186761229314
10,2,0.9041683549333422,0.6900000000000001,0.6900000000000001,0.8045833333333334
10,3,0.9357434245147646,0.58,0.6133333333333333,0.6816161616161616
10,4,0.97300490503788,0.5466666666666666,0.54,0.6079365079365079
10,5,0.9718785745801565,0.42799999999999994,0.492,0.45464705882352946
