r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7081792679296249,0.4,0.4,0.9066666666666666
1,3,0.3092144116201927,0.8666666666666666,0.8666666666666666,0.9755555555555556
1,4,0.5154451728702119,0.7,0.8,0.7
1,5,0.7498812379496111,0.71,0.72,0.754
2,2,0.544295959109329,0.9,0.9,0.98125
2,3,0.5716928906178362,0.8166666666666668,0.8,0.8813725490196077
2,4,0.5609544314705274,0.7083333333333333,0.7,0.7842592592592593
2,5,0.6006094396375902,0.775,0.76,0.8315789473684211
3,2,0.510803084392566,0.7999999999999999,0.7999999999999999,0.9137254901960784
3,3,0.6136832209680984,0.7555555555555555,0.7555555555555555,0.8473684210526315
3,4,0.7491164364858951,0.6944444444444444,0.7333333333333332,0.7563492063492062
3,5,0.6402961642733243,0.8099999999999999,0.8533333333333333,0.8115942028985508
4,2,0.6365189397882502,0.7,0.7,0.8180555555555555
4,3,0.5928149780067937,0.8583333333333334,0.8833333333333332,0.8960317460317461
4,4,0.7381329484755097,0.6958333333333332,0.675,0.7189236111111112
4,5,0.7178334311337136,0.695,0.7699999999999999,0.7581481481481482
5,2,0.6475565373195014,0.8,0.8,0.8715789473684211
5,3,0.7056817896052654,0.6933333333333332,0.6799999999999999,0.7828985507246377
5,4,0.8035285609484916,0.7033333333333334,0.71,0.8039506172839506
5,5,0.7015940770493816,0.6220000000000001,0.688,0.6613548387096774
6,2,0.5704349335387711,0.7499999999999999,0.7499999999999999,0.8741666666666665
6,3,0.8521076572395229,0.6555555555555556,0.6555555555555556,0.6751111111111111
6,4,0.8289428514459132,0.6361111111111112,0.6166666666666666,0.7079629629629629
6,5,0.8340409946502663,0.6233333333333333,0.7266666666666667,0.6565238095238095
7,2,0.672164905836305,0.6285714285714287,0.6285714285714287,0.8217687074829932
7,3,0.7401249573254833,0.6285714285714287,0.619047619047619,0.6811287477954144
7,4,0.8039508688283735,0.6357142857142858,0.6571428571428571,0.7311688311688311
7,5,0.8799468046099876,0.5800000000000001,0.6171428571428571,0.6227838827838829
8,2,0.7305031848608822,0.75,0.75,0.8988636363636363
8,3,0.7950232360249743,0.6333333333333334,0.675,0.7373563218390805
8,4,0.9347308915694356,0.5833333333333333,0.6125,0.6197337962962962
8,5,0.8733502725353262,0.55,0.6599999999999999,0.630843023255814
9,2,0.7781582310366096,0.6777777777777777,0.6777777777777777,0.8212560386473429
9,3,0.8667508806331284,0.6592592592592593,0.6962962962962962,0.754958183990442
9,4,0.9111649844389467,0.5111111111111111,0.538888888888889,0.5836182336182336
9,5,0.9529196095251731,0.4455555555555556,0.5111111111111111,0.47212765957446806
10,2,0.79441290985984,0.61,0.61,0.7904166666666667
10,3,0.8720041146542495,0.58,0.5933333333333333,0.6790909090909091
10,4,0.9485124777927003,0.5483333333333335,0.555,0.6085714285714288
10,5,0.9401008925910881,0.4210000000000001,0.496,0.454
