r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.20503203890445296,0.4,0.4,0.9133333333333334
1,3,0.2754844241200163,0.8333333333333334,0.9333333333333332,0.9733333333333334
1,4,0.4409999025570813,0.6833333333333333,0.75,0.7066666666666667
1,5,0.3484888691862685,0.6900000000000001,0.8,0.772
2,2,0.19462596796412224,0.9,0.9,0.98125
2,3,0.2836028072292679,0.8166666666666668,0.8,0.8892156862745099
2,4,0.36182672383820397,0.7166666666666666,0.8,0.8
2,5,0.3207062761884372,0.7499999999999999,0.76,0.8347368421052632
3,2,0.2811987094140242,0.7999999999999999,0.7999999999999999,0.907843137254902
3,3,0.3071759530371283,0.7666666666666666,0.7777777777777778,0.8526315789473685
3,4,0.2991876406085738,0.611111111111111,0.6,0.7751322751322752
3,5,0.27143190077578666,0.78,0.8399999999999999,0.8230434782608695
4,2,0.22880016693693914,0.725,0.725,0.9069444444444444
4,3,0.23394669272254345,0.8666666666666666,0.9,0.9154761904761903
4,4,0.34661257755021596,0.6666666666666666,0.65,0.7918402777777777
4,5,0.27175473105261255,0.7125,0.8,0.7966666666666666
5,2,0.2632288160637247,0.82,0.82,0.8800000000000001
5,3,0.27946661573843234,0.66,0.6666666666666666,0.8014492753623188
5,4,0.29854439768182345,0.6533333333333331,0.6199999999999999,0.8114814814814814
5,5,0.34758382411773786,0.5780000000000001,0.624,0.7429677419354839
6,2,0.19153607510262644,0.7666666666666666,0.7666666666666666,0.9583333333333334
6,3,0.27158939953411787,0.6722222222222223,0.6222222222222222,0.8064444444444444
6,4,0.28686399948255464,0.6,0.525,0.7492592592592593
6,5,0.35420958765788557,0.5866666666666667,0.6799999999999999,0.7678095238095237
7,2,0.29285247801413644,0.7000000000000001,0.7000000000000001,0.8877551020408163
7,3,0.2858110067294013,0.6238095238095238,0.619047619047619,0.7677248677248678
7,4,0.2803039284116397,0.5785714285714285,0.5214285714285715,0.8096681096681098
7,5,0.3446465727560078,0.5171428571428571,0.5599999999999999,0.6953479853479854
8,2,0.21854828821025968,0.7125,0.7125,0.9056818181818181
8,3,0.26707397677013506,0.6125,0.6333333333333333,0.819396551724138
8,4,0.36600591324576764,0.5291666666666666,0.55625,0.7332175925925926
8,5,0.3378183928592192,0.56375,0.67,0.758110465116279
9,2,0.27007458161585995,0.611111111111111,0.611111111111111,0.8415458937198068
9,3,0.2500633276066602,0.6222222222222222,0.548148148148148,0.8591397849462366
9,4,0.37615930081784626,0.43888888888888894,0.4611111111111111,0.7088793922127256
9,5,0.40765337177092487,0.3911111111111111,0.48888888888888893,0.6632387706855792
10,2,0.21740167364572752,0.6199999999999999,0.6199999999999999,0.8779166666666667
10,3,0.28816607883024137,0.5766666666666667,0.5666666666666667,0.7752525252525252
10,4,0.34867808788458443,0.4833333333333334,0.475,0.7259523809523809
10,5,0.4266269741622045,0.357,0.44400000000000006,0.6041764705882353
