r,w,precision@w-1,precision@1,triplet
1,2,1.0,1.0,1.0
1,3,0.8333333333333334,0.7777777777777777,0.9814814814814815
1,4,0.75,0.8333333333333334,0.7722222222222223
1,5,0.9,0.9333333333333332,0.9733333333333333
2,2,1.0,1.0,1.0
2,3,0.7777777777777778,0.8333333333333334,0.9624183006535948
2,4,0.9722222222222222,1.0,0.9984567901234568
2,5,0.9416666666666668,1.0,0.9964912280701754
3,2,0.4444444444444444,0.4444444444444444,0.7189542483660131
3,3,0.7962962962962963,0.7777777777777777,0.9200779727095517
3,4,0.7962962962962963,0.8611111111111112,0.9598765432098766
3,5,0.8722222222222222,0.8888888888888888,0.9816425120772947
4,2,0.7083333333333334,0.7083333333333334,0.9537037037037037
4,3,0.7222222222222222,0.6944444444444445,0.9437830687830688
4,4,0.6805555555555557,0.7916666666666666,0.8061342592592594
4,5,0.8791666666666668,0.85,0.9709876543209877
5,2,0.7333333333333334,0.7333333333333334,0.7842105263157896
5,3,0.6555555555555556,0.6222222222222222,0.9371980676328503
5,4,0.8666666666666667,0.9333333333333332,0.9726337448559672
5,5,0.7366666666666667,0.7066666666666667,0.9011827956989248
6,2,0.7222222222222222,0.7222222222222222,0.901388888888889
6,3,0.75,0.7962962962962963,0.9203703703703704
6,4,0.8101851851851852,0.9027777777777778,0.8992283950617285
6,5,0.8055555555555555,0.8333333333333334,0.9595238095238096
7,2,0.6904761904761906,0.6904761904761906,0.8231292517006802
7,3,0.7936507936507938,0.7777777777777777,0.9703115814226925
7,4,0.7976190476190478,0.8571428571428571,0.934102934102934
7,5,0.7952380952380952,0.8095238095238096,0.9336996336996338
8,2,0.6666666666666666,0.6666666666666666,0.9441287878787877
8,3,0.7291666666666666,0.75,0.9442049808429118
8,4,0.7361111111111112,0.7083333333333334,0.9349922839506172
8,5,0.6270833333333333,0.6166666666666667,0.8712209302325582
9,2,0.7592592592592592,0.7592592592592592,0.8961352657004831
9,3,0.6728395061728395,0.7160493827160493,0.9024293110314616
9,4,0.7283950617283951,0.7129629629629629,0.9252136752136751
9,5,0.6388888888888888,0.6518518518518519,0.8391252955082743
10,2,0.6999999999999998,0.6999999999999998,0.9020833333333332
10,3,0.7611111111111111,0.7777777777777777,0.9101010101010102
10,4,0.6249999999999999,0.6333333333333334,0.8833333333333333
10,5,0.6383333333333333,0.6666666666666666,0.8536274509803922
