r,w,precision@w-1,precision@1
1,2,0.75,0.75
1,3,0.7604166666666666,0.7708333333333333
1,4,0.8385416666666667,0.828125
1,5,0.8406250000000001,0.8625
1,6,0.8354166666666667,0.875
1,7,0.8506944444444445,0.8720238095238095
1,8,0.8430059523809524,0.9088541666666666
1,9,0.8472222222222222,0.8958333333333333
1,10,0.8414351851851852,0.9416666666666667
1,11,0.6933712121212122,0.8371212121212118
1,12,0.5842803030303031,0.6979166666666666
1,13,0.4846420940170939,0.5080128205128205
1,14,0.41975732600732596,0.49702380952380953
1,15,0.3714285714285715,0.44166666666666665
1,16,0.3150173611111111,0.29947916666666663
1,17,0.28584558823529416,0.3321078431372549
1,18,0.25490196078431365,0.3298611111111111
1,19,0.2319078947368421,0.23903508771929824
1,20,0.20690789473684212,0.16041666666666668
1,21,0.19449404761904768,0.20833333333333334
1,22,0.17512175324675325,0.20359848484848483
1,23,0.1638463438735178,0.2210144927536232
1,24,0.14651268115942032,0.19010416666666669
1,25,0.13769965277777776,0.1695833333333334
1,26,0.1299407051282051,0.18256410256410258
1,27,0.12149528133903134,0.15291666666666667
1,28,0.11493386243386244,0.14994047619047618
1,29,0.10876693349753692,0.14716954022988507
1,30,0.10329741379310345,0.1279166666666667
2,2,0.735,0.735
2,3,0.7733333333333334,0.7766666666666666
2,4,0.8316666666666664,0.83125
2,5,0.8300000000000002,0.847
2,6,0.8260000000000002,0.849166666666667
2,7,0.8275457875457879,0.8506593406593406
2,8,0.8340051020408162,0.8874107142857142
2,9,0.8453750000000005,0.8842222222222216
2,10,0.8343888888888888,0.8995000000000001
2,11,0.6803368983957222,0.7885294117647053
2,12,0.5738510101010098,0.6516666666666666
2,13,0.47572368421052647,0.4813562753036439
2,14,0.41954945054945036,0.4862142857142859
2,15,0.3665306122448979,0.39571428571428563
2,16,0.3148636363636363,0.2827556818181819
2,17,0.2839426150895142,0.30144501278772373
2,18,0.24950163398692815,0.29930555555555555
2,19,0.2229204678362574,0.20891578947368422
2,20,0.1955374493927126,0.1523653846153846
2,21,0.180978835978836,0.1814021164021162
2,22,0.15573593073593067,0.17672077922077925
2,23,0.14837876516287316,0.18984257871064472
2,24,0.1299239130434782,0.15479166666666663
2,25,0.12028853046594983,0.13655834979152948
2,26,0.11166747515730858,0.15104099191785897
2,27,0.10501786442094417,0.11249125616108539
2,28,0.0971522561451608,0.12006303929409208
2,29,0.09000748599064408,0.11253444983350333
2,30,0.08456915652633118,0.0960190072770718
3,2,0.7016666666666664,0.7016666666666664
3,3,0.7649999999999997,0.761111111111111
3,4,0.8294444444444441,0.8324999999999997
3,5,0.8285000000000002,0.8559999999999998
3,6,0.8048888888888891,0.8238888888888887
3,7,0.8279722222222219,0.8351428571428565
3,8,0.8080248917748915,0.8509090909090905
3,9,0.8021643518518519,0.8344907407407405
3,10,0.7937606837606838,0.8477179487179489
3,11,0.6664123376623377,0.746277056277056
3,12,0.5690050505050501,0.6231111111111114
3,13,0.4670479433760685,0.44567307692307706
3,14,0.4053749191984483,0.44443977591036393
3,15,0.3499047619047617,0.3597222222222217
3,16,0.30150657894736826,0.2996271929824561
3,17,0.26451593137254914,0.26624509803921537
3,18,0.23882352941176457,0.28208994708994706
3,19,0.21425482899167114,0.20940191387559806
3,20,0.18816514111365368,0.1597173913043479
3,21,0.17052033730158722,0.17015873015873
3,22,0.15464444444444447,0.18224242424242423
3,23,0.14689102564102557,0.15892419175027872
3,24,0.12573671497584546,0.13060185185185186
3,25,0.12075491229866232,0.11826408681408683
3,26,0.10933744330805312,0.13518548453965862
3,27,0.09986907441115353,0.09878993619147317
3,28,0.09419786430680556,0.10335801279390906
3,29,0.0864748082617812,0.10353987776167747
3,30,0.08029636304752973,0.0815301223534808
4,2,0.76,0.76
4,3,0.7283333333333332,0.7333333333333332
4,4,0.7804166666666663,0.804375
4,5,0.8108749999999998,0.8390000000000003
4,6,0.7845,0.8095833333333329
4,7,0.8152777777777778,0.8214814814814814
4,8,0.7802053571428573,0.8056250000000001
4,9,0.7954324494949495,0.8185858585858585
4,10,0.7877530864197532,0.815305555555556
4,11,0.6500099067599069,0.7083916083916081
4,12,0.5438988095238095,0.5937500000000001
4,13,0.4501894586894586,0.39861538461538454
4,14,0.3928960622710625,0.41738095238095246
4,15,0.3448648459383753,0.3415196078431372
4,16,0.2878368055555556,0.29917824074074073
4,17,0.25115986197110424,0.2592260061919504
4,18,0.23233986928104586,0.26272222222222225
4,19,0.20275990903183883,0.18410401002506258
4,20,0.18054505582137145,0.1262878787878788
4,21,0.1679578157349896,0.16082815734989653
4,22,0.14234968734968734,0.16467171717171714
4,23,0.14001245059288528,0.1474405797101449
4,24,0.11866151059085843,0.1358333333333333
4,25,0.10780302095024318,0.10980221661054994
4,26,0.10314844163442169,0.12623337766886292
4,27,0.09533527015876887,0.08652960081469535
4,28,0.08806021364782078,0.09454657975717856
4,29,0.08443883553720674,0.10299672072991248
4,30,0.07608166045644382,0.076984917145238
5,2,0.7429999999999999,0.7429999999999999
5,3,0.7433333333333333,0.7466666666666665
5,4,0.7866666666666668,0.8139999999999995
