r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.14923251594998083,0.65,0.65,0.8633333333333333
1,3,0.28126086571531056,0.6499999999999999,0.6666666666666667,0.7355555555555556
1,4,0.33006978586687963,0.5249999999999999,0.575,0.6916666666666667
1,5,0.250364526291033,0.7,0.74,0.7893333333333333
1,6,0.175396467388641,0.7766666666666666,0.7500000000000001,0.8895555555555557
1,7,0.2789519001939069,0.6861111111111111,0.7428571428571429,0.799968253968254
1,8,0.28562194643234134,0.6494047619047618,0.725,0.7842142857142856
1,9,0.2446955698931903,0.7152777777777778,0.7111111111111111,0.7722222222222221
1,10,0.2847367426624862,0.7033333333333334,0.74,0.7971851851851852
2,2,0.35528620102862796,0.5,0.5,0.6734375
2,3,0.25819339854288026,0.65,0.6333333333333334,0.7598039215686274
2,4,0.36287002239579375,0.5375,0.5375,0.6555555555555556
2,5,0.14644692118745922,0.7725000000000001,0.8,0.8967105263157894
2,6,0.32897834361384454,0.5666666666666667,0.6000000000000001,0.6941666666666666
2,7,0.2331508237086332,0.7079670329670331,0.7763736263736264,0.8259977324263039
2,8,0.2781869299708498,0.6,0.6625,0.7773133116883116
2,9,0.26855209908002886,0.6972222222222223,0.7111111111111111,0.8310990338164252
2,10,0.19846597283626824,0.7520833333333333,0.7887500000000001,0.8867361111111112
3,2,0.20794747090469054,0.6166666666666666,0.6166666666666666,0.7990196078431373
3,3,0.2685411560440117,0.6333333333333332,0.6222222222222222,0.8242690058479532
3,4,0.21688196384767466,0.7027777777777777,0.7083333333333333,0.8596560846560847
3,5,0.2791998297597526,0.6283333333333333,0.62,0.793913043478261
3,6,0.33081084933981714,0.5477777777777778,0.6222222222222222,0.7299555555555556
3,7,0.25893099872448755,0.6555555555555556,0.7571428571428571,0.8252204585537919
3,8,0.2940412337911679,0.598538961038961,0.6962121212121212,0.801987775953293
3,9,0.2751457088431962,0.641087962962963,0.6759259259259258,0.8067065625533368
3,10,0.24277717942042357,0.6693162393162393,0.7079487179487179,0.8289639691938543
4,2,0.41729631967180314,0.3875,0.3875,0.5861111111111111
4,3,0.2806767751857645,0.6,0.625,0.7892857142857143
4,4,0.34291366836661197,0.5645833333333333,0.61875,0.7134548611111111
4,5,0.27625516309288056,0.6162500000000001,0.645,0.7842592592592592
4,6,0.22984868286556276,0.6716666666666666,0.7333333333333334,0.8734999999999999
4,7,0.35658547415392944,0.5345899470899471,0.603042328042328,0.7511330943362193
4,8,0.2959196461896932,0.5849702380952381,0.6793750000000001,0.8101769179894178
4,9,0.2537891840921521,0.6303977272727272,0.7244949494949495,0.8357653727445392
4,10,0.32236657624038284,0.5594444444444444,0.5427777777777778,0.7868539404065719
5,2,0.35181423827033603,0.5800000000000001,0.5800000000000001,0.6847368421052631
5,3,0.24680204631071706,0.6000000000000002,0.6133333333333335,0.8350724637681161
5,4,0.3524228340917705,0.5316666666666667,0.595,0.7156172839506174
5,5,0.25523066953420104,0.623,0.688,0.8184516129032258
5,6,0.30259672160634227,0.56,0.6666666666666666,0.7870476190476191
5,7,0.2654521889837348,0.6213725490196078,0.6541176470588235,0.8089581646423752
5,8,0.3220006591479783,0.48359022556390974,0.5525,0.7793129676147261
5,9,0.2873400856743845,0.5660119047619048,0.5984126984126984,0.8028360466365786
5,10,0.2695133754852974,0.5906280193236715,0.6935652173913043,0.8359695916191535
6,2,0.3302974930228676,0.5416666666666666,0.5416666666666666,0.7258333333333333
6,3,0.41656744347313335,0.43888888888888883,0.42777777777777776,0.6596666666666667
6,4,0.2850439747600171,0.5708333333333334,0.6375000000000001,0.8080555555555555
6,5,0.31884953169835084,0.55,0.5900000000000001,0.7670238095238096
6,6,0.30301727664671907,0.5272222222222223,0.5861111111111111,0.8046111111111109
6,7,0.3643806535116626,0.47750677506775074,0.5582462253193959,0.7444723424723425
6,8,0.33408187785433074,0.48973861283643877,0.5278079710144927,0.7719695436507937
6,9,0.32004839529150575,0.5402505446623094,0.5843137254901961,0.7888705484330484
6,10,0.2926737326635762,0.5799603174603173,0.6138095238095238,0.8208434744268077
7,2,0.2943971338585568,0.5285714285714286,0.5285714285714286,0.7697278911564626
7,3,0.3521965626154503,0.49523809523809526,0.5190476190476191,0.7057319223985891
7,4,0.4067667759803813,0.4011904761904762,0.44642857142857145,0.6862914862914862
7,5,0.32128459697058165,0.5442857142857143,0.6,0.7408058608058609
7,6,0.3376308169121924,0.4895238095238096,0.5904761904761905,0.7804973544973545
7,7,0.3373973354163975,0.48146258503401357,0.5934098639455783,0.7701171135120715
7,8,0.3155089615823944,0.49479402872260014,0.5625661375661375,0.7870223176990094
7,9,0.27667302388975445,0.5691071428571429,0.6372222222222221,0.8295935689090449
7,10,0.3301292416842724,0.4776575276575274,0.5494372294372294,0.7701153757675495
8,2,0.3294459977441745,0.4875,0.4875,0.6971590909090908
8,3,0.34511220871687254,0.525,0.5458333333333334,0.7226293103448276
8,4,0.355749797939868,0.5197916666666665,0.559375,0.7400462962962961
8,5,0.30561630829994224,0.49187499999999995,0.5675000000000001,0.7555959302325581
8,6,0.3630033534878048,0.41,0.4833333333333333,0.7229166666666668
8,7,0.3460048255027687,0.474832251082251,0.5701948051948053,0.7698686261785415
8,8,0.31092972701158217,0.5177851382488479,0.5927923387096774,0.7916694193428379
8,9,0.3216072234762593,0.448112922705314,0.4965579710144928,0.7575051134009942
8,10,0.3357852959291951,0.45836988304093546,0.5221710526315789,0.7696698140448139
9,2,0.33825501614274583,0.5166666666666667,0.5166666666666667,0.6961352657004831
9,3,0.37096558638814414,0.5203703703703704,0.5222222222222223,0.7053763440860215
9,4,0.3265610056054784,0.49259259259259264,0.5361111111111112,0.7346153846153847
9,5,0.3563116790211155,0.4655555555555556,0.5666666666666667,0.7216075650118204
9,6,0.3385804017939705,0.477037037037037,0.537037037037037,0.7649360269360269
9,7,0.36201838022307264,0.42794845536781023,0.5164618535586278,0.7397785796915342
9,8,0.3254777304804034,0.4415986394557822,0.48988095238095236,0.7491929191898573
