r,w,precision@w-1,precision@1,triplet
1,2,0.0625,0.0625,0.0
1,3,0.1176470588235294,0.1176470588235294,0.0
1,4,0.16666666666666666,0.16666666666666666,0.0
2,2,0.058823529411764705,0.058823529411764705,0.0
2,3,0.10526315789473684,0.10526315789473684,0.0
2,4,0.14285714285714282,0.14285714285714282,0.0
3,2,0.05555555555555556,0.05555555555555556,0.0
3,3,0.09523809523809523,0.09523809523809523,0.0
3,4,0.125,0.125,0.0
4,2,0.05263157894736842,0.05263157894736842,0.0
4,3,0.08695652173913042,0.08695652173913042,0.0
4,4,0.11111111111111115,0.11111111111111115,0.0
5,2,0.049999999999999996,0.049999999999999996,0.0
5,3,0.08,0.08,0.0
5,4,0.10000000000000002,0.10000000000000002,0.0
6,2,0.047619047619047616,0.047619047619047616,0.0
6,3,0.07407407407407406,0.07407407407407406,0.0
6,4,0.09090909090909088,0.09090909090909088,0.0
7,2,0.045454545454545456,0.045454545454545456,0.0
7,3,0.0689655172413793,0.0689655172413793,0.0
7,4,0.08333333333333333,0.08333333333333333,0.0
