r,w,precision@w-1,precision@1
1,2,0.0,0.0
1,3,0.3333333333333333,0.3333333333333333
1,4,0.5,0.6666666666666666
1,5,0.6,0.6666666666666666
1,6,0.7111111111111111,0.7222222222222222
1,7,0.7619047619047619,0.9047619047619048
1,8,0.45833333333333326,0.3333333333333333
1,9,0.8009259259259259,0.7407407407407408
1,10,0.6148148148148148,0.6333333333333334
1,11,0.7303030303030303,0.7272727272727272
1,12,0.7424242424242425,0.7777777777777778
1,13,0.6987179487179488,0.4871794871794872
1,14,0.8186813186813188,0.8571428571428572
1,15,0.7222222222222222,0.6444444444444445
2,2,0.08333333333333333,0.08333333333333333
2,3,0.05555555555555555,0.1111111111111111
2,4,0.18055555555555555,0.20833333333333334
2,5,0.30833333333333335,0.3666666666666667
2,6,0.06666666666666667,0.0
2,7,0.5515873015873016,0.5238095238095238
2,8,0.31845238095238093,0.3541666666666667
2,9,0.3634259259259259,0.3333333333333333
2,10,0.5407407407407409,0.5833333333333334
2,11,0.24696969696969698,0.10606060606060606
2,12,0.3244949494949494,0.2222222222222222
2,13,0.5363247863247863,0.4871794871794872
2,14,0.47527472527472536,0.32142857142857145
2,15,0.48095238095238085,0.4777777777777778
3,2,0.2222222222222222,0.2222222222222222
3,3,0.1851851851851852,0.2222222222222222
3,4,0.1574074074074074,0.19444444444444442
3,5,0.09444444444444444,0.11111111111111112
3,6,0.21851851851851853,0.2037037037037037
3,7,0.2380952380952381,0.2698412698412698
3,8,0.3531746031746032,0.34722222222222227
3,9,0.2330246913580247,0.1728395061728395
3,10,0.4123456790123456,0.4222222222222222
3,11,0.35656565656565653,0.40404040404040403
3,12,0.2011784511784511,0.08333333333333333
3,13,0.25284900284900286,0.15384615384615385
3,14,0.2948717948717949,0.28571428571428575
3,15,0.34126984126984133,0.34074074074074073
4,2,0.20833333333333334,0.20833333333333334
4,3,0.23611111111111108,0.22222222222222224
4,4,0.21527777777777776,0.20833333333333334
4,5,0.2791666666666667,0.31666666666666665
4,6,0.1416666666666667,0.08333333333333333
4,7,0.14087301587301587,0.17857142857142858
4,8,0.08928571428571426,0.0625
4,9,0.14930555555555555,0.1574074074074074
4,10,0.14722222222222223,0.09999999999999999
4,11,0.10833333333333335,0.030303030303030304
4,12,0.13825757575757572,0.06944444444444445
4,13,0.2751068376068376,0.27564102564102566
4,14,0.31181318681318665,0.25
4,15,0.24999999999999992,0.19999999999999998
5,2,0.10000000000000002,0.10000000000000002
5,3,0.13333333333333333,0.13333333333333333
5,4,0.1722222222222222,0.16666666666666666
5,5,0.13333333333333333,0.17333333333333334
5,6,0.19555555555555557,0.2111111111111111
5,7,0.09999999999999999,0.1238095238095238
5,8,0.1619047619047619,0.13333333333333333
5,9,0.14074074074074075,0.11111111111111112
5,10,0.15555555555555556,0.16
5,11,0.12121212121212122,0.10303030303030303
5,12,0.17676767676767682,0.18888888888888888
5,13,0.1243589743589744,0.13333333333333333
5,14,0.14139194139194136,0.13333333333333333
5,15,0.17809523809523795,0.13333333333333333
